N	3gram	Voloshinov_2	Otkroven
1	в нем нет	2	3
2	для того чтобы	6	3
3	а не в	2	2
4	в дневнике писателя	1	2
5	не может быть	10	2
6	но и в	2	2
7	не могут быть	1	2
8	с тем что	1	2
9	смысле этого слова	4	1
10	добро и зло	1	1
11	в другом месте	1	1
12	в обычном смысле	1	1
13	по сравнению с	1	1
14	то к одному	1	1
15	в самой жизни	1	1
16	а вовсе не	1	1
17	в самом деле	5	1
18	и в том	1	1
19	обычном смысле слова	1	1
20	это не есть	1	1
21	к одному то	1	1
22	может быть осуществлено	1	1
23	то к другому	1	1
24	и не может	3	1
25	у нее не	1	1
26	во всяком случае	2	1
27	сам по себе	1	1
28	даже и в	1	1
29	само по себе	1	1
30	о том что	3	1
31	в этом отношении	1	1
32	и прежде всего	2	1
33	мужчины и женщины	1	1
34	еще не стал	1	1
35	в том что	6	1
36	а иногда и	2	1
37	на то что	2	1
38	и не в	3	1
39	одному то к	1	1
40	друг с другом	1	1
41	герои говорят одним	1	1
42	как и в	1	1
43	но к этому	1	1
