1	но в то же	2	3
2	в то же время	6	3
3	в той или иной	3	2
4	в пределы одного сознания	1	2
5	мы имеем в виду	1	2
6	в том числе и	1	2
7	в таком случае это	1	1
8	и рождается в точке	1	1
9	в большей или меньшей	1	1
10	по природе событийна и	1	1
11	нет и не может	2	1
12	одной и той же	1	1
13	а не так как	1	1
14	одного и того же	2	1
15	природе событийна и рождается	1	1
16	событийна и рождается в	1	1
17	рождается в точке соприкосновения	1	1
18	в точке соприкосновения разных	1	1
19	и не может быть	4	1
20	точке соприкосновения разных сознаний	1	1
21	как это происходит в	1	1
22	большей или меньшей степени	1	1
23	той мере в какой	2	1
24	в той мере в	2	1
25	но в таком случае	1	1
26	в самом деле в	1	1
