N	2gram	Bakhtin_Fr_4	Sotsiolo
1	все это	4	7
2	в том	7	5
3	в этом	11	5
4	для нас	1	3
5	не только	10	3
6	и в	29	3
7	в его	8	3
8	за пределы	1	2
9	но и	9	2
10	конце концов	4	2
11	и мы	2	2
12	к которому	2	2
13	исторического развития	1	2
14	должна быть	1	2
15	только в	2	2
16	дело не	1	2
17	по природе	1	2
18	далеко не	5	2
19	в результате	4	2
20	том что	3	2
21	в частности	3	2
22	как будто	2	2
23	то что	4	2
24	главным образом	1	2
25	или даже	1	2
26	и что	1	2
27	литературы и	1	2
28	еще не	4	2
29	ведь это	3	2
30	таким образом	20	2
31	это и	5	2
32	в конце	9	2
33	что в	1	2
34	может быть	2	2
35	как бы	8	2
36	то же	10	2
37	и голова	1	1
38	что все	1	1
39	право на	1	1
40	же не	2	1
41	вряд ли	1	1
42	даже в	1	1
43	в мире	1	1
44	в этой	13	1
45	эти два	1	1
46	и должны	1	1
47	какие же	1	1
48	быть строго	1	1
49	и самые	1	1
50	с другой	4	1
51	его в	9	1
52	дает нам	2	1
53	только для	4	1
54	с ним	2	1
55	это не	5	1
56	на этот	1	1
57	именно в	2	1
58	в чем	3	1
59	же по	1	1
60	все же	3	1
61	один из	4	1
62	и есть	4	1
63	перед нами	4	1
64	в то	10	1
65	кто не	1	1
66	и наконец	2	1
67	еще и	7	1
68	далее автор	1	1
69	а с	1	1
70	тем что	4	1
71	и как	3	1
72	что эти	1	1
73	что он	4	1
74	тогда и	1	1
75	прежде всего	8	1
76	бы он	1	1
77	в них	7	1
78	так и	11	1
79	одной стороны	2	1
80	те же	1	1
81	но только	2	1
82	и не	16	1
83	никогда не	2	1
84	мы не	1	1
85	это как	1	1
86	со своими	2	1
87	же время	8	1
88	ничего не	1	1
89	мы еще	1	1
90	и о	5	1
91	все эти	9	1
92	это же	2	1
93	именно на	1	1
94	как и	12	1
95	с помощью	4	1
96	первый план	1	1
97	остается в	1	1
98	в сущности	6	1
99	в серьезных	1	1
100	но она	2	1
101	вот в	1	1
102	образом в	3	1
103	конечно не	4	1
104	в связи	1	1
105	на первый	2	1
106	и его	8	1
107	в этих	2	1
108	место в	2	1
109	связи с	2	1
110	в целом	1	1
111	не может	2	1
112	в своей	5	1
113	и должно	1	1
114	тех кто	2	1
115	и куда	1	1
116	благодаря этому	1	1
117	него и	1	1
118	что она	1	1
119	о том	2	1
120	не дает	1	1
121	и потому	1	1
122	в него	1	1
123	в котором	2	1
124	в строгом	1	1
125	между ними	2	1
126	в силу	1	1
127	слишком много	1	1
128	частности так	1	1
129	в конечном	1	1
130	не без	1	1
131	что это	5	1
132	вовсе не	9	1
133	новое и	2	1
134	на отдельные	1	1
135	же самое	1	1
136	голова его	1	1
137	с одной	2	1
138	но не	2	1
139	у него	5	1
140	а тем	1	1
141	правда он	1	1
142	в виде	1	1
143	в данном	1	1
144	но как	3	1
145	и по	5	1
146	что на	1	1
147	конечном счете	1	1
148	перейти к	1	1
149	они не	2	1
150	нам право	1	1
