N	3gram	Potebnia_M_3	Marksizm
1	не может быть	3	13
2	в самом деле	1	9
3	до сих пор	3	8
4	с другой стороны	4	5
5	то же самое	1	3
6	в этом отношении	2	3
7	и тот же	1	3
8	внутреннего и внешнего	1	3
9	один и тот	1	3
10	в смысле совокупности	1	3
11	то же время	5	3
12	в первом случае	2	3
13	можно сказать что	2	3
14	в то же	5	3
15	для того чтобы	3	3
16	в том что	16	3
17	сводится к тому	1	2
18	в чем же	1	2
19	и той же	2	2
20	в таком случае	2	2
21	сама по себе	2	2
22	со всех сторон	1	2
23	слова и его	1	2
24	смысле этого слова	7	2
25	не могут быть	2	2
26	языка и в	1	2
27	одной и той	2	2
28	по отношению к	5	2
29	до тех пор	1	2
30	от того что	5	2
31	в свою очередь	3	2
32	тем не менее	3	2
33	ничего общего с	1	2
34	непосредственно примыкает к	1	1
35	то все же	1	1
36	еще только в	1	1
37	в слове как	1	1
38	в действительности и	1	1
39	и в таком	1	1
40	одним и тем	3	1
41	равно как и	1	1
42	но именно эти	1	1
43	подобно тому как	2	1
44	могла быть в	1	1
45	и та и	1	1
46	том что он	2	1
47	а между тем	2	1
48	как бы ни	2	1
49	в этом слове	1	1
50	что язык есть	1	1
51	именно то что	2	1
52	сами по себе	1	1
53	но и в	4	1
54	нужно прибавить что	1	1
55	та и другая	1	1
56	и не менее	1	1
57	же самое делает	1	1
58	значение не есть	1	1
59	рано или поздно	1	1
60	эта последняя в	1	1
61	могли бы быть	1	1
62	как в языке	1	1
63	может быть только	3	1
64	так или иначе	1	1
65	к субъекту и	1	1
66	и не дает	1	1
67	и сама по	1	1
68	и тем же	3	1
69	из виду что	1	1
70	по мере своего	1	1
71	с одной стороны	3	1
72	не зависит от	1	1
73	как и между	1	1
74	точки зрения и	1	1
75	а в том	5	1
76	и та же	1	1
77	одна и та	1	1
78	а не в	1	1
79	тем что в	1	1
80	в слове или	1	1
81	именно в том	2	1
82	сознания и не	1	1
83	связи с другими	1	1
84	более или менее	3	1
85	таким образом в	1	1
86	не существует для	2	1
87	вовсе не в	1	1
88	для сознания говорящего	1	1
89	и в языке	2	1
90	так и в	2	1
91	он не знает	1	1
92	его жизни и	1	1
93	само по себе	3	1
94	это значит что	1	1
95	и в самом	2	1
96	не только не	2	1
97	не менее совершенно	1	1
98	не только в	4	1
99	не может стать	1	1
100	друг от друга	1	1
101	с другом и	1	1
102	как мы уже	1	1
103	друг друга не	1	1
104	таким образом и	1	1
105	к тому что	2	1
106	на самом деле	1	1
107	друг с другом	1	1
108	притом так что	1	1
109	мы тем самым	1	1
110	как мы видели	1	1
