N	3gram	Tiupa_Hudo_1	Istorich
1	с другой стороны	5	8
2	в этом случае	1	7
3	с одной стороны	2	7
4	в этих случаях	1	6
5	о том что	1	4
6	в связи с	1	4
7	тем не менее	3	4
8	так же как	1	3
9	не может быть	3	3
10	для того чтобы	2	3
11	по отношению к	9	2
12	в таких случаях	1	2
13	в особенности в	1	2
14	в том что	7	2
15	как и в	1	2
16	я думаю что	1	1
17	героя о чем	1	1
18	мы видим в	1	1
19	есть как бы	1	1
20	типа так в	1	1
21	иметь в виду	1	1
22	в виду что	1	1
23	это было бы	1	1
24	из того что	1	1
25	в том числе	2	1
26	в соответствии с	1	1
27	он не только	1	1
28	уже говорилось выше	1	1
29	с точки зрения	3	1
30	что он не	1	1
31	в отличие от	7	1
32	ведь это не	1	1
33	состоит не в	1	1
34	том числе и	1	1
35	то же время	5	1
36	точно так же	1	1
37	с этой точки	1	1
38	дело не в	1	1
39	состоит в том	5	1
40	и потому что	1	1
41	в одном случае	1	1
42	еще и потому	1	1
43	этой точки зрения	1	1
44	на наших глазах	2	1
45	в то время	1	1
46	может быть это	1	1
47	а тот кто	1	1
48	в свою очередь	2	1
49	и тем самым	1	1
50	и не могло	2	1
51	подобно тому как	1	1
52	можно сказать что	3	1
53	что все люди	1	1
54	в то же	5	1
55	не тот кто	1	1
