N	3gram	Savitsky_P_1	Formalny
1	с точки зрения	3	13
2	в настоящее время	1	10
3	то же время	7	8
4	в то же	7	8
5	и т д	1	8
6	более или менее	1	6
7	не может быть	1	5
8	одной стороны и	2	4
9	с одной стороны	3	4
10	во всяком случае	1	4
11	настоящее время в	1	3
12	и не менее	1	3
13	и не может	1	2
14	сами по себе	3	2
15	и в частности	1	2
16	в большинстве случаев	1	2
17	в применении к	1	2
18	но в то	1	2
19	и в этом	1	2
20	главным образом на	1	2
21	сменяют друг друга	1	2
22	экономического и политического	3	1
23	как она есть	1	1
24	или хотя бы	1	1
25	во всей полноте	1	1
26	только это не	1	1
27	в ней и	1	1
28	но для каждого	1	1
29	в этом смысле	1	1
30	гораздо большей степени	4	1
31	тот или иной	1	1
32	хотя бы и	1	1
33	можно говорить о	1	1
34	в том что	4	1
35	но и в	2	1
36	том числе и	1	1
37	в гораздо большей	4	1
38	вместе с тем	1	1
39	и чем глубже	1	1
40	и в то	2	1
41	в отличие от	1	1
42	по сравнению с	1	1
43	с другой стороны	1	1
44	так же как	1	1
45	прежде всего мы	1	1
46	до тех пор	1	1
47	та или иная	1	1
48	все это в	1	1
49	и тем самым	1	1
50	заключается в том	2	1
51	этой последней в	1	1
52	как одна из	1	1
53	в том числе	2	1
54	в отношении к	5	1
55	в отрыве от	1	1
56	в отдельности и	1	1
