N	3gram	Berdyaev_N_1	Analitik
1	не может быть	4	16
2	в том что	1	9
3	в том чтобы	1	7
4	в отличие от	1	6
5	и не может	1	4
6	и не в	1	4
7	о том что	1	3
8	а не в	1	3
9	подобно тому как	3	3
10	в том числе	1	3
11	с одной стороны	2	3
12	не в том	1	3
13	лишь в том	1	3
14	быть не может	1	3
15	и того же	1	2
16	в том и	2	2
17	сами по себе	1	2
18	но и в	1	2
19	не могут быть	1	2
20	по природе своей	1	2
21	с другой стороны	2	2
22	одного и того	1	2
23	по своей природе	1	1
24	такой же мере	1	1
25	равно как и	2	1
26	должны помнить что	1	1
27	как будто не	1	1
28	выходит за пределы	1	1
29	а не к	1	1
30	не было и	1	1
31	до сих пор	1	1
32	том случае если	1	1
33	в зависимости от	1	1
34	в том случае	1	1
35	а не с	1	1
36	том числе и	1	1
37	в то что	1	1
38	и заключается что	2	1
39	вместе с тем	2	1
40	он нуждается в	1	1
41	не только в	1	1
42	и не могут	1	1
43	как будто бы	1	1
44	в известном смысле	1	1
45	и должно быть	2	1
46	в такой же	1	1
47	во всяком случае	1	1
48	я не могу	1	1
49	том и заключается	2	1
50	и вместе с	1	1
51	и т.п по	1	1
52	в этом смысле	2	1
53	для того и	1	1
54	того чтобы быть	1	1
55	как и в	1	1
