N	2gram	Tiupa_Hudo_1	NovoeSre
1	а не	12	17
2	и в	14	16
3	не может	7	16
4	совсем не	1	12
5	и не	2	11
6	истории и	1	9
7	что в	6	9
8	в том	12	8
9	жизни и	5	8
10	он не	4	8
11	в этом	11	7
12	может быть	5	7
13	как и	9	7
14	высшей степени	1	6
15	с его	5	6
16	не в	7	6
17	ни в	5	6
18	в высшей	1	6
19	никогда не	6	6
20	лишь в	3	6
21	но это	1	6
22	не знает	2	6
23	с ее	2	5
24	в ней	4	5
25	культуры в	1	5
26	и к	4	5
27	не только	12	5
28	в жизни	1	5
29	xix века	1	5
30	все это	2	5
31	в нем	3	5
32	не во	1	4
33	быть может	7	4
34	о том	12	4
35	эпохи и	1	4
36	то что	8	4
37	это не	7	4
38	прежде всего	11	4
39	не было	4	4
40	должно быть	2	4
41	и потому	2	4
42	по своему	3	4
43	не менее	5	4
44	и для	3	4
45	не имеет	2	4
46	и все	4	4
47	потому что	5	4
48	с другой	1	3
49	смысле слова	1	3
50	в ее	3	3
51	вопрос о	2	3
52	человека и	1	3
53	исторической эпохи	1	3
54	еще не	7	3
55	во всех	1	3
56	как в	8	3
57	в мире	3	3
58	но и	5	3
59	не означает	2	3
60	с тем	1	3
61	в своей	10	3
62	к жизни	5	3
63	жизни которые	1	3
64	в прошлом	1	3
65	она не	4	3
66	жизни не	1	3
67	в основе	1	3
68	к ее	1	3
69	жизни в	6	3
70	в духе	4	3
71	к тому	7	3
72	сказать что	1	3
73	отдельных людей	1	3
74	и это	4	2
75	вкус к	1	2
76	же как	2	2
77	связана с	1	2
78	это и	1	2
79	роль в	1	2
80	не имеют	3	2
81	ведь и	1	2
82	можно было	5	2
83	так и	13	2
84	времени и	1	2
85	мы не	2	2
86	общества и	1	2
87	и с	4	2
88	но она	1	2
89	я не	1	2
90	жизни как	2	2
91	и что	2	2
92	и на	3	2
93	много ли	1	2
94	но не	3	2
95	в свои	1	2
96	века и	1	2
97	в центре	4	2
98	с этим	3	2
99	ни к	2	2
100	хотя и	2	2
101	каждого человека	2	2
102	но в	5	2
103	все эти	3	2
104	с одной	1	2
105	себя в	4	2
106	есть в	1	2
107	в себе	11	2
108	уже не	7	2
109	может уже	1	2
110	не могла	1	2
111	не будут	1	2
112	том чтобы	1	2
113	у него	9	2
114	что она	4	2
115	что все	1	2
116	нет и	1	2
117	и даже	3	2
118	и т.п	1	2
119	этом смысле	1	2
120	в природе	1	2
121	личность в	1	2
122	духовной жизни	1	2
123	том что	16	2
124	место в	1	2
125	к содержанию	1	2
126	мысли и	1	2
127	одной стороны	1	2
128	такого рода	3	2
129	обращение к	1	2
130	том и	1	2
131	ни одна	1	2
132	как будто	4	2
133	возвращается к	3	2
134	как это	1	2
135	такой же	3	2
136	глубины и	1	2
137	но для	1	2
138	в смысле	1	2
139	в то	8	2
140	одна из	2	2
141	мысли в	1	2
142	того чтобы	3	2
143	формы и	1	2
144	и от	4	2
145	и весь	1	2
146	хотя бы	1	2
147	а в	7	2
148	нельзя уже	1	2
149	когда мы	1	2
150	могут быть	1	2
151	можно назвать	1	2
152	жизни перед	1	1
153	легче чем	1	1
154	для себя	3	1
155	только потому	2	1
156	средних веков	1	1
157	характер и	2	1
158	выходит к	1	1
159	в средневековой	1	1
160	по преимуществу	3	1
161	приводит к	3	1
162	и до	1	1
163	культуре и	1	1
164	был и	1	1
165	и этот	1	1
166	в образе	1	1
167	на нее	1	1
168	мы уже	4	1
169	во многом	1	1
170	вопрос этот	1	1
171	еще в	3	1
172	героя но	1	1
173	в чуждом	1	1
174	с ним	4	1
175	нас и	1	1
176	можно сказать	4	1
177	говорить о	3	1
178	о самом	1	1
179	в виду	1	1
180	это время	1	1
181	в xix	1	1
182	же мере	2	1
183	на них	1	1
184	он стремился	1	1
185	что его	1	1
186	в чем	1	1
187	все в	1	1
188	не могут	1	1
189	своего рода	7	1
190	в которую	1	1
191	нем не	1	1
192	есть своя	1	1
193	переходит в	1	1
194	в его	8	1
195	есть по	1	1
196	себе и	2	1
197	отличие от	1	1
198	и только	1	1
199	и она	1	1
200	вся жизнь	2	1
201	но тут	1	1
202	в значительной	2	1
203	и целостности	1	1
204	в своем	4	1
205	как например	1	1
206	жизни его	1	1
207	на человека	1	1
208	человека в	6	1
209	что он	9	1
210	только в	5	1
211	единственной нашей	1	1
212	по своей	4	1
213	от этого	1	1
214	в этот	1	1
215	в самом	4	1
216	к чему	1	1
217	он действует	1	1
218	он в	1	1
219	из этих	1	1
220	же и	1	1
221	и у	1	1
222	уже в	1	1
223	вопросов бытия	1	1
224	существования и	1	1
225	вообще не	1	1
226	него и	1	1
227	из них	4	1
228	человека на	1	1
229	к своим	1	1
230	одному из	1	1
231	все еще	2	1
232	всяком случае	1	1
233	и когда	3	1
234	к одному	1	1
235	слова в	2	1
236	и жизненной	1	1
237	жизнью и	2	1
238	сами по	1	1
239	в конце	4	1
240	но ведь	1	1
241	они сами	1	1
242	друг друга	5	1
243	бытия и	4	1
244	мысли как	1	1
245	не случайно	7	1
246	и рождается	1	1
247	смысле как	1	1
248	тем что	3	1
249	заключает в	2	1
250	к той	1	1
251	в нее	1	1
252	но все	1	1
253	значительной степени	2	1
254	жить в	1	1
255	от нее	1	1
256	этом он	1	1
257	том случае	1	1
258	и из	1	1
259	нашей жизни	2	1
260	было бы	6	1
261	и быть	4	1
262	весь мир	1	1
263	было и	1	1
264	во внешней	1	1
265	себя и	2	1
266	в отличие	1	1
267	что не	2	1
268	обратиться к	1	1
269	для них	1	1
270	связано с	1	1
271	их не	1	1
272	превращается в	3	1
273	они не	2	1
274	в этой	8	1
275	ничем не	3	1
276	имеют никакого	1	1
277	не на	1	1
278	его было	1	1
279	этого не	1	1
280	жизнь в	1	1
281	долгое время	1	1
282	человеческой жизни	4	1
283	ее на	1	1
284	философской мысли	1	1
285	что мы	1	1
286	и того	1	1
287	ближе к	2	1
288	он и	1	1
289	и ему	2	1
290	перед собой	2	1
291	себя на	1	1
292	в этих	5	1
293	она сама	1	1
294	и а	5	1
295	в такой	2	1
296	на это	1	1
297	во времена	1	1
298	к себе	5	1
299	только для	2	1
300	не столько	2	1
301	не должно	1	1
302	жизни с	1	1
303	в силу	1	1
304	но он	3	1
305	о человеке	2	1
306	быть только	1	1
307	в мир	1	1
308	мы должны	1	1
309	и более	1	1
310	их в	1	1
311	истину и	1	1
312	что этот	1	1
313	он видел	1	1
314	во времени	1	1
315	том смысле	1	1
316	быть не	1	1
317	по себе	2	1
318	в это	2	1
319	нас к	1	1
320	будто бы	3	1
321	сих пор	2	1
322	о берег	1	1
323	так как	1	1
324	мира не	1	1
325	человечества и	1	1
326	человека не	2	1
327	в сущности	1	1
328	и имеет	1	1
329	до сих	2	1
330	из их	1	1
331	и скоро	1	1
332	того и	1	1
333	так много	1	1
334	о природе	3	1
335	но также	1	1
336	а во	1	1
337	единству к	1	1
338	или иная	3	1
339	к этой	3	1
340	своей природе	2	1
341	мышления не	1	1
342	не останется	1	1
343	моря и	1	1
344	с ужасом	1	1
345	и его	5	1
346	а также	3	1
347	или не	3	1
348	давно уже	1	1
349	вступает в	1	1
350	и героя	1	1
351	нет ничего	2	1
352	та или	3	1
353	ему не	2	1
354	в свою	1	1
355	всего мира	2	1
356	на смену	1	1
357	личности с	1	1
358	бытия как	1	1
359	в речах	1	1
360	и вполне	1	1
361	про себя	2	1
362	и повести	2	1
363	в которой	1	1
364	всегда есть	1	1
365	эти слова	2	1
366	во всяком	1	1
367	того времени	1	1
368	случае если	1	1
369	я могу	1	1
370	который не	1	1
371	и личности	1	1
372	все что	1	1
