N	2gram	Medvedev_S_1	Freidism
1	таким образом	2	24
2	и не	1	23
3	не может	1	20
4	прежде всего	1	18
5	в этом	5	15
6	в его	3	15
7	с помощью	1	14
8	может быть	2	13
9	и его	1	12
10	все эти	1	11
11	как и	1	11
12	как бы	2	11
13	то что	2	11
14	его в	1	10
15	с ним	1	10
16	так и	1	10
17	и потому	1	10
18	по отношению	2	9
19	и в	3	9
20	то же	2	8
21	не только	3	8
22	в своей	1	8
23	еще не	2	8
24	что он	1	8
25	только в	2	8
26	все это	7	8
27	отношению к	2	8
28	и наконец	1	7
29	те же	1	7
30	один из	1	7
31	всяком случае	1	7
32	во всяком	1	7
33	за пределы	2	6
34	вовсе не	1	6
35	никогда не	1	6
36	хотя бы	1	6
37	я и	1	5
38	в чем	1	5
39	в этой	1	5
40	не в	3	5
41	мы должны	1	5
42	в то	1	5
43	для этого	1	5
44	а в	1	5
45	но и	2	5
46	что в	2	5
47	мы не	1	4
48	но не	1	4
49	все же	1	4
50	не было	1	4
51	на основании	1	4
52	же время	1	4
53	конечно не	1	4
54	не дает	1	4
55	в котором	1	4
56	в данном	1	4
57	и о	1	4
58	в этих	1	4
59	между ними	1	4
60	и есть	1	3
61	конечном счете	1	3
62	и как	1	3
63	но ведь	3	3
64	главным образом	2	3
65	и по	1	3
66	что все	1	3
67	было бы	2	3
68	именно и	1	3
69	тому что	1	3
70	этой области	1	3
71	бы он	1	3
72	только то	1	3
73	и что	2	3
74	в конечном	1	3
75	у него	1	3
76	в них	1	3
77	на этот	1	3
78	это как	1	3
79	ни на	1	3
80	это и	2	2
81	тем же	1	2
82	благодаря тому	1	2
83	между собой	1	2
84	не без	1	2
85	сказать и	1	2
86	но как	1	2
87	дает нам	1	2
88	что это	1	2
89	что она	1	2
90	это не	1	2
91	том что	2	2
92	в таких	1	2
93	дело не	2	2
94	в процессе	1	2
95	в области	1	2
96	все то	1	2
97	когда мы	1	2
98	это вовсе	1	2
99	единства и	1	2
100	в него	1	2
101	с одной	1	2
102	в конце	2	2
103	в систему	1	2
104	с другой	1	2
105	а с	1	2
106	что таким	1	2
107	одной стороны	1	2
108	зависит от	1	2
109	только для	1	2
110	же самое	1	2
111	для нас	3	2
112	конце концов	2	2
113	из тех	1	2
114	в заключение	1	2
115	они не	1	2
116	науки о	1	1
117	и должны	1	1
118	полагает что	1	1
119	на тех	1	1
120	но она	1	1
121	как то	1	1
122	в целом	1	1
123	не способен	1	1
124	время в	1	1
125	в свои	1	1
126	кто не	1	1
127	бы видеть	1	1
128	психологии и	1	1
129	и основательно	1	1
130	идей и	2	1
131	он ни	1	1
132	перенес в	1	1
133	же это	1	1
134	новое и	1	1
135	далеко не	2	1
136	различает два	1	1
137	со своими	1	1
138	переходим к	1	1
139	какие же	1	1
140	на первый	1	1
141	и научно	1	1
142	этом нужно	1	1
143	и благодаря	1	1
144	помощью тех	1	1
145	как совокупность	1	1
146	далеки от	1	1
147	есть совокупность	1	1
148	для изучения	1	1
149	по крайней	1	1
150	бы о	1	1
151	и должно	1	1
152	это дает	1	1
153	образом в	1	1
154	ровно ничего	1	1
155	что на	1	1
156	точке зрения	1	1
157	конечно только	1	1
158	представляется нам	1	1
159	о том	1	1
160	диалектического материализма	1	1
161	ни одно	1	1
162	в мире	1	1
163	в результате	2	1
164	ничего не	1	1
165	на все	1	1
166	нашей работы	1	1
167	не выходит	1	1
168	ними в	1	1
169	крайней мере	1	1
170	тотчас же	1	1
171	к которому	2	1
172	это же	1	1
173	же законы	1	1
174	в виде	1	1
175	наука о	1	1
176	может служить	1	1
177	потому его	1	1
178	и им	1	1
179	как будто	2	1
180	тем что	1	1
181	перейти к	1	1
182	и только	3	1
183	даже не	1	1
184	именно в	1	1
185	вот в	1	1
186	отнюдь не	1	1
187	в строгом	1	1
188	правда он	1	1
189	быть не	1	1
190	благодаря этому	1	1
191	оставаясь на	1	1
192	в смысле	2	1
193	остается в	1	1
194	в область	1	1
195	он по	1	1
196	и самым	1	1
197	бы в	1	1
198	тем более	2	1
199	или не	1	1
200	в том	5	1
201	им не	2	1
202	дает никаких	1	1
203	на ней	1	1
204	очень далеки	1	1
