N	3gram	Propp_Russ_2	EvropaiE
1	с одной стороны	2	8
2	в том что	18	6
3	так же как	4	5
4	для того чтобы	6	5
5	и в этом	1	4
6	же как и	2	3
7	в этом отношении	1	3
8	можно было бы	1	3
9	в применении к	1	3
10	во всяком случае	1	3
11	можно сказать что	1	3
12	нужно заметить что	1	2
13	то что в	1	2
14	из того что	1	2
15	в данном случае	6	2
16	с другой стороны	1	2
17	не может быть	3	2
18	в свою очередь	1	2
19	на то что	1	2
20	приводит нас к	2	2
21	но не только	1	2
22	как мы видели	1	2
23	не может не	1	1
24	еще далеко не	1	1
25	чем в других	1	1
26	дело в том	1	1
27	но так как	1	1
28	более или менее	1	1
29	в тех случаях	1	1
30	как это имело	1	1
31	во многих случаях	2	1
32	своей идеологии и	1	1
33	в том же	1	1
34	не можем входить	1	1
35	как и другие	1	1
36	и во многих	1	1
37	во многих других	1	1
38	совершенно очевидно что	1	1
39	и то и	1	1
40	имело место при	1	1
41	время не имеет	1	1
42	в отличие от	3	1
43	но и в	1	1
44	тех случаях когда	1	1
45	случае она не	1	1
46	но и эта	1	1
47	что в этот	1	1
48	может быть и	1	1
49	к нему однако	1	1
50	смысле этого слова	1	1
51	в некоторых случаях	1	1
52	во всех этих	1	1
53	принадлежат к числу	1	1
54	то время как	1	1
55	в западной европе	1	1
56	например то что	1	1
57	мы видели что	4	1
58	именно тогда когда	1	1
59	и затем в	1	1
60	мы не можем	2	1
61	в то время	2	1
62	в исторической перспективе	1	1
63	т е не	1	1
64	во многих отношениях	1	1
65	а именно в	2	1
66	всех этих случаях	1	1
67	данном случае она	1	1
68	это имело место	1	1
69	только тогда когда	3	1
70	и в другие	1	1
71	и т д	5	1
