N	2gram	Savitsky_P_1	Literetu
1	не только	17	24
2	в качестве	9	17
3	но и	6	17
4	в том	9	16
5	а не	2	16
6	в частности	2	15
7	том что	4	14
8	может быть	5	13
9	и не	12	12
10	в этом	10	12
11	в своем	4	11
12	прежде всего	3	11
13	хх века	2	10
14	в русской	4	10
15	то что	4	10
16	не в	5	8
17	и в	14	8
18	только в	7	8
19	я и	3	7
20	как бы	4	7
21	в себе	3	7
22	не менее	2	7
23	в его	2	7
24	и я	1	6
25	в рамках	1	6
26	как и	1	6
27	точки зрения	3	6
28	того что	2	6
29	в жизни	2	6
30	себя в	1	6
31	xix века	6	6
32	то же	9	5
33	отличие от	1	5
34	наш взгляд	1	5
35	на наш	1	5
36	не столько	2	5
37	в отличие	1	5
38	в то	7	5
39	казалось бы	1	5
40	а также	4	5
41	же время	7	5
42	же в	4	5
43	уже в	1	5
44	не может	4	5
45	в данном	1	5
46	с его	1	5
47	тем самым	3	5
48	еще не	1	4
49	столь же	3	4
50	но не	3	4
51	в этой	1	4
52	все же	1	4
53	представляет собой	1	4
54	по преимуществу	1	4
55	не как	1	4
56	в силу	2	4
57	с собой	1	4
58	для этого	1	4
59	ведет к	1	4
60	никогда не	1	4
61	еще в	1	4
62	в формах	1	4
63	и тем	2	4
64	из них	2	4
65	мир в	1	4
66	друг друга	1	4
67	как раз	2	4
68	со стороны	2	4
69	это не	3	4
70	культуры в	2	4
71	например в	2	3
72	в сфере	2	3
73	и есть	2	3
74	тем же	1	3
75	века в	1	3
76	также и	1	3
77	что его	1	3
78	более чем	2	3
79	в самом	1	3
80	его в	1	3
81	в душе	1	3
82	далеко не	1	3
83	русской культуры	1	3
84	но в	9	3
85	одна из	2	3
86	в области	11	3
87	ли не	1	3
88	в пределах	8	3
89	сводится к	3	3
90	потому что	3	3
91	одно из	1	3
92	с другой	5	3
93	не было	2	3
94	да и	2	3
95	что в	4	3
96	а в	4	3
97	во всяком	1	3
98	и весьма	2	2
99	и то	1	2
100	должна быть	1	2
101	и само	1	2
102	на себя	1	2
103	в е	2	2
104	отнюдь не	2	2
105	только то	1	2
106	чуть ли	1	2
107	из этих	1	2
108	во многих	1	2
109	в нем	3	2
110	не к	2	2
111	поэзии и	1	2
112	сознания к	1	2
113	было бы	6	2
114	для них	2	2
115	всяком случае	1	2
116	с точки	3	2
117	эта мысль	1	2
118	в россии	3	2
119	xviii века	1	2
120	и ранее	1	2
121	могут быть	3	2
122	должен быть	1	2
123	в себя	1	2
124	к смерти	1	2
125	в мире	2	2
126	или иной	1	2
127	духовных исканий	1	2
128	с одной	3	2
129	между тем	3	2
130	и только	1	2
131	хотя бы	8	2
132	их не	1	2
133	только на	1	2
134	что не	1	2
135	от тех	1	2
136	душе своей	1	2
137	одной стороны	3	2
138	и м	1	2
139	нет ничего	1	2
140	русской литературы	1	2
141	россии как	3	2
142	в сферу	1	2
143	тем более	2	2
144	не есть	1	2
145	которых не	1	1
146	как известно	1	1
147	же как	1	1
148	на две	1	1
149	ни были	1	1
150	есть не	2	1
151	мы не	3	1
152	вопрос о	1	1
153	этом не	1	1
154	есть нечто	2	1
155	в полной	2	1
156	не вследствие	1	1
157	которое в	2	1
158	новейшей русской	1	1
159	в xix	2	1
160	он был	1	1
161	огромное и	1	1
162	в различных	1	1
163	глаза на	1	1
164	но как	1	1
165	отказом от	1	1
166	не просто	1	1
167	основная задача	1	1
168	как к	1	1
169	мы можем	1	1
170	и слова	1	1
171	могли бы	1	1
172	и как	3	1
173	мира к	1	1
174	духа и	2	1
175	россии не	1	1
176	в которой	1	1
177	если мы	1	1
178	на территории	1	1
179	в жертву	1	1
180	на то	1	1
181	в статье	2	1
182	идеи и	1	1
183	в начале	2	1
184	и вот	2	1
185	почти исключительно	1	1
186	и более	1	1
187	вся в	1	1
188	чтобы в	1	1
189	какой бы	1	1
190	и по	1	1
191	в борьбе	1	1
192	в каждом	1	1
193	а затем	1	1
194	как автор	1	1
195	о явлениях	1	1
196	к ценностям	1	1
197	и с	2	1
198	полной мере	2	1
199	большинстве случаев	1	1
200	и мы	2	1
201	в них	2	1
202	в ее	2	1
203	с тем	3	1
204	и уже	1	1
205	должно быть	2	1
206	в эту	2	1
207	в этих	1	1
208	в г	1	1
209	но до	1	1
210	на личную	1	1
211	представить себе	1	1
212	в отношении	10	1
213	что от	1	1
214	к предмету	1	1
215	в условиях	1	1
216	в которых	5	1
217	культуры можно	1	1
218	творчества и	2	1
219	если бы	4	1
220	того кто	1	1
221	как проблема	1	1
222	в историческом	1	1
223	и достоевского	2	1
224	что есть	1	1
225	она не	1	1
226	иной раз	1	1
227	не имеет	1	1
228	тогда когда	1	1
229	говорить о	2	1
230	есть путь	1	1
231	и всегда	1	1
232	возвращением к	1	1
233	другой стороны	1	1
234	xix веке	2	1
235	для нас	2	1
236	в каком	1	1
237	с другом	1	1
238	в момент	1	1
239	и другим	1	1
240	что при	1	1
241	глубоко в	1	1
242	россии в	5	1
243	мысль о	2	1
244	культуры и	1	1
245	так было	1	1
246	к жизни	1	1
247	в годы	1	1
248	на нее	1	1
249	быть может	6	1
250	в эпоху	1	1
251	и здесь	1	1
252	на чью	1	1
253	ценности и	1	1
254	никак не	2	1
255	и что	1	1
256	пор пока	1	1
257	и который	1	1
258	в значительной	2	1
259	на основе	1	1
260	к истине	1	1
261	во всех	2	1
262	да в	1	1
263	во всей	2	1
264	реальность в	1	1
265	и других	2	1
266	вслед за	3	1
267	интеллигенции и	1	1
268	более что	1	1
269	владимира соловьева	1	1
270	тот же	3	1
271	присутствующее в	1	1
272	в какой	1	1
273	гораздо более	1	1
274	может оказаться	1	1
275	русской культуре	1	1
276	было и	1	1
277	бы ни	2	1
278	тот или	1	1
279	оказывается в	1	1
280	в большинстве	1	1
281	в виде	2	1
282	где бы	2	1
283	в котором	4	1
284	не о	2	1
285	отношении к	5	1
286	до тех	1	1
287	бы это	1	1
288	представляют собой	1	1
289	из двух	1	1
290	нужно было	2	1
291	в исторической	1	1
292	что и	1	1
293	может и	2	1
294	именно в	2	1
295	а с	1	1
296	на основании	1	1
297	и политического	4	1
298	технических средств	1	1
299	в бытии	1	1
300	прямо на	1	1
301	мы знаем	1	1
302	в творчестве	1	1
303	и если	4	1
304	творения в	1	1
305	ни на	1	1
306	из мира	1	1
307	многих случаях	1	1
308	и на	1	1
309	и пусть	2	1
310	в мир	1	1
311	ней не	2	1
312	многих других	1	1
313	тех пор	1	1
314	в это	1	1
315	стремления к	1	1
316	с ее	1	1
317	и о	5	1
318	мира который	1	1
319	такова же	1	1
320	между прочим	2	1
321	но для	1	1
322	которые были	1	1
323	как явление	1	1
324	только что	1	1
325	в человеческих	1	1
326	в общем	2	1
327	в ходе	1	1
328	только как	1	1
329	преодоления и	1	1
330	в иной	1	1
331	в трех	1	1
332	пути к	1	1
333	ранее в	1	1
334	к этой	1	1
335	а я	5	1
336	вместе с	1	1
337	сущности не	1	1
338	и особенно	1	1
339	том числе	2	1
340	они не	1	1
