N	2gram	Losev_Prob_4	PoTuStor
1	может быть	9	17
2	и в	20	16
3	в этом	9	9
4	таким образом	8	9
5	и только	4	9
6	мы можем	3	9
7	прежде всего	11	9
8	и с	7	8
9	точки зрения	14	8
10	и его	10	8
11	не может	5	8
12	совершенно не	3	8
13	с его	2	7
14	не только	24	7
15	сказать что	7	7
16	самом деле	3	6
17	конечно не	3	6
18	при этом	6	6
19	с точки	11	6
20	и это	2	6
21	для него	3	6
22	и к	3	6
23	еще не	7	5
24	в чем	2	5
25	отношение к	1	5
26	все эти	16	5
27	только для	3	5
28	ни в	17	5
29	нуждается в	1	5
30	как бы	4	5
31	на самом	5	4
32	и ее	4	4
33	и на	3	4
34	отнюдь не	10	4
35	и наконец	4	4
36	но в	8	4
37	в этой	4	4
38	в нем	5	4
39	и может	2	4
40	его в	2	4
41	все это	9	4
42	самого начала	1	4
43	как мы	3	4
44	с ее	2	4
45	с самого	1	4
46	так и	10	4
47	можно сказать	5	4
48	в его	3	4
49	с ними	2	4
50	только в	23	4
51	для всех	3	4
52	так как	5	4
53	и даже	9	4
54	но и	14	4
55	и не	28	4
56	и все	8	4
57	хотя бы	7	4
58	едва ли	10	3
59	во всех	4	3
60	и есть	4	3
61	и как	3	3
62	и художественного	1	3
63	учение о	3	3
64	с их	1	3
65	и вот	1	3
66	на этой	2	3
67	этом смысле	3	3
68	том что	12	3
69	во время	1	3
70	сих пор	1	3
71	в одном	4	3
72	по крайней	6	3
73	и притом	2	3
74	в основе	1	3
75	до сих	1	3
76	чем не	1	3
77	мира и	1	3
78	по сравнению	1	3
79	представлений и	1	3
80	с другими	3	3
81	крайней мере	6	3
82	и она	1	3
83	в том	20	3
84	только на	2	3
85	большинстве случаев	1	3
86	всяком случае	4	3
87	в области	3	3
88	и др	1	3
89	для сознания	1	3
90	ребенка и	1	3
91	вместе с	5	3
92	и потому	7	3
93	как это	3	3
94	сравнению с	1	3
95	могут быть	1	3
96	что в	3	3
97	в этих	5	3
98	а в	4	3
99	то что	15	3
100	между ними	1	3
101	жизни и	5	3
102	во всяком	8	3
103	же как	1	2
104	нам кажется	2	2
105	в самом	2	2
106	и этот	3	2
107	мы не	7	2
108	и о	5	2
109	говорить о	2	2
110	что можно	1	2
111	того же	2	2
112	и говорить	1	2
113	на них	1	2
114	между собой	2	2
115	на высоте	1	2
116	из этих	1	2
117	совсем не	1	2
118	но как	3	2
119	нет и	2	2
120	за пределы	2	2
121	меньше всего	3	2
122	с этим	4	2
123	в этот	1	2
124	что это	2	2
125	но ведь	1	2
126	вообще не	3	2
127	он не	2	2
128	и исключительно	1	2
129	и по	2	2
130	то же	7	2
131	по своему	6	2
132	связанные с	1	2
133	этой ступени	1	2
134	нечего и	1	2
135	было бы	14	2
136	в жизни	3	2
137	кажется что	2	2
138	в них	5	2
139	как и	6	2
140	между собою	2	2
141	на первый	1	2
142	в своей	4	2
143	войти в	1	2
144	и вся	1	2
145	не менее	10	2
146	никогда не	1	2
147	только и	5	2
148	на два	1	2
149	сущность его	1	2
150	понятия и	3	2
151	в каком	6	2
152	не могут	1	2
153	и всех	2	2
154	что оно	1	2
155	существует только	1	2
156	не будет	2	2
157	на основе	1	2
158	только то	1	2
159	в пределах	2	2
160	для этого	2	2
161	и вообще	6	2
162	с ним	4	2
163	находится в	1	2
164	о том	5	2
165	другими словами	3	2
166	для нас	6	2
167	что и	3	2
168	оно и	1	2
169	образов и	1	2
170	мы видим	1	2
171	что он	8	2
172	и так	1	2
173	поэтому и	1	2
174	со всеми	2	2
175	есть в	7	2
176	да еще	1	2
177	если мы	5	2
178	об его	2	2
179	в начале	3	2
180	для меня	1	2
181	у него	1	2
182	что не	4	2
183	не на	1	2
184	остается и	1	2
185	что мы	3	2
186	в одно	6	2
187	в частности	2	2
188	так же	5	2
189	чувства и	1	2
190	с этой	1	2
191	но это	6	2
192	к другим	1	2
193	и для	4	2
194	не существует	5	2
195	сознания и	3	2
196	но отнюдь	1	2
197	но зато	1	2
198	ни было	2	2
199	не есть	12	2
200	из тех	1	2
201	не знает	1	2
202	всех других	2	2
203	а может	2	2
204	во сне	1	2
205	можно назвать	2	2
206	говоря о	1	1
207	человека и	1	1
208	мы здесь	2	1
209	и то	2	1
210	всех действительных	3	1
211	или к	2	1
212	это и	4	1
213	жизни мы	1	1
214	случае только	1	1
215	что эти	1	1
216	случае нельзя	1	1
217	в году	1	1
218	притом даже	1	1
219	до времени	1	1
220	мы имеем	6	1
221	что между	1	1
222	что если	1	1
223	вопрос о	1	1
224	нам в	1	1
225	так чтобы	2	1
226	почти исключительно	1	1
227	но даже	4	1
228	человеческого организма	2	1
229	зависимости от	3	1
230	живое существо	4	1
231	в ней	7	1
232	и самого	1	1
233	он был	3	1
234	иное как	2	1
235	не был	1	1
236	столь же	2	1
237	бы то	1	1
238	что его	4	1
239	где же	1	1
240	здесь имеем	1	1
241	но не	5	1
242	и три	1	1
243	коем случае	3	1
244	с самой	1	1
245	заметим что	3	1
246	значение и	1	1
247	символов которые	1	1
248	мы сейчас	3	1
249	что они	2	1
250	только путем	1	1
251	для объяснения	1	1
252	нашего сознания	1	1
253	первый взгляд	1	1
254	общего с	2	1
255	сказать то	1	1
256	сам же	1	1
257	как нам	1	1
258	все же	2	1
259	однако не	4	1
260	всей этой	1	1
261	хотя и	5	1
262	когда он	1	1
263	был связан	1	1
264	не являются	2	1
265	это просто	1	1
266	всего как	1	1
267	чего же	1	1
268	уже не	5	1
269	ни один	1	1
270	а во-вторых	1	1
271	сказать о	3	1
272	в нашем	12	1
273	или во	1	1
274	видим и	2	1
275	как он	1	1
276	имеем в	3	1
277	по мнению	1	1
278	случайные и	1	1
279	на его	2	1
280	что она	4	1
281	освобождение от	1	1
282	было с	1	1
283	но именно	2	1
284	идеи и	1	1
285	отношений между	1	1
286	в корне	2	1
287	жизни рождение	1	1
288	объяснения всех	1	1
289	с чем	1	1
290	мы говорили	1	1
291	человека в	3	1
292	от нее	1	1
293	а вместе	2	1
294	то ни	1	1
295	как они	2	1
296	а то	2	1
297	на все	2	1
298	всех областях	1	1
299	это было	2	1
300	искусства в	1	1
301	себе все	2	1
302	мы сказали	1	1
303	весь мир	2	1
304	мы считаем	1	1
305	которая была	1	1
306	не чем	2	1
307	для них	2	1
308	он является	1	1
309	и представить	1	1
310	с тем	4	1
311	несмотря на	4	1
312	жизни но	1	1
313	нечто третье	1	1
314	ясно из	1	1
315	значение как	1	1
316	смысл и	1	1
317	и еще	1	1
318	но если	6	1
319	что есть	1	1
320	и мышления	3	1
321	и духовную	1	1
322	никакому сомнению	1	1
323	вторая часть	1	1
324	любовь и	1	1
325	к такой	1	1
326	но эта	2	1
327	выше мы	1	1
328	не будем	2	1
329	которые в	1	1
330	страха и	1	1
331	который всегда	1	1
332	иным как	2	1
333	так называемое	1	1
334	и общества	1	1
335	вещей и	1	1
336	однако в	2	1
337	на всю	1	1
338	и почти	1	1
339	этот мир	1	1
340	в атмосфере	1	1
341	можно ли	3	1
342	или что	1	1
343	иной раз	1	1
344	с теми	1	1
345	в смысле	5	1
346	в эпоху	1	1
347	что представляет	1	1
348	дело в	2	1
349	почти во	1	1
350	в самых	3	1
351	что иное	2	1
352	того чтобы	2	1
353	только не	4	1
354	не имеет	4	1
355	на путях	2	1
356	это мы	1	1
357	вообще нет	1	1
358	в отношениях	1	1
359	в коем	3	1
360	ничего не	1	1
361	этих двух	1	1
362	они являются	1	1
363	это именно	1	1
364	во всем	2	1
365	к этим	1	1
366	связи с	3	1
367	ничто не	1	1
368	в сознании	3	1
369	в виду	6	1
370	них свои	1	1
371	уже и	3	1
372	и делает	1	1
373	мы и	1	1
374	ему это	1	1
375	у меня	2	1
376	или только	1	1
377	не давая	1	1
378	отличается от	4	1
379	же самое	6	1
380	к тому	3	1
381	бы он	1	1
382	той или	14	1
383	для его	2	1
384	наконец что	1	1
385	что при	1	1
386	как известно	1	1
387	ничего общего	5	1
388	на какую-нибудь	1	1
389	он прежде	1	1
390	который только	1	1
391	без всякого	4	1
392	данном случае	5	1
393	только при	6	1
394	важно только	1	1
395	даже самое	1	1
396	говорили что	1	1
397	отвлечься от	1	1
398	так было	1	1
399	и что	2	1
400	если они	1	1
401	и сам	1	1
402	что может	1	1
403	в другом	3	1
404	можно было	4	1
405	времени и	4	1
406	мог бы	1	1
407	образов миф	1	1
408	и принцип	1	1
409	это только	1	1
410	если бы	8	1
411	остановимся на	2	1
412	новых и	1	1
413	эти основные	1	1
414	в разных	4	1
415	его интересует	1	1
416	о ней	1	1
417	часто и	1	1
418	развития в	1	1
419	и здесь	1	1
420	но к	1	1
421	имеем дело	3	1
422	внимание на	1	1
423	как ее	1	1
424	нас в	1	1
425	работе мы	2	1
426	очень близко	1	1
427	познание и	1	1
428	эти два	1	1
429	на одном	1	1
430	и содержания	1	1
431	быть даже	1	1
432	как учение	1	1
433	нельзя сказать	1	1
434	и можно	5	1
435	нем и	1	1
436	все время	2	1
437	каких бы	1	1
438	и об	1	1
439	в которую	1	1
440	к нему	3	1
441	что здесь	6	1
442	но так	2	1
443	ли будет	1	1
444	тот же	2	1
445	на другие	1	1
446	дело с	2	1
447	человека все	1	1
448	о смерти	1	1
449	никак нельзя	1	1
450	нас здесь	1	1
451	с одной	1	1
452	в качестве	10	1
453	себя в	2	1
454	образов в	1	1
455	же и	3	1
456	цель которых	1	1
457	уже в	4	1
458	то и	5	1
459	в конкретной	2	1
460	в нашей	1	1
461	ощущения представления	1	1
462	а это	3	1
463	веры и	1	1
464	не дает	1	1
465	ведь это	1	1
466	в известной	1	1
467	жизни таким	1	1
468	ним и	1	1
469	в конце	2	1
470	вовсе не	21	1
471	с этими	1	1
472	не случайно	1	1
473	случае не	5	1
474	заметить что	1	1
475	не говорит	1	1
476	как раз	4	1
477	даже и	13	1
478	для того	3	1
479	образом к	1	1
480	со всем	1	1
481	без всякой	2	1
482	или иной	13	1
483	с другой	7	1
484	здесь в	5	1
485	в каких	1	1
486	являются только	1	1
487	и прежде	2	1
488	в свою	1	1
489	и быть	1	1
490	представляет собою	1	1
491	на чем	1	1
492	мы еще	1	1
493	что для	1	1
494	основные тенденции	1	1
495	говорит о	2	1
496	у нас	14	1
497	одной стороны	1	1
498	а наоборот	2	1
499	и самый	1	1
500	а не	7	1
501	своем месте	1	1
502	именно так	1	1
503	ведь именно	1	1
504	для человека	1	1
505	об ее	2	1
506	не всегда	1	1
507	в связи	3	1
508	обработке и	2	1
509	бы оно	1	1
510	и особенно	1	1
511	но особенно	1	1
512	конечно есть	1	1
513	в данном	6	1
514	что же	1	1
515	а потом	1	1
516	у самого	1	1
517	ли все	1	1
518	в человеческом	2	1
519	том смысле	2	1
520	есть то	1	1
521	так ли	1	1
522	мы скажем	1	1
523	под названием	1	1
524	это уже	3	1
525	и часто	1	1
526	жизни когда	1	1
527	в самые	1	1
528	оно более	3	1
529	и художественных	1	1
530	не подлежит	1	1
531	мы только	2	1
532	и представления	1	1
533	которые на	1	1
534	еще более	2	1
535	и ни	5	1
536	наконец все	1	1
537	мы должны	3	1
538	только что	2	1
539	же в	4	1
540	хотя в	1	1
541	входить в	1	1
542	по поводу	1	1
543	жизни в	2	1
