N	4gram	Vygotskiy__1	Stilisti
1	одно и то же	1	4
2	одни и те же	1	2
3	не что иное как	1	2
4	все больше и больше	1	2
5	точном смысле этого слова	1	2
6	но для того чтобы	1	2
7	и для того чтобы	1	2
8	одной и той же	3	2
9	только благодаря тому что	1	1
10	одного и того же	1	1
11	убедиться в том что	1	1
12	от тех или иных	1	1
13	в таких словах как	1	1
14	в собственном смысле слова	2	1
15	само по себе не	1	1
16	одному и тому же	1	1
17	в те времена когда	1	1
18	все сильнее и сильнее	1	1
19	и не было бы	1	1
20	но вместе с тем	1	1
21	к одному и тому	1	1
22	одну и ту же	1	1
23	то же самое и	1	1
24	одном и том же	1	1
25	приходится иметь дело с	1	1
26	при этом не только	1	1
27	одним и тем же	1	1
28	мы никогда не найдем	1	1
