1	с точки зрения	3	5
2	не может быть	9	4
3	по отношению к	13	3
4	что иное как	2	2
5	с самого начала	3	2
6	не что иное	2	2
7	но так как	1	2
8	в том что	13	2
9	с одной стороны	3	2
10	nihil est in	1	2
11	с другой стороны	5	2
12	дойти до того	1	1
13	быть сведены к	1	1
14	то что в	1	1
15	в каждом отдельном	1	1
16	к тому что	2	1
17	по себе а	1	1
18	est in intellectu	1	1
19	все то что	2	1
20	не мог бы	1	1
21	в разных местах	1	1
22	язык во всем	2	1
23	мы видим у	1	1
24	и как бы	3	1
25	если бы мы	1	1
26	заключена только в	1	1
27	ключ ко всем	1	1
28	говорить и о	1	1
29	том что язык	1	1
30	тем не менее	6	1
31	в связи с	1	1
32	но тем не	3	1
33	но в действительности	1	1
34	не может в	1	1
35	intellectu quod non	1	1
36	можно было бы	1	1
37	примыкает к тому	1	1
38	ко всем тайнам	1	1
39	для того чтобы	2	1
40	в этом отношении	1	1
41	само по себе	4	1
42	несмотря на все	1	1
43	более или менее	1	1
44	в собственном смысле	1	1
45	в то же	3	1
46	во всем своем	1	1
47	одно другим но	1	1
48	до такой степени	1	1
49	может быть не	1	1
50	так же как	1	1
51	на самом деле	1	1
52	то же время	3	1
53	с этой точки	1	1
54	отношению к другим	1	1
55	возможно только в	1	1
56	не было бы	1	1
57	таким образом мы	1	1
58	то не только	1	1
59	подобно тому как	3	1
60	мы не можем	1	1
61	там где нет	1	1
62	на то что	1	1
63	между тем как	1	1
64	как и в	2	1
65	только потому что	2	1
66	этой точки зрения	1	1
67	in intellectu quod	1	1
68	только то что	1	1
