1	в то же	4	7
2	то же время	4	7
3	не только в	4	4
4	в том что	17	4
5	с точки зрения	8	3
6	сами по себе	1	3
7	с одной стороны	2	3
8	в том числе	2	2
9	но и в	2	2
10	и в то	1	2
11	заключается в том	3	2
12	только в ней	1	1
13	и не может	1	1
14	хотя бы и	2	1
15	тем более что	2	1
16	в этом смысле	1	1
17	и то что	2	1
18	о котором говорит	1	1
19	не может быть	5	1
20	в применении к	3	1
21	но также в	1	1
22	что с точки	1	1
23	и в этом	3	1
24	том что в	3	1
25	нет никакого сомнения	1	1
26	во всяком случае	6	1
27	если бы мы	2	1
28	для того чтобы	10	1
29	и более чем	1	1
30	никакого сомнения что	1	1
31	том числе и	2	1
32	не в том	2	1
33	что в момент	1	1
34	и т д	21	1
35	но также и	4	1
36	далеко не все	1	1
37	так же как	3	1
38	в наших глазах	2	1
39	с величайшим трудом	1	1
40	с другой стороны	6	1
41	во многих случаях	2	1
42	очень и очень	1	1
43	чуть ли не	2	1
44	но в то	2	1
45	во всей полноте	1	1
46	в настоящее время	1	1
47	за то что	3	1
