N	3gram	Bakhtin_sl_1	Problemy
1	с точки зрения	8	13
2	то же время	12	9
3	в то же	12	9
4	в том что	1	6
5	и в этом	2	5
6	в одной плоскости	1	5
7	в зависимости от	3	5
8	но в то	4	5
9	зрения на мир	4	4
10	а не как	2	4
11	не может быть	1	4
12	рядом с другими	1	3
13	не входит в	1	3
14	и т п	23	3
15	и о своем	1	3
16	это не значит	1	3
17	одной плоскости с	1	3
18	в этом отношении	1	3
19	во всяком случае	5	3
20	с другой стороны	4	3
21	и в сущности	2	2
22	значит конечно что	1	2
23	он может быть	1	2
24	до сих пор	2	2
25	и не может	2	2
26	в лучшем случае	2	2
27	и в то	5	2
28	хотя бы и	3	2
29	точка зрения на	2	2
30	бы то ни	1	2
31	лишь одним из	1	2
32	в их основе	2	2
33	но это не	1	2
34	в данном случае	3	2
35	не только в	2	2
36	не значит конечно	1	2
37	мир и на	1	2
38	является лишь одним	1	2
39	но с другой	1	2
40	в большинстве случаев	6	2
41	лишь там где	1	2
42	можно было бы	2	2
43	именно потому что	1	2
44	на мир и	1	2
45	в самом предмете	3	1
46	нам важна здесь	1	1
47	героя и этим	1	1
48	слов о нем	1	1
49	а следовательно и	1	1
50	истории европейского романа	1	1
51	как и у	1	1
52	прямо сказать что	1	1
53	точки зрения которого	1	1
54	а вовсе не	2	1
55	дело в том	1	1
56	в свою очередь	2	1
57	в нем и	1	1
58	большей или меньшей	4	1
59	же время и	1	1
60	как точка зрения	1	1
61	в том и	2	1
62	в этом случае	2	1
63	из одного в	2	1
64	лежит в одной	1	1
65	и могли бы	1	1
66	в настоящем и	1	1
67	с таким же	1	1
68	в своей книге	1	1
69	для его голоса	1	1
70	но и на	1	1
71	в неразрывной связи	1	1
72	по преимуществу в	1	1
73	себе самому и	1	1
74	может находиться в	1	1
75	всех сферах идеологической	1	1
76	как мы уже	2	1
77	перестает быть тем	2	1
78	в противном случае	1	1
79	кроме того и	1	1
80	могла бы быть	1	1
81	в нем в	3	1
82	может быть только	2	1
83	по крайней мере	1	1
84	своего и чужого	2	1
85	сферах идеологической жизни	1	1
86	взаимодействия с другими	1	1
87	так и в	3	1
88	в романе же	1	1
89	и у тургенева	1	1
90	может быть и	1	1
91	но у него	1	1
92	и у него	1	1
93	в прокрустово ложе	1	1
94	и в частности	1	1
95	и в авторской	1	1
96	в этом как	1	1
97	вот что говорит	1	1
98	слова так как	1	1
99	то время как	2	1
100	могут быть отнесены	1	1
101	как мы сказали	4	1
102	становится одним из	1	1
103	в первом случае	2	1
104	в истории европейского	1	1
105	то ни было	1	1
106	со всею ясностью	1	1
107	тех или иных	1	1
108	бы ни были	2	1
109	и не могут	1	1
110	не столько в	1	1
111	в высшее единство	1	1
112	дело далеко не	1	1
113	в известном смысле	2	1
114	и вне его	1	1
115	переходил из одного	1	1
116	пробным камнем для	1	1
117	не могут быть	2	1
118	и на его	1	1
119	и потому не	1	1
120	в большей или	3	1
121	или меньшей степени	3	1
122	в его романах	1	1
123	лишь абстрактный момент	1	1
124	перед нами в	1	1
125	бы оно ни	1	1
126	в пределах того	4	1
127	один из этих	1	1
128	можно прямо сказать	1	1
129	высказывания и в	1	1
130	этой точки зрения	1	1
131	что они не	1	1
132	и во всяком	1	1
133	о том что	1	1
134	того или иного	2	1
135	одного в другой	2	1
136	оно ни было	1	1
137	более или менее	3	1
138	неразрывной связи с	1	1
139	таким образом в	3	1
140	в одном из	1	1
141	она не входит	1	1
142	имеем в виду	1	1
143	в то время	2	1
144	у него есть	1	1
145	преломления в них	1	1
146	с самого начала	1	1
147	не только не	1	1
148	ни одной из	1	1
149	как бы ни	2	1
150	и так сказать	1	1
151	к своему предмету	1	1
152	выходит за пределы	3	1
153	можно сказать что	1	1
154	мы имеем в	1	1
155	они ни были	1	1
156	с чужим словом	8	1
157	во всех сферах	3	1
158	уже не только	1	1
159	и следовательно в	2	1
160	к тому что	2	1
161	до известной степени	2	1
162	в единство некоторого	1	1
163	одному и единому	2	1
164	это не только	1	1
165	друг с другом	2	1
166	в его сознании	1	1
167	и всякое иное	1	1
168	в отношении к	6	1
169	и на события	1	1
170	для того чтобы	1	1
171	отношение к своему	2	1
172	в авторской речи	1	1
173	до простой ремарки	1	1
174	точек зрения и	1	1
175	повсюду во все	1	1
176	и т д	5	1
177	как мы видели	1	1
