N	2gram	Berdyaev_O_1	DiskursI
1	в себе	3	19
2	в этом	12	16
3	как и	6	16
4	и в	19	16
5	может быть	11	16
6	и не	13	15
7	а не	11	14
8	в частности	1	12
9	но в	2	11
10	представляет собой	1	11
11	в мире	1	11
12	но и	13	11
13	со стороны	1	10
14	не только	11	10
15	том что	2	10
16	так и	2	9
17	не может	4	9
18	как в	1	8
19	в том	5	8
20	но не	1	7
21	в нем	10	7
22	прежде всего	9	7
23	еще не	3	6
24	с его	4	6
25	все же	2	6
26	в своей	2	6
27	по своей	1	6
28	в своих	3	6
29	и на	2	5
30	в своем	2	5
31	что в	4	5
32	для него	5	5
33	то что	5	5
34	а с	1	5
35	ни к	1	5
36	и то	2	4
37	в этой	5	4
38	человека в	11	4
39	потому что	9	4
40	этом отношении	1	4
41	о том	3	4
42	одно из	2	4
43	в одном	1	4
44	как бы	3	4
45	к его	1	4
46	к этому	2	4
47	также и	1	3
48	например в	1	3
49	чего не	1	3
50	в строгом	1	3
51	и ее	3	3
52	и как	1	3
53	все эти	4	3
54	он не	7	3
55	в другом	2	3
56	его в	2	3
57	это не	3	3
58	ведет к	1	3
59	в этих	3	3
60	в котором	1	3
61	одном из	1	3
62	не в	11	3
63	в русской	3	3
64	могут быть	3	3
65	мысль о	2	3
66	в его	7	3
67	и его	4	3
68	уже не	1	3
69	из них	1	3
70	в них	1	3
71	не было	9	3
72	мира в	1	3
73	в творчестве	5	3
74	как будто	1	3
75	но это	1	3
76	в пределе	1	3
77	и все	10	3
78	жизни в	2	3
79	жизни а	1	3
80	жизни и	1	3
81	о любви	2	2
82	и это	1	2
83	жизни как	1	2
84	в ней	1	2
85	к которой	1	2
86	отношение к	5	2
87	что как	1	2
88	в записках	3	2
89	должна быть	1	2
90	этом мире	2	2
91	заключает в	1	2
92	и с	2	2
93	должно быть	2	2
94	все это	6	2
95	дело в	1	2
96	никогда не	9	2
97	жизни не	1	2
98	указать на	1	2
99	с их	1	2
100	природе своей	1	2
101	не с	1	2
102	что и	2	2
103	момент в	2	2
104	на примере	1	2
105	с той	1	2
106	и прежде	1	2
107	стремится к	1	2
108	о чем	1	2
109	что же	2	2
110	в свое	1	2
111	и для	2	2
112	по природе	1	2
113	интерес к	1	2
114	а в	5	2
115	образ человека	2	2
116	что он	3	2
117	и состоит	1	2
118	мире это	1	1
119	чтобы не	1	1
120	самом деле	1	1
121	и есть	3	1
122	к другому	1	1
123	достоевского в	3	1
124	к чему	1	1
125	есть не	1	1
126	не умирает	1	1
127	мы не	1	1
128	начало в	1	1
129	вопрос о	10	1
130	в сущности	1	1
131	не иметь	1	1
132	собой в	1	1
133	он был	8	1
134	он сам	4	1
135	людей в	1	1
136	характер и	1	1
137	там и	1	1
138	во внешнем	1	1
139	в ее	2	1
140	иных случаях	1	1
141	всего он	1	1
142	к богу	1	1
143	человеческих отношений	4	1
144	человека с	1	1
145	в истории	2	1
146	человеческой личности	6	1
147	в одной	1	1
148	для русской	1	1
149	хотя и	2	1
150	в этот	2	1
151	то в	1	1
152	в самом	5	1
153	знаменательно что	1	1
154	в которой	2	1
155	счастья и	1	1
156	и недостаточно	1	1
157	человеке и	5	1
158	ума что	1	1
159	говорят о	1	1
160	как у	1	1
161	человек не	7	1
162	не имеют	1	1
163	о которой	2	1
164	он должен	1	1
165	же это	2	1
166	к одному	1	1
167	в силу	1	1
168	свободу в	1	1
169	я бы	1	1
170	различие между	3	1
171	всей ее	1	1
172	лишь в	7	1
173	пути от	1	1
174	не совпадает	1	1
175	лишь на	1	1
176	в жизни	1	1
177	этого она	1	1
178	она и	1	1
179	со всей	1	1
180	которую он	2	1
181	своей жизни	2	1
182	человеком и	1	1
183	страха и	1	1
184	и более	1	1
185	перед ним	1	1
186	двух противоположных	1	1
187	остаются на	1	1
188	любви и	1	1
189	отношения что	1	1
190	вообще но	1	1
191	она не	1	1
192	мысли в	1	1
193	одна из	1	1
194	в процессе	1	1
195	отрешиться от	1	1
196	жизнь более	1	1
197	ничего не	2	1
198	в разных	1	1
199	не вполне	1	1
200	того как	1	1
201	к ней	2	1
202	мира по	1	1
203	и до	1	1
204	во всем	1	1
205	что русский	1	1
206	начиная с	1	1
207	не могут	3	1
208	было у	1	1
209	отличается от	1	1
210	всего в	2	1
211	его с	1	1
212	указывает на	1	1
213	не есть	2	1
214	говорится что	1	1
215	бытия как	1	1
216	и сам	1	1
217	этот период	1	1
218	для человеческого	2	1
219	его героев	2	1
220	и каждый	1	1
221	чем у	1	1
222	в эпоху	1	1
223	и даже	1	1
224	один человек	1	1
225	с ним	3	1
226	о нем	1	1
227	и здесь	1	1
228	другом месте	1	1
229	и что	1	1
230	не стоит	1	1
231	самому себе	1	1
232	в глазах	1	1
233	в форме	1	1
234	бога к	1	1
235	у обоих	1	1
236	он создал	1	1
237	и мир	1	1
238	действующих лиц	1	1
239	не идет	1	1
240	приходит в	1	1
241	так что	2	1
242	есть откровение	1	1
243	же и	1	1
244	чего бы	1	1
245	мир в	1	1
246	в новом	1	1
247	всяком случае	1	1
248	вовсе не	1	1
249	может служить	1	1
250	не случайно	1	1
251	тем что	2	1
252	в других	2	1
253	был даже	1	1
254	чем и	1	1
255	того что	3	1
256	бытия но	1	1
257	лица в	1	1
258	но есть	1	1
259	не нужна	1	1
260	к человеку	9	1
261	которой нет	1	1
262	на этот	1	1
263	откровение его	1	1
264	до конца	7	1
265	и своим	1	1
266	его как	1	1
267	ближе к	1	1
268	в одно	1	1
269	бытия она	1	1
270	человек в	1	1
271	русской литературы	1	1
272	как это	1	1
273	в иных	1	1
274	не одно	1	1
275	этого типа	1	1
276	и там	2	1
277	в мир	1	1
278	мотив в	1	1
279	для человека	2	1
280	да и	1	1
281	в это	1	1
282	и от	3	1
283	оба они	1	1
284	видно что	1	1
285	один из	1	1
286	лишь его	1	1
287	тут все	1	1
288	мысли не	1	1
289	человека для	1	1
290	его не	2	1
