N	3gram	Berdyaev_N_1	Problemy
1	во всяком случае	1	4
2	в этом смысле	2	3
3	он не может	2	3
4	в высшей степени	6	3
5	с другой стороны	2	3
6	не может быть	4	3
7	и не может	1	2
8	в отличие от	1	2
9	можно было бы	1	2
10	и не в	1	2
11	в такой же	1	2
12	не в силах	1	2
13	подобно тому как	3	2
14	в большинстве случаев	1	2
15	в том что	1	2
16	прежде всего как	1	1
17	в том и	2	1
18	должно было быть	1	1
19	до сих пор	1	1
20	для себя и	1	1
21	вместе с тем	2	1
22	то что в	1	1
23	но для этого	1	1
24	что в нем	2	1
25	заключает в себе	1	1
26	к дурной бесконечности	1	1
27	в себе всякое	1	1
28	со всех сторон	3	1
29	что он может	1	1
30	и стремится к	1	1
31	в значительной степени	1	1
32	то время как	1	1
33	но она не	1	1
34	как будто бы	1	1
35	к одному из	1	1
36	в нем не	1	1
37	это конечно не	1	1
38	то что он	1	1
39	я не могу	1	1
40	в то время	1	1
41	и для другого	1	1
42	в нем нет	2	1
43	и пр в	1	1
44	в этом я	1	1
45	как и в	1	1
46	и вместе с	1	1
47	и того же	1	1
48	о том что	1	1
49	ни в чем	1	1
50	одного и того	1	1
51	вопрос о том	2	1
52	лицом к лицу	3	1
53	а не в	1	1
54	мысли но в	1	1
