N	2gram	Bakhtin_fo_2	Problemy
1	и не	9	31
2	и в	46	29
3	в его	8	24
4	может быть	7	24
5	в этом	22	22
6	а не	4	22
7	в нем	5	19
8	точки зрения	10	19
9	как бы	10	19
10	для него	3	18
11	не только	11	15
12	то что	7	15
13	то же	8	14
14	не как	1	14
15	и его	12	14
16	рядом с	2	14
17	но и	9	14
18	в пределах	5	13
19	с точки	8	13
20	уже не	3	13
21	точка зрения	3	12
22	таким образом	3	12
23	как и	8	12
24	не может	2	12
25	в самом	1	10
26	в то	5	10
27	только в	11	10
28	в одном	7	10
29	там где	2	10
30	видения и	2	10
31	все эти	5	9
32	с его	1	9
33	все же	6	9
34	это не	2	9
35	если бы	1	9
36	себе самом	1	9
37	же время	4	9
38	но не	5	9
39	в романе	13	9
40	что в	5	8
41	по себе	2	8
42	в каждом	1	8
43	как не	1	8
44	в том	10	8
45	что он	3	8
46	потому что	8	8
47	до конца	2	8
48	в своем	5	8
49	в своей	1	8
50	а как	1	7
51	и на	7	7
52	за пределы	1	7
53	и как	3	7
54	но в	10	7
55	в себе	4	7
56	том что	4	7
57	не в	9	7
58	вовсе не	13	7
59	она не	2	7
60	так и	7	7
61	лишь как	1	7
62	в форме	3	7
63	прежде всего	14	7
64	мира и	9	7
65	а в	3	7
66	самом деле	1	6
67	так же	2	6
68	менее всего	1	6
69	в одной	2	6
70	как в	4	6
71	выражение в	1	6
72	в мире	4	6
73	его в	6	6
74	несмотря на	1	6
75	точку зрения	1	6
76	в разрезе	5	6
77	в самой	2	6
78	могут быть	2	6
79	говорит он	1	6
80	этого мира	2	6
81	был бы	1	6
82	в конце	2	6
83	так как	6	6
84	и потому	2	6
85	не могут	1	6
86	все это	6	6
87	на самом	1	5
88	это и	1	5
89	должна быть	1	5
90	же что	1	5
91	у него	9	5
92	он не	5	5
93	но все	1	5
94	было бы	2	5
95	он и	1	5
96	автора и	2	5
97	не становится	1	5
98	художественного мира	1	5
99	в сущности	2	5
100	или как	1	5
101	и это	2	5
102	и о	2	5
103	сочетается с	1	5
104	еще не	6	5
105	с ним	4	5
106	между тем	1	5
107	именно в	2	5
108	и др	5	5
109	более того	1	5
110	мира в	3	5
111	дело идет	2	5
112	конце концов	1	5
113	во всяком	2	5
114	и т	14	4
115	идет о	1	4
116	поэтому и	1	4
117	тем как	1	4
118	и наконец	6	4
119	бы и	1	4
120	в этой	2	4
121	так сказать	7	4
122	перестает быть	2	4
123	не значит	1	4
124	человека в	6	4
125	должно быть	5	4
126	с идеей	1	4
127	но эта	2	4
128	что было	3	4
129	их в	4	4
130	раз и	1	4
131	как мы	6	4
132	в основе	6	4
133	в произведении	1	4
134	в плоскости	2	4
135	и с	6	4
136	из одного	1	4
137	и следовательно	1	4
138	в литературе	2	4
139	самом и	1	4
140	тем что	3	4
141	что и	3	4
142	не было	3	4
143	не на	3	4
144	его как	1	4
145	эта особенность	1	4
146	но это	2	4
147	и для	9	4
148	в результате	1	4
149	они не	1	4
150	отношения к	4	3
151	и самое	4	3
152	например в	1	3
153	на материале	1	3
154	ни один	1	3
155	героев в	1	3
156	он сам	1	3
157	не входит	1	3
158	себе и	1	3
159	и пр	2	3
160	кроме того	3	3
161	уже в	4	3
162	и до	2	3
163	ее как	1	3
164	дано в	2	3
165	лишь на	1	3
166	далеко не	2	3
167	в их	3	3
168	этот мир	2	3
169	тому что	1	3
170	мире в	1	3
171	на котором	2	3
172	одна из	1	3
173	на него	1	3
174	героев и	4	3
175	никогда не	6	3
176	этом отношении	2	3
177	в духе	2	3
178	оно не	1	3
179	если же	1	3
180	его художественного	1	3
181	и этим	1	3
182	в себя	2	3
183	и здесь	1	3
184	все его	4	3
185	с другой	2	3
186	все в	2	3
187	в них	7	3
188	романа как	1	3
189	человека из	1	3
190	романа в	2	3
191	романа и	1	3
192	бытия в	1	3
193	но как	1	3
194	во времени	3	3
195	здесь с	1	3
196	в уста	2	3
197	и у	5	3
198	мир в	4	3
199	ни в	1	3
200	как их	1	3
201	сами по	2	3
202	т п	11	3
203	самосознание и	1	3
204	точек зрения	1	3
205	этот принцип	1	3
206	по существу	5	3
207	дана как	2	3
208	и слово	1	3
209	в пространстве	5	3
210	и одновременно	1	3
211	бы в	1	3
212	не знает	2	3
213	сказать что	1	3
214	другой стороны	1	3
215	себе самому	3	3
216	как на	2	3
217	все что	2	3
218	себя как	1	2
219	и есть	2	2
220	по преимуществу	1	2
221	в обычном	1	2
222	мы уже	9	2
223	бы уже	1	2
224	для своего	1	2
225	в которой	1	2
226	вопрос о	1	2
227	роман с	1	2
228	конечно и	1	2
229	в ней	1	2
230	оно ни	1	2
231	зрения все	1	2
232	он строит	1	2
233	для других	3	2
234	отношение к	3	2
235	в настоящем	1	2
236	так что	4	2
237	в истории	4	2
238	в той	2	2
239	его на	1	2
240	с этим	5	2
241	для создания	1	2
242	однако не	1	2
243	разрезе одного	2	2
244	его к	1	2
245	и к	2	2
246	пространстве а	1	2
247	тяготеет к	1	2
248	вследствие этого	1	2
249	на его	1	2
250	он ни	1	2
251	всех этих	7	2
252	войти в	1	2
253	и единство	1	2
254	ни был	1	2
255	здесь мы	3	2
256	при этом	6	2
257	всеми своими	1	2
258	дело здесь	1	2
259	со своими	2	2
260	и уже	1	2
261	чем в	1	2
262	даже там	1	2
263	в один	1	2
264	в отношении	2	2
265	именно и	1	2
266	конечно что	1	2
267	в котором	4	2
268	в которых	3	2
269	но он	2	2
270	друг другу	2	2
271	пределах отдельных	2	2
272	по ту	2	2
273	однако в	1	2
274	с которой	1	2
275	одного куска	1	2
276	как можно	3	2
277	самого начала	1	2
278	чтобы в	1	2
279	следовательно и	3	2
280	правда в	1	2
281	связи с	8	2
282	входят в	1	2
283	уже и	1	2
284	к себе	4	2
285	во все	2	2
286	для себя	1	2
287	данном случае	1	2
288	самим собою	2	2
289	него самого	1	2
