N	2gram	Medvedev_I_1	Istorich
1	и в	1	26
2	никогда не	1	13
3	в этом	2	12
4	что в	2	12
5	с другой	1	10
6	и не	2	10
7	все эти	1	8
8	другой стороны	1	8
9	и с	3	6
10	так и	1	5
11	тем что	1	5
12	а также	1	4
13	если бы	1	3
14	в них	1	3
15	на котором	1	3
16	как только	1	3
17	стороны он	1	3
18	от этого	1	3
19	а в	1	3
20	того же	1	2
21	по отношению	1	2
22	то и	1	2
23	он не	2	2
24	в эту	1	2
25	в руки	1	2
26	от нее	1	2
27	что при	1	2
28	и сам	1	2
29	ничего не	2	2
30	того что	1	2
31	самого себя	2	2
32	не так	1	2
33	после смерти	1	2
34	а с	1	2
35	и др	1	2
36	отношению к	1	2
37	только что	1	2
38	жизни и	1	2
39	бы что	2	1
40	нам в	1	1
41	более чем	1	1
42	и чрезвычайно	1	1
43	в целом	1	1
44	и тот	1	1
45	в первую	1	1
46	получается нечто	1	1
47	с героем	1	1
48	а позднее	1	1
49	по существу	1	1
50	не здесь	1	1
51	все это	1	1
52	и очень	1	1
53	в основе	1	1
54	не случайно	1	1
55	того чтобы	1	1
56	есть только	1	1
57	тех же	1	1
58	должен быть	2	1
59	и о	1	1
60	них не	1	1
61	а по	1	1
62	все тех	1	1
63	о ней	1	1
64	для него	1	1
65	для того	1	1
66	как о	1	1
67	видит в	1	1
68	а если	1	1
69	нет есть	1	1
70	как отец	1	1
71	бы в	1	1
72	следующим образом	1	1
