N	2gram	Nazirov_Tr_1	Formalny
1	и в	18	38
2	в этом	9	27
3	т е	1	26
4	может быть	7	23
5	и его	6	21
6	таким образом	1	20
7	и не	7	20
8	в самом	2	16
9	не в	2	15
10	прежде всего	4	15
11	и т	1	14
12	не может	5	14
13	связи с	1	13
14	в нем	4	13
15	но и	4	13
16	с тем	2	11
17	в том	2	11
18	с его	2	11
19	в связи	1	10
20	с помощью	1	10
21	в его	3	10
22	и с	7	9
23	как и	5	9
24	при этом	3	9
25	т п	1	9
26	не только	8	9
27	все же	5	8
28	так и	5	8
29	что и	2	8
30	тем что	2	8
31	отнюдь не	3	8
32	самом деле	1	8
33	в своей	1	7
34	по себе	1	7
35	что в	4	7
36	для него	3	7
37	как мы	1	7
38	лишь в	1	7
39	в первом	2	7
40	уже не	2	7
41	не могут	2	7
42	все эти	3	6
43	все время	1	6
44	хотя бы	1	6
45	вместе с	1	6
46	для понимания	1	6
47	то же	5	6
48	он не	2	6
49	в истории	1	6
50	только в	1	6
51	в этой	4	6
52	могут быть	1	6
53	в результате	1	6
54	то что	4	6
55	и ее	2	6
56	а не	1	6
57	в ней	1	6
58	не было	1	6
59	бы в	1	5
60	же время	6	5
61	во всяком	1	5
62	должна быть	1	5
63	во всех	1	5
64	это и	1	5
65	в то	5	5
66	всяком случае	1	5
67	говорит в	1	5
68	именно в	1	5
69	в общем	1	5
70	всего этого	1	5
71	и должно	1	5
72	что он	6	5
73	говорит он	1	5
74	и наконец	1	4
75	раз и	2	4
76	ничего не	2	4
77	и теперь	1	4
78	совершенно не	1	4
79	высшей степени	1	4
80	за счет	1	4
81	в дальнейшем	5	4
82	к тому	2	4
83	что оно	1	4
84	и даже	4	4
85	в особенности	1	4
86	в высшей	1	4
87	не столько	1	4
88	вот как	1	4
89	не как	1	4
90	но в	6	4
91	что не	1	4
92	известной степени	1	4
93	чем он	2	4
94	от нее	1	4
95	как в	3	4
96	литературы и	1	4
97	как бы	7	4
98	и здесь	2	3
99	его с	1	3
100	значение и	1	3
101	и их	1	3
102	и все	4	3
103	к нему	3	3
104	что это	5	3
105	то и	2	3
106	того чтобы	1	3
107	его в	2	3
108	но все	2	3
109	например в	1	3
110	того что	1	3
111	материалом для	1	3
112	а как	2	3
113	в целом	4	3
114	именно на	1	3
115	роль в	1	3
116	он и	2	3
117	и др	1	3
118	сам по	1	3
119	слова в	1	3
120	так сказать	1	3
121	и на	7	3
122	все это	4	3
123	в области	1	3
124	между этими	2	3
125	чем же	1	3
126	это было	1	3
127	не является	1	3
128	только на	1	3
129	и как	3	3
130	и до	2	3
131	не есть	1	3
132	в которой	1	2
133	и совершенно	1	2
134	конце концов	1	2
135	и критики	1	2
136	и то	2	2
137	не к	1	2
138	этими двумя	2	2
139	в каких	1	2
140	они только	1	2
141	было в	2	2
142	с сыном	1	2
143	тем самым	3	2
144	что эта	1	2
145	не так	2	2
146	в конце	3	2
147	применении к	1	2
148	как это	3	2
149	на котором	1	2
150	от него	1	2
151	отношение к	2	2
152	как его	1	2
153	то в	1	2
154	в применении	1	2
155	но не	1	2
156	его как	1	2
157	ничем не	2	2
158	с ним	3	2
159	в таком	2	2
160	потому что	2	2
161	в той	1	2
162	между тем	1	2
163	но как	1	2
164	это не	5	2
165	никогда не	2	2
166	должны были	1	2
167	не имеет	2	2
168	отличие от	2	2
169	что на	1	2
170	в чем	1	2
171	и от	1	2
172	и о	1	2
173	ни в	2	2
174	к сожалению	1	2
