1	до сих пор	2	3
2	не может быть	4	3
3	мы полагаем что	1	3
4	по крайней мере	2	3
5	можно сказать что	1	3
6	в этом смысле	2	3
7	не могут быть	2	2
8	в самом деле	2	2
9	в конечном счете	4	2
10	конечном счете только	1	1
11	на первый взгляд	1	1
12	самом деле есть	1	1
13	быть не может	1	1
14	все что угодно	1	1
15	то ни было	3	1
16	а это уже	1	1
17	он прежде всего	1	1
18	он может быть	1	1
19	на первый план	1	1
20	в данном случае	1	1
21	только при таком	1	1
22	имеем в виду	1	1
23	но именно этот	1	1
24	мы имеем в	1	1
25	в этом отношении	2	1
26	то же самое	2	1
27	в том что	2	1
28	нет и быть	1	1
29	но даже и	2	1
30	на своем месте	1	1
31	с одной стороны	1	1
32	друг с другом	1	1
33	и в итоге	1	1
34	и прежде всего	1	1
35	бы то ни	3	1
36	сводится к следующему	1	1
37	конечно нет и	1	1
38	деле есть ли	1	1
39	и быть не	1	1
