N	2gram	Vygotskiy__2	Vladivir
1	и в	15	31
2	не только	15	24
3	а к	1	22
4	но и	10	19
5	то что	20	18
6	и не	7	17
7	и даже	5	15
8	у него	2	15
9	в этом	19	14
10	том что	27	14
11	и с	4	14
12	он был	1	14
13	что в	14	14
14	там же	1	13
15	но в	6	12
16	в его	2	12
17	что он	12	12
18	по поводу	4	12
19	с его	4	11
20	о том	9	11
21	в том	33	11
22	философии и	3	11
23	потому что	7	11
24	и то	1	10
25	также и	2	10
26	он не	7	10
27	так что	1	10
28	как мы	6	9
29	никогда не	8	9
30	только в	4	9
31	с а	1	9
32	в течение	2	9
33	а в	4	9
34	и по	3	8
35	в дальнейшем	1	8
36	так как	4	8
37	мы уже	6	7
38	как это	6	7
39	и его	4	7
40	для него	3	7
41	об этом	3	7
42	уже в	5	7
43	как раз	4	7
44	еще и	1	7
45	сказать что	6	7
46	того же	3	6
47	то же	5	6
48	то он	2	6
49	и к	6	6
50	свое время	1	6
51	это было	1	6
52	в котором	2	6
53	у нас	1	6
54	и сам	3	6
55	так и	8	6
56	и что	8	6
57	можно сказать	2	6
58	в качестве	4	6
59	может быть	9	6
60	на этот	6	6
61	и потому	1	6
62	не может	9	6
63	к этому	4	6
64	но как	1	5
65	когда он	3	5
66	на то	6	5
67	и если	1	5
68	которой он	1	5
69	не в	8	5
70	что и	2	5
71	вовсе не	6	5
72	а с	4	5
73	и психологии	1	5
74	что же	2	5
75	все это	4	5
76	и от	1	5
77	а также	2	5
78	с ним	3	5
79	в свое	1	5
80	в своих	1	5
81	я не	1	4
82	что его	4	4
83	в этой	6	4
84	в истории	6	4
85	в своем	9	4
86	и как	2	4
87	говорит что	5	4
88	в которой	4	4
89	в нашем	1	4
90	в себе	2	4
91	как он	6	4
92	в нем	1	4
93	что у	3	4
94	этом смысле	2	4
95	как и	6	4
96	несмотря на	4	4
97	ни с	1	4
98	в своей	4	4
99	мысли и	1	4
100	и вообще	2	4
101	дело в	1	4
102	в нас	1	4
103	к ней	2	4
104	во всем	2	4
105	да и	1	4
106	к нему	1	4
107	по своей	6	4
108	один из	1	4
109	и теперь	2	4
110	этот раз	1	4
111	в особенности	1	4
112	что для	3	4
113	и все	3	4
114	и особенно	3	4
115	для нас	4	4
116	увидим ниже	2	3
117	с в	4	3
118	он как	2	3
119	и он	1	3
120	и на	1	3
121	то мы	1	3
122	но не	3	3
123	в общем	3	3
124	и речи	13	3
125	за пределы	2	3
126	что они	3	3
127	отнюдь не	2	3
128	как в	4	3
129	все же	4	3
130	более или	2	3
131	со своей	1	3
132	в целом	10	3
133	он в	3	3
134	все эти	3	3
135	но на	3	3
136	о которой	1	3
137	едва ли	7	3
138	и вот	1	3
139	здесь мы	1	3
140	всю жизнь	1	3
141	мы хотели	2	3
142	или менее	2	3
143	во время	3	3
144	но это	1	3
145	в отношении	6	3
146	и притом	1	3
147	на него	1	3
148	ничего не	3	3
149	вот что	1	3
150	таким образом	14	3
151	к тому	7	3
152	в жизни	1	3
153	здесь не	1	3
154	к его	2	3
155	свидетельствует о	1	3
156	и здесь	1	3
157	тот же	7	3
158	мы увидим	2	3
159	и так	1	3
160	только на	1	3
161	в виде	1	3
162	но что	2	3
163	и из	2	3
164	с другой	6	3
165	только к	1	3
166	под влиянием	1	3
167	в связи	6	3
168	вместе с	6	3
169	к своему	1	3
170	в начале	4	3
171	на одной	2	3
172	хотели бы	1	3
173	другой стороны	1	3
174	но этот	1	3
175	тех же	1	2
176	это и	1	2
177	и до	3	2
178	по его	1	2
179	той же	2	2
180	на первом	1	2
181	семейной жизни	1	2
182	хотя бы	4	2
183	но даже	1	2
184	личности с	1	2
185	он сам	3	2
186	первый план	1	2
187	в чем	1	2
188	мы будем	3	2
189	ответ на	1	2
190	нет и	2	2
191	один и	1	2
192	то обстоятельство	1	2
193	его на	1	2
194	его к	2	2
195	конечно не	1	2
196	из этих	4	2
197	учение о	1	2
198	и тот	1	2
199	тому же	1	2
200	всей его	2	2
201	что она	3	2
202	при этом	3	2
203	в тот	1	2
204	время и	1	2
205	и еще	1	2
206	на этом	1	2
207	что все	4	2
208	существу дела	2	2
209	а по	1	2
210	на ту	1	2
211	лишь в	3	2
212	было бы	10	2
213	известно что	1	2
214	ни в	2	2
215	в них	4	2
216	на основании	1	2
217	с тем	1	2
218	можно считать	2	2
219	на первый	1	2
220	точки зрения	26	2
221	что такое	1	2
222	место в	1	2
223	значение для	4	2
