N	2gram	Potebnia_M_2	VelikijI
1	и не	19	20
2	и в	24	16
3	так как	10	9
4	то что	20	9
5	еще не	4	8
6	в истории	1	8
7	что они	5	7
8	на земле	1	7
9	а не	18	7
10	и потому	2	7
11	человека и	3	6
12	не есть	6	6
13	но и	9	5
14	того что	7	5
15	хотя и	3	5
16	все это	2	5
17	что есть	2	5
18	как бы	9	5
19	и есть	2	4
20	в его	2	4
21	в этом	8	4
22	что он	4	4
23	потому что	49	4
24	в нем	9	4
25	так и	5	4
26	что все	2	4
27	что не	5	4
28	как и	7	4
29	что мы	11	4
30	в котором	4	4
31	в ней	3	4
32	и все	3	4
33	все что	3	4
34	от этого	1	3
35	и что	4	3
36	должна быть	1	3
37	хотя бы	2	3
38	то это	3	3
39	как не	3	3
40	лишь в	1	3
41	в чем	7	3
42	с его	2	3
43	во всех	7	3
44	что и	11	3
45	в том	18	3
46	тот же	5	3
47	но в	4	3
48	бы и	1	3
49	все эти	2	3
50	и они	2	3
51	его во	1	3
52	от которого	1	3
53	их в	2	3
54	в жизни	2	3
55	ни в	1	3
56	в них	5	3
57	не было	6	3
58	должно быть	2	3
59	если не	4	3
60	в этих	3	3
61	что во	2	3
62	что я	1	3
63	не в	13	3
64	к чему	1	3
65	тому что	2	3
66	но это	3	3
67	не имеет	6	3
68	никогда не	4	3
69	превращается в	2	3
70	и для	3	3
71	к тому	1	3
72	жизни и	1	3
73	что в	16	3
74	оно не	3	3
75	а между	4	2
76	и это	2	2
77	того чтобы	2	2
78	и то	3	2
79	не имел	1	2
80	но мы	3	2
81	по которым	1	2
82	и сам	1	2
83	и т	6	2
84	и за	1	2
85	его не	3	2
86	мы не	11	2
87	в последнем	1	2
88	с ним	5	2
89	будет уже	1	2
90	и во	3	2
91	к нам	2	2
92	между тем	6	2
93	жизни все	1	2
94	вслед за	3	2
95	которые не	3	2
96	не с	3	2
97	на нас	3	2
98	его к	1	2
99	духа и	1	2
100	только в	11	2
101	в себя	2	2
102	конечно не	1	2
103	уже не	4	2
104	не только	15	2
105	раз навсегда	1	2
106	его и	1	2
107	превращаются в	1	2
108	не так	3	2
109	для него	10	2
110	не к	1	2
111	под конец	1	2
112	тем что	7	2
113	на том	1	2
114	мы слышим	1	2
115	не будет	1	2
116	так не	1	2
117	это не	3	2
118	т д	3	2
119	а с	2	2
120	прежде всего	7	2
121	с тем	4	2
122	мы и	1	2
123	один из	2	2
124	для человека	1	2
125	для их	2	2
126	и тогда	3	2
127	не могут	7	2
128	мир и	1	2
129	одна из	4	2
130	почему в	1	2
131	том что	8	2
132	тот кто	1	2
133	а к	2	2
134	для нас	31	2
135	от него	4	2
136	ее в	1	2
137	но теперь	1	2
138	есть уже	1	2
139	до того	1	2
140	давно уже	1	2
141	а в	8	2
142	но не	12	2
143	могут быть	8	2
144	чтобы сделать	1	2
145	во всяком	7	2
146	если б	5	1
147	нас как	1	1
148	как мы	1	1
149	для успокоения	1	1
150	по закону	1	1
151	быть может	7	1
152	для себя	1	1
153	в ее	1	1
154	в тюрьму	1	1
155	в словах	3	1
156	и до	1	1
157	нем но	1	1
158	и самое	1	1
159	не имеют	2	1
160	мы будем	1	1
161	если они	1	1
162	которое может	2	1
163	образование в	1	1
164	для человеческого	1	1
165	то же	12	1
166	и могут	1	1
167	и которые	1	1
168	от всякой	1	1
169	из всего	1	1
170	человеческой природы	2	1
171	это только	1	1
172	по сравнению	1	1
173	которого они	1	1
174	что уже	1	1
175	вопрос о	2	1
176	и вообще	3	1
177	не была	1	1
178	только это	1	1
179	находится в	3	1
180	же что	3	1
181	теми которые	1	1
182	в их	1	1
183	и на	8	1
184	после того	2	1
185	если исключить	1	1
186	бы то	1	1
187	любви к	1	1
188	все в	1	1
189	что оно	4	1
190	к нему	1	1
191	кроме себя	1	1
192	но как	1	1
193	ее от	1	1
194	от них	3	1
195	сознания не	1	1
196	могут и	1	1
197	если в	3	1
198	с которыми	2	1
199	а потому	5	1
200	тогда как	10	1
201	что человек	1	1
202	себе и	1	1
203	бы в	2	1
204	крайней мере	5	1
205	и чем	1	1
206	о красоте	1	1
207	это самое	2	1
208	его на	2	1
209	как в	10	1
210	и самые	1	1
211	что нет	2	1
212	все же	5	1
213	но с	1	1
214	д и	1	1
215	для таких	1	1
216	еще больше	1	1
217	могли бы	2	1
218	мы видим	2	1
219	с ними	3	1
220	нельзя более	1	1
221	и свою	1	1
222	и так	1	1
223	в самом	4	1
224	их жизни	1	1
225	в которой	5	1
226	что это	3	1
227	бы ни	5	1
228	имеет своим	1	1
229	в целом	3	1
230	их не	1	1
231	можно вывести	1	1
232	в известном	1	1
233	же и	1	1
234	и жажды	1	1
235	человеке и	1	1
236	уже в	5	1
237	то и	9	1
238	и если	4	1
239	по законам	1	1
240	образом соединиться	1	1
241	и внешнее	1	1
242	и путем	1	1
243	о которой	3	1
244	перестает быть	2	1
245	одно целое	4	1
246	искать в	3	1
247	вовсе не	9	1
248	не для	1	1
249	отношение к	1	1
250	но что	2	1
251	у него	2	1
252	и по	2	1
253	на этом	2	1
254	и вместе	4	1
255	человека в	3	1
256	не хотим	1	1
257	на нее	1	1
258	бы это	1	1
259	для того	5	1
260	то ни	1	1
261	в состоянии	6	1
262	видно и	1	1
263	не были	1	1
264	и с	1	1
265	с другой	6	1
266	кто знает	1	1
267	есть не	5	1
268	в глазах	1	1
269	тот который	1	1
270	и быть	1	1
271	и тем	3	1
272	души и	4	1
273	даже что	1	1
274	всякого смысла	1	1
275	к человеку	1	1
276	них и	1	1
277	ничем не	2	1
278	у человека	2	1
279	не всегда	1	1
280	и уже	5	1
281	для чего	1	1
282	слова для	2	1
283	между собою	7	1
284	было для	2	1
285	жизни но	1	1
286	в одно	8	1
287	таким же	1	1
288	вместе с	11	1
289	так же	2	1
290	сделать его	2	1
291	ко всем	2	1
292	как это	2	1
293	человека к	1	1
294	стать в	1	1
295	то есть	30	1
296	мы в	3	1
297	в человеке	4	1
298	у нас	2	1
299	в которых	1	1
300	если оно	1	1
301	сравнению с	1	1
302	для всякого	1	1
303	в одном	6	1
304	не понимает	1	1
305	а потом	1	1
306	есть одна	1	1
307	по крайней	5	1
308	этот мир	1	1
309	этого слова	6	1
310	с этой	1	1
311	раз и	1	1
312	человека есть	1	1
313	и внешней	1	1
314	есть знак	1	1
315	ни для	1	1
316	ничего кроме	1	1
317	есть прежде	2	1
318	к ним	1	1
319	и другое	4	1
320	на котором	1	1
321	нужно знать	2	1
322	сознании и	2	1
323	будет понятно	1	1
324	указать на	1	1
325	но она	3	1
326	и от	3	1
327	нельзя не	1	1
328	найти в	1	1
329	и всегда	1	1
330	это как	1	1
331	ничего не	1	1
332	человек и	1	1
333	того как	7	1
334	всего можно	1	1
335	может быть	23	1
336	самого ощущения	1	1
337	вообще в	1	1
338	как она	1	1
339	основанное на	1	1
340	во всем	2	1
341	это слово	1	1
342	они нам	1	1
343	на него	3	1
344	в сознании	23	1
345	уже и	1	1
346	к ее	1	1
347	связь с	1	1
348	что на	3	1
349	может и	1	1
350	другой стороны	2	1
351	него то	1	1
352	сходятся и	1	1
353	для нашего	1	1
354	теперь когда	1	1
355	но все	2	1
356	есть и	1	1
357	и могли	1	1
358	в трех	1	1
359	к этому	2	1
360	от слова	3	1
361	его с	2	1
362	себя только	1	1
363	я вижу	1	1
364	в своих	1	1
365	слова с	1	1
366	в процессе	1	1
367	в противоположность	1	1
368	и слияние	1	1
369	им и	1	1
370	себя и	2	1
371	слово только	1	1
372	они не	4	1
