N	2gram	Bakhtin_Pr_4	BTomashe
1	у нас	2	3
2	и не	27	2
3	все это	6	2
4	в ней	1	2
5	видеть в	1	2
6	можно было	2	2
7	выпадает из	2	1
8	невозможны без	1	1
9	же не	1	1
10	за пределы	5	1
11	не укладывается	1	1
12	об этом	2	1
13	и в	46	1
14	не вполне	1	1
15	и о	3	1
16	в речи	3	1
17	выходит за	1	1
18	к ней	2	1
19	что все	1	1
20	не признать	1	1
21	говорить не	1	1
22	с другой	3	1
23	в своей	3	1
24	на самом	1	1
25	на которой	1	1
26	как будто	1	1
27	и нет	4	1
28	было бы	3	1
29	все же	4	1
30	всяком случае	1	1
31	кроме того	4	1
32	установка на	3	1
33	никак не	3	1
34	между ними	10	1
35	точке зрения	1	1
36	было и	1	1
37	еще не	7	1
38	и на	11	1
39	в пределах	10	1
40	еще лучше	1	1
41	должна быть	2	1
42	в значительной	1	1
43	нет но	2	1
44	прежде всего	9	1
45	в данном	2	1
46	и во	3	1
47	так и	4	1
48	о них	1	1
49	не было	2	1
50	в книге	1	1
51	из своей	1	1
52	совершенно не	4	1
53	понимания художественной	1	1
54	далеко не	3	1
55	не о	1	1
56	всего в	1	1
57	можно в	1	1
58	пожалуй и	2	1
59	до конца	4	1
60	стиля и	1	1
61	а не	11	1
62	но автор	2	1
63	что в	4	1
64	в области	1	1
65	другой стороны	3	1
66	признать его	1	1
67	таким образом	4	1
68	его функцией	1	1
69	вопрос о	2	1
70	и потому	1	1
71	не только	14	1
72	значительной степени	1	1
73	во всяком	2	1
74	в эпоху	1	1
