N	2gram	Medvedev_S_1	VrazhdaK
1	не только	3	9
2	в этом	5	8
3	и в	3	8
4	и что	2	8
5	но и	2	7
6	то что	2	7
7	что в	2	7
8	все же	1	6
9	как и	1	6
10	в котором	1	6
11	то же	2	5
12	в то	1	5
13	же время	1	5
14	между тем	1	5
15	у него	1	5
16	не было	1	5
17	и не	1	5
18	что он	1	4
19	это не	1	4
20	все это	7	4
21	с ним	1	4
22	о том	1	4
23	для нас	3	4
24	может быть	2	4
25	как бы	2	4
26	в чем	1	3
27	и как	1	3
28	его в	1	3
29	далеко не	2	3
30	том что	2	3
31	и его	1	3
32	связи с	1	3
33	и о	1	3
34	в его	3	3
35	в том	5	3
36	в конце	2	3
37	тем что	1	3
38	в связи	1	3
39	в те	1	3
40	столь же	1	2
41	но как	1	2
42	отнюдь не	1	2
43	в этой	1	2
44	таким образом	2	2
45	в мире	1	2
46	в них	1	2
47	а с	1	2
48	на первый	1	2
49	в своей	1	2
50	место в	1	2
51	никогда не	1	2
52	же не	1	2
53	еще не	2	2
54	тем более	2	2
55	как же	3	2
56	не может	1	2
57	в него	1	2
58	а в	1	2
59	а между	1	1
60	вряд ли	1	1
61	это и	2	1
62	и есть	1	1
63	полагает что	1	1
64	литературе и	1	1
65	первый план	1	1
66	но не	1	1
67	а тем	1	1
68	дает нам	1	1
69	и наконец	1	1
70	что это	1	1
71	в целом	1	1
72	но ведь	3	1
73	развиваться в	1	1
74	же это	1	1
75	в силу	1	1
76	полемизируя с	1	1
77	было бы	2	1
78	в этих	1	1
79	всяком случае	1	1
80	по крайней	1	1
81	не должна	1	1
82	а вот	1	1
83	это дает	1	1
84	в процессе	1	1
85	ничего не	1	1
86	вот в	1	1
87	ли не	1	1
88	этого и	1	1
89	так и	1	1
90	том как	1	1
91	во всяком	1	1
92	единства и	1	1
93	крайней мере	1	1
94	тотчас же	1	1
95	и самые	1	1
96	к которому	2	1
97	один из	1	1
98	это же	1	1
99	нужно было	2	1
100	с другой	1	1
101	именно в	1	1
102	прежде всего	1	1
103	на этот	1	1
104	его слишком	1	1
105	с помощью	1	1
106	в частности	2	1
107	спросить о	1	1
108	это как	1	1
109	бы в	1	1
110	писателя не	1	1
111	конце концов	2	1
112	только как	2	1
113	они не	1	1
