N	3gram	Berdyaev_O_1	Psycholo
1	в том что	1	9
2	не может быть	2	8
3	на то что	1	8
4	в самом деле	1	7
5	о том что	1	7
6	во всяком случае	1	6
7	не в том	1	5
8	само по себе	1	5
9	для того чтобы	3	5
10	как и в	1	4
11	что у него	2	3
12	хотя и не	1	2
13	в этом отношении	1	2
14	в том случае	1	2
15	как будто бы	1	2
16	от того что	1	2
17	и в самом	1	2
18	смысле этого слова	1	2
19	он не только	1	2
20	нужно прежде всего	1	1
21	друг к другу	1	1
22	как например в	1	1
23	могут быть сопоставлены	1	1
24	для всякого кто	1	1
25	потому что в	1	1
26	а вовсе не	1	1
27	он указывает на	1	1
28	по сравнению с	1	1
29	и состоит чтобы	1	1
30	том случае если	1	1
31	то что в	1	1
32	заключает в себе	1	1
33	и то что	1	1
34	он никогда не	1	1
35	все что есть	1	1
36	и не быть	1	1
37	и в этом	2	1
38	не могут быть	2	1
39	прежде всего и	1	1
40	никогда не откажется	1	1
41	как бы в	1	1
42	вместо того чтобы	1	1
43	в совершенно ином	1	1
44	бросается в глаза	1	1
45	у него в	5	1
46	и там и	1	1
47	и в том	1	1
48	там и здесь	1	1
