N	3gram	Medvedev_U_1	FransuaR
1	в то же	3	10
2	то же время	3	10
3	до сих пор	2	8
4	в том что	2	6
5	и в то	1	5
6	большей или меньшей	1	3
7	в той же	1	3
8	или меньшей степени	1	3
9	в большей или	1	3
10	бы то ни	3	2
11	с одной стороны	1	2
12	но в то	1	2
13	можно сказать что	1	2
14	более или менее	1	2
15	в данном случае	1	2
16	с другой стороны	3	2
17	не может быть	4	2
18	еще один пример	1	1
19	в этом смысле	2	1
20	и в частности	2	1
21	но конечно не	1	1
22	дело конечно не	1	1
23	мы полагаем что	1	1
24	она должна была	1	1
25	то ни было	3	1
26	не в том	1	1
27	же время не	1	1
28	и прежде всего	1	1
29	то же самое	2	1
30	и все они	1	1
31	в значительной мере	1	1
32	и то что	2	1
33	они до сих	1	1
34	конечно не в	1	1
35	в самом деле	2	1
36	и т.д в	1	1
37	язык в его	1	1
38	друг с другом	1	1
39	фактов и в	1	1
40	анализ раскрыл бы	1	1
41	все же не	1	1
42	в этом отношении	2	1
43	никогда не может	1	1
44	том что она	1	1
