N	3gram	Vinokur_St_2	Myshleni
1	в том что	16	19
2	по сравнению с	1	14
3	по отношению к	1	10
4	с точки зрения	2	10
5	для того чтобы	5	8
6	с самого начала	3	7
7	к тому что	5	7
8	так же как	3	6
9	в то время	1	6
10	в зависимости от	1	5
11	заключается в том	1	5
12	в сущности говоря	1	4
13	на то что	2	4
14	как мы видели	1	4
15	до сих пор	5	3
16	в этом отношении	9	3
17	друг к другу	1	3
18	в первую очередь	1	3
19	в этом смысле	1	2
20	в том же	2	2
21	в этом случае	1	2
22	принять во внимание	2	2
23	с тем что	2	2
24	на этот вопрос	1	2
25	именно в этом	1	2
26	вместе с тем	5	2
27	как раз в	2	2
28	если принять во	2	2
29	то что он	2	2
30	с другой стороны	3	2
31	вместо того чтобы	1	2
32	том смысле что	1	2
33	с того что	1	2
34	не только не	2	2
35	в этом вопросе	1	2
36	в связи с	1	2
37	в том смысле	2	2
38	себе отчета в	1	1
39	том что в	2	1
40	отвечает на этот	1	1
41	но как раз	1	1
42	этом случае и	1	1
43	переход к новым	1	1
44	но и по	1	1
45	не только по	2	1
46	говоря все это	1	1
47	что в своем	3	1
48	на самом деле	1	1
49	в котором он	1	1
50	в том числе	1	1
51	так что в	1	1
52	внимание на то	1	1
53	в ответ на	1	1
54	себе и в	1	1
55	в силе и	1	1
56	не могли быть	1	1
57	но все это	2	1
58	он не должен	1	1
59	это расхождение между	1	1
60	не сказал бы	1	1
61	сами по себе	2	1
62	что он не	4	1
63	в отличие от	2	1
64	в пределах данной	1	1
65	сторона этого вопроса	1	1
66	и именно в	1	1
67	сущности говоря все	1	1
68	то что в	2	1
69	но он не	1	1
70	очень похоже на	2	1
71	он не может	1	1
72	совершенно так же	2	1
73	в каждом данном	1	1
74	точно так же	1	1
75	не то что	1	1
76	можно считать установленным	1	1
77	в полном смысле	2	1
78	он никогда не	1	1
79	он с самого	1	1
80	во внимание что	1	1
81	сам по себе	1	1
82	в данном случае	1	1
83	тот факт что	4	1
84	те или другие	1	1
85	и в этом	2	1
86	целый ряд новых	1	1
87	но вместе с	1	1
88	сказал бы что	1	1
89	вопрос о том	3	1
90	потому что они	1	1
91	но и вообще	1	1
92	отчета в том	1	1
93	значение в истории	1	1
94	то обстоятельство что	4	1
95	в свою очередь	1	1
96	к выводу что	1	1
97	в самом деле	2	1
98	во второй половине	1	1
99	после того как	4	1
100	ответ на вопрос	1	1
101	тем не менее	2	1
102	ничего общего с	1	1
103	из того же	1	1
104	в конце концов	1	1
105	в настоящее время	1	1
106	как бы он	1	1
107	и в другом	1	1
