N	3gram	Potebnia_M_1	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	3	4
4	в том что	13	4
5	с точки зрения	3	3
6	сами по себе	1	3
7	в сравнении с	2	3
8	с одной стороны	3	3
9	одной стороны и	1	2
10	и не только	1	2
11	но и в	4	2
12	заключает в себе	2	2
13	в ней не	1	2
14	заключается в том	1	2
15	в том виде	1	1
16	более или менее	1	1
17	т д не	1	1
18	в этом смысле	4	1
19	и в этом	6	1
20	и в какой	1	1
21	в жизни народа	1	1
22	не было бы	1	1
23	в собственном смысле	1	1
24	можно думать что	1	1
25	что во всех	1	1
26	в применении к	2	1
27	так же как	1	1
28	там где он	1	1
29	если бы мы	1	1
30	можем представить себе	2	1
31	между тем в	1	1
32	с тем же	1	1
33	не в том	4	1
34	во всяком случае	1	1
35	с другой стороны	5	1
36	вслед за тем	1	1
37	не может быть	9	1
38	в некотором смысле	2	1
39	само по себе	4	1
40	тем и другим	1	1
41	и тем самым	1	1
42	и тем более	1	1
43	не более как	3	1
44	во многих случаях	1	1
45	для того чтобы	2	1
46	и т д	4	1
