N	3gram	Bakhtin_fo_1	Komedia
1	к тому же	2	10
2	в том что	2	5
3	вместе с тем	2	4
4	о том что	1	4
5	для того чтобы	5	4
6	по отношению к	3	3
7	в том числе	4	3
8	в связи с	5	3
9	то же время	9	3
10	в то время	3	3
11	в то же	6	3
12	одних и тех	2	2
13	до сих пор	3	2
14	в той же	1	2
15	в отличие от	2	2
16	и тех же	2	2
17	в это время	1	2
18	то время как	2	2
19	с одной стороны	2	2
20	в нем не	3	2
21	в самом начале	1	2
22	во всяком случае	1	2
23	и т п	8	2
24	друг с другом	1	2
25	в полном виде	1	1
26	само собой разумеется	2	1
27	прежде всего они	1	1
28	не могла обойтись	1	1
29	в самом деле	1	1
30	не похож на	1	1
31	в соответствии с	2	1
32	в том же	1	1
33	дошедший до нас	1	1
34	все его поступки	1	1
35	с точки зрения	2	1
36	на первый план	1	1
37	это время и	1	1
38	и во всех	1	1
39	сих пор не	1	1
40	и в то	5	1
41	с самого начала	2	1
42	жизни и быта	1	1
43	наряду с этим	2	1
44	но и в	2	1
45	времени в этом	1	1
46	дошедших до нас	1	1
47	мы находим в	1	1
48	что в нем	1	1
49	том числе и	2	1
50	на римской почве	1	1
51	основе его лежит	1	1
52	из дому чтобы	1	1
53	вместе с ними	1	1
54	так как он	1	1
55	же что и	2	1
56	все это время	1	1
57	и во всяком	1	1
58	той или иной	2	1
59	по этому вопросу	1	1
60	в один ряд	1	1
61	в человеческую жизнь	1	1
62	по сравнению с	2	1
63	на второй план	1	1
64	же время он	1	1
65	дошедшие до нас	1	1
66	таким образом и	1	1
67	и в том	1	1
68	не может быть	3	1
69	до нас в	3	1
70	в тех случаях	1	1
71	в основе его	1	1
72	эти три типа	1	1
73	так и в	1	1
74	в свою очередь	1	1
75	связи с этим	2	1
76	на протяжении всего	1	1
77	то что не	1	1
78	и в самом	1	1
79	не только в	2	1
80	но в этом	1	1
81	но все же	2	1
82	тех случаях когда	1	1
83	и в литературе	1	1
84	но все эти	2	1
85	и в помине	2	1
86	он имеет в	1	1
87	в философии и	1	1
88	и для себя	2	1
89	к выводу что	1	1
