N	4gram	Bakhtin_fo_1	Myshleni
1	одно и то же	3	6
2	одного и того же	5	5
3	так же как и	2	4
4	с одной стороны и	2	2
5	в том числе и	2	2
6	как мы уже говорили	3	2
7	но вместе с тем	1	2
8	все более и более	1	2
9	с нашей точки зрения	3	2
10	одних и тех же	2	1
11	когда мы говорим о	1	1
12	как мы уже указывали	2	1
13	в то время как	2	1
14	в своем дальнейшем развитии	1	1
15	одну и ту же	1	1
16	между этими двумя моментами	1	1
17	но для того чтобы	2	1
18	приходит к выводу что	1	1
19	одном и том же	1	1
20	в том что в	1	1
