N	3gram	Losev_Vlad_1	OGranits
1	не может быть	3	4
2	до тех пор	1	4
3	тех пор пока	1	3
4	одно и то	1	3
5	что иное как	1	2
6	в самом деле	1	2
7	с одной стороны	1	2
8	и то же	1	2
9	с другой стороны	3	2
10	есть не что	1	2
11	не что иное	1	2
12	в том что	7	2
13	с его точки	2	1
14	весьма важная проблема	1	1
15	том что в	3	1
16	один и тот	2	1
17	с ними и	1	1
18	более или менее	3	1
19	течение всей своей	1	1
20	нам кажется что	1	1
21	его точки зрения	2	1
22	и не может	1	1
23	нет и не	1	1
24	только то что	1	1
25	в этом отношении	1	1
26	которая как известно	1	1
27	в значительной мере	1	1
28	для того чтобы	2	1
29	если бы мы	1	1
30	и тот же	2	1
31	а также и	1	1
32	тем не менее	2	1
33	и вместе с	1	1
34	в течение всей	4	1
35	но и его	1	1
36	в этот момент	1	1
37	в связи с	1	1
38	это конечно не	1	1
39	мы уже видели	1	1
40	указать на то	1	1
41	во всем своем	1	1
42	в разных местах	1	1
43	вопрос возможна ли	1	1
44	в связи со	2	1
45	то же время	4	1
46	здесь мы должны	1	1
47	и никогда не	1	1
48	на этом мы	1	1
49	но в то	1	1
50	на то что	4	1
51	в то же	4	1
52	к тому что	1	1
53	только с помощью	1	1
