N	2gram	Bakhtin_Fr_8	Retstnzi
1	не может	2	4
2	и в	56	3
3	в центре	2	2
4	один из	5	2
5	в особенности	4	1
6	смысл и	1	1
7	и не	9	1
8	тому что	1	1
9	вещей и	11	1
10	не только	8	1
11	связи с	6	1
12	литературного языка	4	1
13	точки зрения	6	1
14	конечно и	3	1
15	языка как	1	1
16	но и	9	1
17	в системе	1	1
18	с другими	1	1
19	не из	1	1
20	в школе	1	1
21	в ней	4	1
22	может и	1	1
23	в то	12	1
24	с точки	2	1
25	подхода к	1	1
26	и на	7	1
27	для него	2	1
28	мы видим	6	1
29	в языке	1	1
30	ситуации и	1	1
31	к тому	1	1
32	а не	2	1
33	может быть	3	1
34	при анализе	1	1
35	несмотря на	2	1
36	еще большим	1	1
37	в его	18	1
38	он в	1	1
39	же время	10	1
40	то же	11	1
41	и все	6	1
42	из этих	1	1
43	если бы	2	1
44	бы в	3	1
