N	3gram	Vinokur_St_1	EvropaiC
1	в том что	17	16
2	до сих пор	7	12
3	по отношению к	3	10
4	с точки зрения	8	8
5	а между тем	1	7
6	на самом деле	6	7
7	на то что	4	7
8	друг от друга	1	6
9	для того чтобы	10	6
10	в самом деле	5	5
11	в этом случае	2	4
12	сих пор не	1	4
13	в том случае	1	4
14	может быть и	2	4
15	в этой области	5	4
16	и без того	1	4
17	с другой стороны	6	4
18	не может быть	5	4
19	о том что	11	4
20	тот факт что	1	4
21	тем не менее	2	4
22	в конце концов	1	4
23	не может не	1	3
24	в настоящее время	1	3
25	в том же	1	3
26	и то что	2	3
27	так же как	3	3
28	в данном случае	6	3
29	так или иначе	2	3
30	в целом ряде	1	3
31	таким образом в	1	3
32	заключается в том	3	3
33	в том и	1	2
34	том что он	1	2
35	что же касается	3	2
36	только то что	1	2
37	бы то ни	1	2
38	то же время	4	2
39	из того же	1	2
40	то что у	2	2
41	с одной стороны	2	2
42	в такой форме	1	2
43	а с другой	1	2
44	во всяком случае	6	2
45	во всех этих	1	2
46	нечего и говорить	1	2
47	как и в	2	2
48	ничего общего с	3	2
49	но все же	3	2
50	в то же	4	2
51	в вопросе о	1	2
52	и в том	2	2
53	в голову не	1	1
54	никогда не было	1	1
55	о том кто	1	1
56	судя по его	1	1
57	указание на то	1	1
58	лишь то что	1	1
59	встать на точку	1	1
60	дело в том	4	1
61	а не в	1	1
62	то время как	1	1
63	не говоря уже	1	1
64	так что в	1	1
65	и в голову	1	1
66	сих пор еще	1	1
67	в одну кучу	1	1
68	только в том	3	1
69	и не может	1	1
70	в лучшем случае	1	1
71	говоря уже о	1	1
72	более что он	1	1
73	в зависимости от	1	1
74	представление о том	1	1
75	также и то	1	1
76	этой работы и	1	1
77	а может быть	1	1
78	том что так	1	1
79	в то ее	1	1
80	том числе и	2	1
81	в то что	1	1
82	за то что	3	1
83	том и другом	1	1
84	точно так же	1	1
85	лишь о том	1	1
86	по крайней мере	2	1
87	самое простое и	1	1
88	прямого отношения к	1	1
89	в равной мере	2	1
90	дело только в	1	1
91	ясно что и	1	1
92	то обстоятельство что	2	1
93	уже о том	1	1
94	это может быть	1	1
95	свидетельствует о том	1	1
96	то что для	1	1
97	того что именно	1	1
98	таким образом этот	1	1
99	этом у нас	1	1
100	что она исходит	1	1
101	но в целом	2	1
102	том что как	1	1
103	должна была бы	3	1
104	лишь те которые	1	1
105	как и вообще	1	1
106	что в таком	1	1
107	не в том	2	1
108	только с точки	1	1
109	в одно целое	1	1
110	уже и сейчас	1	1
111	я не могу	1	1
112	а на самом	1	1
113	а потому не	1	1
114	именно в том	1	1
115	в один общий	1	1
116	но кто знает	1	1
117	целом ряде случаев	1	1
118	и таким образом	1	1
119	а в том	1	1
120	не трудно видеть	1	1
121	надо сказать что	1	1
122	но с другой	2	1
123	и некоторые другие	1	1
124	может не быть	1	1
125	в то время	2	1
126	на точку зрения	2	1
127	как общее правило	1	1
128	хотя бы в	1	1
129	как бы ни	1	1
130	смысле этого слова	1	1
131	все же будет	1	1
132	может быть признана	1	1
133	мысль о том	1	1
134	этому требованию и	1	1
135	в его собственной	2	1
136	больше чем у	1	1
137	тем более что	2	1
138	трудно видеть что	1	1
139	этой области не	1	1
140	в том числе	2	1
141	к тому что	1	1
142	во многих отношениях	1	1
143	если бы все	1	1
144	в результате которой	1	1
145	точку зрения в	2	1
146	этот вопрос в	1	1
147	у каждого своя	1	1
148	и это не	1	1
