N	3gram	Tiupa_Narr_2	VeschiIm
1	не может быть	2	18
2	что иное как	1	8
3	не что иное	1	8
4	может быть только	1	6
5	в том что	8	6
6	в чем же	1	5
7	есть не что	1	5
8	тем не менее	4	5
9	с точки зрения	2	4
10	не только в	6	4
11	то же время	3	4
12	в то же	3	4
13	более или менее	1	3
14	в самом деле	1	3
15	подобно тому как	2	3
16	и в то	1	3
17	можно было бы	1	3
18	не может не	1	2
19	можно сказать что	3	2
20	этой точки зрения	1	2
21	что только в	1	2
22	в основе своей	1	2
23	с этой точки	1	2
24	в данном случае	6	2
25	что в ней	1	2
26	не только к	1	2
27	того что является	1	2
28	к тому что	3	2
29	так или иначе	1	2
30	таким образом что	1	1
31	и того же	1	1
32	оба эти момента	1	1
33	то что я	1	1
34	прежде всего на	1	1
35	в этом смысле	1	1
36	потому что я	1	1
37	одной стороны и	1	1
38	как раз и	1	1
39	в себя не	1	1
40	необходимо должно быть	1	1
41	свою позицию как	1	1
42	что с точки	1	1
43	до сих пор	1	1
44	и не может	2	1
45	одна из модификаций	1	1
46	в зависимости от	1	1
47	в смысловом отношении	1	1
48	самом деле не	1	1
49	есть все же	1	1
50	то и в	1	1
51	как раз в	1	1
52	то время как	1	1
53	так же как	2	1
54	или хотя бы	1	1
55	необходимо должна быть	1	1
56	с одной стороны	5	1
57	что они все	1	1
58	к другому человеку	1	1
59	по природе своей	1	1
60	не в том	1	1
61	не только а	1	1
62	а в том	2	1
63	и все же	2	1
64	во всяком случае	1	1
65	в то время	1	1
66	о том что	4	1
67	не может существовать	1	1
68	не только не	2	1
69	вместо того чтобы	1	1
70	однако об этом	1	1
71	ни о чем	1	1
72	с этой стороны	1	1
73	одного и того	1	1
74	для того чтобы	1	1
75	жизни в жизни	1	1
76	предполагает со стороны	1	1
77	но и к	1	1
78	она не могла	1	1
79	в том смысле	1	1
80	свидетельствует о том	1	1
81	на то чтобы	2	1
82	не я сам	1	1
