N	2gram	Tiupa_Narr_1	Tvorches
1	и в	19	20
2	в году	1	16
3	не только	32	13
4	никогда не	3	11
5	как бы	4	11
6	таким образом	1	10
7	в то	3	10
8	в его	9	10
9	и его	5	9
10	там же	1	9
11	и не	20	9
12	при этом	9	8
13	и с	4	8
14	в том	18	8
15	может быть	25	8
16	в этом	17	8
17	прежде всего	4	8
18	но и	23	8
19	то же	4	7
20	это не	2	7
21	же время	4	7
22	наряду с	2	7
23	потому что	1	7
24	не может	10	7
25	что в	3	7
26	в целом	1	6
27	как и	7	6
28	что он	6	6
29	так и	9	6
30	в конце	1	6
31	у него	4	6
32	именно в	6	6
33	а не	12	6
34	например в	2	5
35	еще не	7	5
36	и на	3	5
37	но не	5	5
38	все же	7	5
39	в этой	5	5
40	и сам	1	5
41	в мире	9	5
42	то есть	19	5
43	о том	6	5
44	и даже	3	5
45	но это	1	5
46	читателя в	2	5
47	так же	2	5
48	мы не	1	4
49	все эти	2	4
50	что они	3	4
51	отнюдь не	5	4
52	как в	7	4
53	хотя и	3	4
54	когда он	3	4
55	но в	6	4
56	за собой	4	4
57	не в	14	4
58	на его	1	4
59	в принципе	4	4
60	что у	2	4
61	об этом	1	4
62	соответствии с	1	4
63	если бы	1	4
64	тем самым	6	4
65	ничего не	2	4
66	легенда о	1	4
67	в чем	1	4
68	а в	11	4
69	в соответствии	1	4
70	если не	4	4
71	и потому	2	4
72	в терминах	1	4
73	и от	1	4
74	героя в	8	4
75	том что	14	4
76	одним из	2	3
77	же как	3	3
78	и через	1	3
79	х годов	1	3
80	он сам	2	3
81	а с	3	3
82	по отношению	7	3
83	тогда как	12	3
84	по сути	2	3
85	о жизни	1	3
86	это определение	1	3
87	отношению к	6	3
88	в себе	8	3
89	в нем	4	3
90	он не	3	3
91	в плане	1	3
92	человека в	2	3
93	его в	2	3
94	но уже	1	3
95	в самом	1	3
96	в котором	1	3
97	в их	1	3
98	место в	1	3
99	в которых	1	3
100	своего рода	12	3
101	тем что	3	3
102	одна из	3	3
103	боль в	1	3
104	мифа в	1	3
105	быть может	2	3
106	с ним	1	3
107	до сих	1	3
108	между тем	3	3
109	уже не	5	3
110	в начале	1	3
111	для него	2	3
112	у нее	2	3
113	то что	11	3
114	как у	1	3
115	и др	2	3
116	что не	4	3
117	в рассказе	4	3
118	сути дела	2	3
119	в область	2	3
120	главного героя	2	3
121	с этой	1	3
122	сих пор	1	3
123	нет ничего	1	3
124	один из	3	3
125	не является	8	3
126	но зато	1	3
127	жизни в	3	3
128	одной из	4	3
129	в таком	2	3
130	как известно	2	2
131	неотделима от	1	2
132	таком случае	2	2
133	самом деле	2	2
134	и есть	1	2
135	говорить о	2	2
136	и он	3	2
137	как правило	4	2
138	в ее	3	2
139	нет и	2	2
140	и наконец	1	2
141	из жизни	1	2
142	бы не	2	2
143	тоже не	1	2
144	особое место	1	2
145	тому же	5	2
146	так сказать	1	2
147	наш взгляд	1	2
148	едва ли	1	2
149	у читателя	1	2
150	на наш	1	2
151	и по	1	2
152	том же	1	2
153	особенно в	3	2
154	достоевского и	1	2
155	зато в	1	2
156	не столько	4	2
157	в отличие	5	2
158	точку зрения	4	2
159	их в	1	2
160	не могли	1	2
161	что этот	1	2
162	между людьми	1	2
163	не менее	3	2
164	как о	1	2
165	на него	3	2
166	в процессе	1	2
167	в русской	1	2
168	он еще	1	2
169	а во	3	2
170	другой стороны	4	2
171	что на	2	2
172	у нас	1	2
173	личности в	2	2
174	мы узнаем	1	2
175	могут быть	3	2
176	опираясь на	1	2
177	более не	2	2
178	же не	4	2
179	приводит к	2	2
180	роль в	2	2
181	в классической	1	2
182	действующих лиц	1	2
183	сводится к	3	2
184	восходит к	3	2
185	в литературной	1	2
186	и только	2	2
187	крайней мере	1	2
188	все время	1	2
189	в литературе	2	2
190	к которому	2	2
191	не случайно	2	2
192	с ними	1	2
193	только в	4	2
194	и ее	2	2
195	не мешает	1	2
196	точка зрения	6	2
197	себя в	5	2
198	и у	1	2
199	уже в	3	2
200	героя с	2	2
201	или даже	2	2
202	из них	3	2
203	то у	1	2
204	его и	1	2
205	не так	1	2
206	вовсе не	1	2
207	может служить	1	2
208	отличие от	5	2
209	эти наблюдения	1	2
210	с другой	8	2
211	не было	2	2
212	зависит от	2	2
213	по крайней	1	2
214	и вообще	1	2
215	в частности	14	2
216	начиная с	1	2
217	к жизни	1	2
218	в россии	1	2
219	х гг	1	2
220	и тогда	1	2
221	более того	1	2
222	для автора	2	2
223	в основе	5	2
224	с другими	1	2
225	это все	2	2
226	к самому	2	2
227	связь с	1	2
228	героя и	4	2
229	было показано	1	2
230	включает в	2	2
231	однако эти	1	2
232	чем было	1	1
233	речь идет	4	1
234	на другой	2	1
235	только потому	1	1
236	переход от	4	1
237	это и	3	1
238	в первом	3	1
239	из его	1	1
240	видеть в	1	1
241	действительности и	1	1
242	соотнесенности с	1	1
243	и за	1	1
244	приходит к	2	1
245	мы уже	1	1
246	отцов и	1	1
247	бы уже	1	1
248	о болезни	1	1
249	рассказывать о	1	1
250	что если	1	1
251	нашу мысль	1	1
252	в первый	1	1
253	сведена к	1	1
254	этом не	1	1
255	со смертью	2	1
256	жизненной позиции	4	1
257	на себя	3	1
258	мы и	1	1
259	сказать о	1	1
260	свою очередь	3	1
261	очередь по	1	1
262	между собой	2	1
263	с его	6	1
264	нередко встречается	1	1
265	во всех	1	1
266	его собственным	1	1
267	о смерти	1	1
268	но как	2	1
269	в противовес	4	1
270	не все	5	1
271	если в	3	1
272	более крупные	1	1
273	присущей ему	1	1
274	ответ на	1	1
275	отношение к	2	1
276	или иное	2	1
277	другой день	2	1
278	в рамках	12	1
279	опыта к	1	1
280	перед нами	4	1
281	как уже	1	1
282	и как	5	1
283	не являются	2	1
284	писателя как	1	1
285	и к	1	1
286	развитии сюжета	1	1
287	в противоположность	2	1
288	на всем	1	1
289	но смысл	1	1
290	к специфике	1	1
291	за границей	4	1
292	что это	3	1
293	живет в	1	1
294	в известном	2	1
