N	2gram	Propp_Morf_1	Istorich
1	в сказке	15	36
2	и в	13	24
3	не только	4	21
4	что он	4	21
5	и т	41	17
6	т д	39	16
7	этих случаях	11	16
8	т е	21	16
9	может быть	52	14
10	не может	14	14
11	трудные задачи	3	13
12	что в	8	13
13	в этих	13	13
14	мы имеем	9	12
15	как в	3	12
16	в этом	14	12
17	в ином	2	12
18	и здесь	5	12
19	но и	4	11
20	это не	6	10
21	том что	4	10
22	и что	2	10
23	у него	1	10
24	мы видим	13	10
25	а в	7	10
26	все же	7	9
27	этот случай	5	9
28	с другой	8	9
29	не в	3	9
30	о том	2	9
31	потому что	3	9
32	и другие	6	9
33	то же	7	8
34	еще не	3	8
35	что и	7	8
36	так как	16	8
37	другой стороны	4	8
38	а не	11	8
39	или в	4	8
40	во всех	4	7
41	то что	8	7
42	таким образом	21	7
43	одна из	4	7
44	с собой	3	7
45	эти задачи	1	7
46	к нему	3	7
47	что здесь	1	7
48	один из	5	7
49	в том	6	7
50	ином царстве	2	6
51	что это	1	6
52	но не	4	6
53	он не	3	6
54	об этом	4	6
55	как и	3	6
56	для нас	2	6
57	и все	1	6
58	а именно	1	6
59	того что	3	6
60	только в	2	6
61	ответ на	1	6
62	тем что	4	6
63	так же	3	6
64	с этой	1	6
65	во время	6	6
66	мы увидим	8	6
67	задачи в	4	5
68	за ночь	2	5
69	то это	3	5
70	в чем	1	5
71	с одной	1	5
72	отношение к	1	5
73	но в	2	5
74	имеем в	6	5
75	право на	2	5
76	что она	2	5
77	от царя	1	5
78	здесь мы	3	5
79	не менее	5	5
80	в русской	1	5
81	дело не	2	5
82	ничего не	4	5
83	так и	6	5
84	дочь и	2	5
85	представляют собой	11	5
86	одной стороны	1	5
87	там где	5	5
88	в тех	6	5
89	видно что	1	5
90	эта задача	1	5
91	начинается с	3	4
92	он может	2	4
93	мы уже	1	4
94	мы не	8	4
95	представляет собой	17	4
96	жениться на	1	4
97	первый взгляд	3	4
98	тех случаях	2	4
99	случай мы	3	4
100	как бы	3	4
101	при этом	1	4
102	мы можем	2	4
103	но все	3	4
104	от отца	1	4
105	не всегда	9	4
106	на первый	3	4
107	точки зрения	2	4
108	тем не	5	4
109	по существу	12	4
110	не имеет	2	4
111	в других	3	4
112	в сказках	3	4
113	совершенно ясно	1	4
114	и говорит	1	4
115	на вопрос	2	4
116	то не	1	4
117	после того	1	4
118	с того	3	4
119	в брак	1	4
120	ли он	1	4
121	что сказка	3	4
122	вовсе не	4	4
123	когда герой	1	4
124	если не	1	4
125	в данном	1	4
126	в состоянии	1	4
127	и не	12	4
128	случаях когда	2	4
129	мы должны	3	4
130	одной из	1	4
131	есть и	4	4
132	например в	2	3
133	с сватовством	4	3
134	эта форма	13	3
135	не вполне	1	3
136	в различных	2	3
137	с его	2	3
138	герой не	2	3
139	тогда как	2	3
140	что они	2	3
141	кроме того	1	3
