N	3gram	Kanaev_Sov_1	Komedia
1	до сих пор	1	9
2	в том что	1	9
3	в самом деле	1	6
4	в свою очередь	2	6
5	с самого начала	3	4
6	в то же	1	4
7	то же время	1	4
8	с одной стороны	1	3
9	то же самое	2	3
10	тем не менее	2	3
11	по отношению к	1	3
12	в связи с	1	3
13	с точки зрения	5	3
14	во всяком случае	2	3
15	то ни было	1	2
16	в этом случае	1	2
17	вместе с ним	1	2
18	но все же	1	2
19	в конечном счете	1	2
20	бы то ни	1	2
21	на этот раз	1	2
22	нечто совсем иное	1	1
23	друг с другом	2	1
24	и в то	1	1
25	равно как и	1	1
26	как и вся	1	1
27	и в этом	1	1
28	так как он	2	1
29	и не может	1	1
30	же самое что	1	1
31	и до сих	1	1
32	в обоих случаях	1	1
33	в отличие от	2	1
34	в настоящее время	2	1
35	одной стороны и	1	1
36	может быть только	1	1
37	таким образом из	1	1
38	в свое время	1	1
39	в зависимости от	4	1
40	все это делает	1	1
41	к одному и	1	1
42	по крайней мере	1	1
