N	2gram	Nazirov_Tv_2	Myshleni
1	и в	20	28
2	в том	8	28
3	то что	3	28
4	в этом	8	27
5	в развитии	1	24
6	потому что	7	22
7	том что	4	19
8	не может	7	19
9	таким образом	10	18
10	что он	6	18
11	только в	2	18
12	в силу	1	17
13	что в	7	17
14	не только	13	16
15	так же	5	15
16	может быть	8	13
17	сказать что	1	13
18	в сфере	1	12
19	тому что	1	11
20	и не	9	11
21	как бы	11	11
22	к другим	1	11
23	но не	5	10
24	по отношению	3	10
25	к тому	1	10
26	как мы	1	10
27	так как	3	10
28	но и	8	10
29	отношению к	3	10
30	было бы	1	9
31	в процессе	2	9
32	между собой	1	9
33	в самом	3	8
34	мы видели	1	8
35	тем самым	4	8
36	никогда не	11	8
37	тем что	3	8
38	еще не	5	8
39	как известно	2	7
40	то же	7	7
41	отношение к	1	7
42	в которой	2	7
43	с самого	1	7
44	он не	3	7
45	в нем	3	7
46	заключается в	1	7
47	показывает что	4	7
48	самого начала	1	7
49	можно было	1	7
50	если бы	4	7
51	мы видим	4	7
52	и других	2	7
53	мышления и	1	7
54	вместе с	3	7
55	что оно	1	7
56	между ними	1	7
57	же как	3	6
58	связи между	1	6
59	мы не	4	6
60	в чем	4	6
61	и как	1	6
62	и к	1	6
63	как и	6	6
64	для него	3	6
65	не имеет	1	6
66	то время	1	6
67	приводит к	2	6
68	так и	6	6
69	и что	2	6
70	его в	3	6
71	так что	2	6
72	как раз	1	6
73	развития в	1	6
74	в области	1	6
75	к другой	1	6
76	в то	10	6
77	том же	2	5
78	и на	5	5
79	но в	4	5
80	то в	1	5
81	в этой	5	5
82	что все	1	5
83	не могли	2	5
84	не могут	1	5
85	могут быть	2	5
86	для развития	1	5
87	в пределах	1	5
88	это не	7	5
89	в свете	3	5
90	думается что	2	5
91	по самой	3	5
92	например в	5	4
93	переход от	1	4
94	в первом	1	4
95	той же	1	4
96	я не	2	4
97	мы и	1	4
98	во всех	1	4
99	в одной	3	4
100	с этим	1	4
101	в мысли	1	4
102	в себе	3	4
103	на то	1	4
104	но если	2	4
105	от одной	1	4
106	знаем что	1	4
107	не в	4	4
108	нас к	1	4
109	в сознании	1	4
110	что на	2	4
111	своего развития	1	4
112	самой своей	3	4
113	на основе	1	4
114	как по	2	4
115	чего он	1	4
116	ясно что	1	4
117	что и	1	4
118	именно в	6	4
119	мы знаем	1	4
120	друг друга	2	4
121	на этот	2	4
122	в частности	2	4
123	к жизни	2	4
124	привело нас	1	4
125	ту же	1	3
126	начинается с	2	3
127	это и	1	3
128	за собой	4	3
129	оба эти	1	3
130	с его	1	3
131	из этих	1	3
132	как в	4	3
133	хотя и	4	3
134	представляет собой	1	3
135	в случае	1	3
136	на его	4	3
137	при этом	8	3
138	с ней	1	3
139	в плане	3	3
140	и по	2	3
141	в каждом	1	3
142	а по	1	3
143	первую очередь	1	3
144	должен был	1	3
145	в ином	1	3
146	в них	1	3
147	к осознанию	1	3
148	в их	3	3
