N	3gram	Berdyaev_M_1	UchenyiS
1	не может быть	17	4
2	не могут быть	2	2
3	и в этой	4	2
4	в самом деле	1	2
5	до сих пор	2	2
6	хотя бы и	2	2
7	в том что	1	2
8	в конце концов	2	2
9	для него не	1	1
10	и в конце	2	1
11	не в том	1	1
12	она все же	1	1
13	имеем в виду	1	1
14	одним из самых	1	1
15	что в своей	1	1
16	никогда не может	2	1
17	он знает только	1	1
18	не было бы	5	1
19	с тем что	3	1
20	но это не	1	1
21	в которой все	1	1
22	мы имеем в	1	1
23	и у других	1	1
24	а не только	2	1
25	не только в	2	1
26	тем что он	2	1
