N	2gram	Tiupa_Teor_1	Komedia
1	и в	18	22
2	и не	13	21
3	том что	9	13
4	таким образом	3	12
5	в том	16	12
6	так как	1	11
7	со стороны	2	11
8	в комедии	1	10
9	ни в	2	10
10	потому что	3	10
11	в самом	4	9
12	вместе с	2	9
13	в этом	8	8
14	его в	2	8
15	в своем	4	8
16	о том	1	8
17	если бы	3	8
18	в его	6	8
19	что и	2	8
20	что он	1	8
21	то же	7	7
22	при этом	12	7
23	не по	1	7
24	об этом	2	7
25	в конце	2	7
26	о чем	1	7
27	а в	13	7
28	в свою	3	7
29	того же	3	6
30	еще не	4	6
31	так что	1	6
32	в то	6	6
33	и его	8	6
34	к тому	2	6
35	того чтобы	1	6
36	свою очередь	2	6
37	и что	3	6
38	для того	1	6
39	может быть	17	6
40	как раз	2	6
41	что его	1	5
42	отношение к	5	5
43	более чем	1	5
44	но в	9	5
45	не только	16	5
46	он не	3	5
47	в своей	6	5
48	не менее	4	5
49	же время	5	5
50	связи с	1	5
51	хозяина и	1	5
52	и сам	1	5
53	хотя и	3	5
54	к нему	1	5
55	что в	9	5
56	по отношению	4	5
57	из них	1	5
58	тем что	1	5
59	прежде всего	2	5
60	как это	8	5
61	все это	2	5
62	на себя	2	4
63	с другой	7	4
64	отнюдь не	3	4
65	то что	3	4
66	в себе	9	4
67	что она	2	4
68	должен был	1	4
69	с тем	1	4
70	точки зрения	9	4
71	не в	7	4
72	однако в	7	4
73	в отношении	3	4
74	у него	1	4
75	и здесь	2	4
76	так и	10	4
77	между собой	3	4
78	и поэтому	1	4
79	с помощью	1	4
80	до нас	1	4
81	вовсе не	3	4
82	но и	9	4
83	а не	9	4
84	в связи	1	4
85	не является	4	4
86	и для	2	4
87	бы в	1	4
88	тем более	1	4
89	так же	2	4
90	идет о	1	3
91	который в	2	3
92	говорить о	3	3
93	из того	1	3
94	на них	1	3
95	столь же	2	3
96	с его	5	3
97	в ее	5	3
98	в отсутствие	1	3
99	и к	3	3
100	тем же	1	3
101	в которой	2	3
102	представляет собой	9	3
103	в этой	3	3
104	на то	1	3
105	не могла	1	3
106	в нем	4	3
107	при виде	1	3
108	эдипа и	1	3
109	приводит к	5	3
110	то ни	1	3
111	дома и	2	3
112	было бы	1	3
113	в них	2	3
114	далеко не	2	3
115	как и	4	3
116	с точки	3	3
117	тем не	3	3
118	их в	3	3
119	к ним	1	3
120	никогда не	4	3
121	же самое	1	3
122	на это	1	3
123	обращается к	2	3
124	в глаза	2	3
125	одного из	1	3
126	не позволяет	1	3
127	по собственному	1	3
128	в двух	1	3
129	одной из	2	3
130	с одной	2	3
131	что не	1	3
132	отношению к	4	3
133	и даже	2	3
134	на ее	1	3
135	ему не	1	3
136	на которые	1	3
137	перед ним	1	3
138	один из	2	3
139	если не	1	3
140	в частности	16	3
141	на новую	1	3
142	не может	4	3
143	по своему	2	3
144	одной стороны	2	3
145	как бы	5	3
146	в целом	3	3
147	из своего	1	3
148	не знает	3	3
149	дело с	1	3
150	все что	1	3
151	в какой	2	3
152	в совершенном	1	2
153	отношения к	2	2
154	так я	1	2
155	человека и	1	2
156	даже если	1	2
157	перед лицом	2	2
158	здесь и	1	2
159	из его	1	2
160	в сущности	1	2
161	пребывания в	1	2
162	и на	1	2
163	бы то	1	2
164	во всех	1	2
165	конечном счете	6	2
166	отличие от	6	2
167	за пределы	2	2
168	что они	1	2
169	и я	1	2
170	как в	5	2
171	в известной	1	2
172	целый ряд	1	2
173	в результате	1	2
