N	4gram	Vinokur_Vv_1	Analitik
1	в то же время	5	6
2	не что иное как	4	4
3	мы имеем дело с	1	3
4	состоит в том что	2	3
5	бы то ни было	1	3
6	есть не что иное	2	3
7	той мере в какой	4	2
8	в том или ином	1	2
9	но в то же	3	2
10	одного и того же	2	2
11	какой бы то ни	1	2
12	в той мере в	4	2
13	остается ничего иного как	1	2
14	не остается ничего иного	1	2
15	только в том что	1	1
16	лишь в том что	1	1
17	мы имеем в виду	1	1
18	собой не что иное	1	1
19	в широком смысле этого	2	1
20	одно и то же	1	1
21	в собственном смысле слова	1	1
22	внешнего по отношению к	1	1
23	одной и той же	2	1
24	не может быть определено	1	1
25	дело не только в	1	1
26	в большей или меньшей	1	1
27	принципе не может быть	1	1
28	не сам по себе	1	1
29	с этой точки зрения	1	1
30	так как если бы	1	1
31	до тех пор пока	1	1
32	не только в том	1	1
33	в принципе не может	1	1
34	для того чтобы быть	1	1
35	в том виде в	1	1
36	том виде в каком	1	1
37	не говоря уже о	1	1
38	большей или меньшей степени	1	1
