1	в том что	4	7
2	о том что	1	7
3	то же время	4	4
4	в то же	4	4
5	на то что	1	4
6	не может быть	15	3
7	что он не	1	3
8	том что в	1	3
9	более или менее	2	3
10	с другой стороны	1	3
11	как мы уже	2	3
12	он как мы	1	2
13	не только в	2	2
14	и в то	1	2
15	он не только	1	2
16	тем не менее	1	2
17	том что он	1	2
18	и т д	2	2
19	во всяком случае	2	2
20	для того чтобы	2	2
21	мы уже сказали	1	2
22	на первый план	1	2
23	ни в чем	2	1
24	с ним но	1	1
25	и не может	1	1
26	глубокого и тонкого	1	1
27	и в историческом	1	1
28	а также и	2	1
29	но во всем	1	1
30	так и в	3	1
31	но все это	1	1
32	с одной стороны	5	1
33	также и в	1	1
34	выходят за пределы	1	1
35	и в особенности	2	1
36	в связи с	2	1
37	еще вовсе не	1	1
38	может быть также	1	1
39	и в дальнейшем	1	1
40	как к своему	1	1
41	в чем не	2	1
42	бы она ни	1	1
43	как это было	1	1
44	чувствует себя в	1	1
45	в этом отношении	3	1
46	можно говорить только	1	1
47	он никогда не	1	1
48	в известной степени	1	1
49	что как раз	1	1
50	одно без другого	1	1
51	несколько слов о	2	1
52	говорить только с	1	1
53	и ни в	1	1
54	уже не только	1	1
55	факт что уже	1	1
56	в свою очередь	2	1
57	а в том	1	1
58	уже не было	1	1
59	во всем его	1	1
60	только в более	1	1
61	но в то	3	1
62	только с помощью	1	1
63	именно так как	1	1
64	а следовательно и	1	1
65	не только не	1	1
66	же время и	1	1
