N	2gram	Savitsky_P_1	TeoriaLi
1	в мире	2	24
2	не только	17	18
3	в качестве	9	17
4	и не	12	16
5	а в	4	14
6	и в	14	13
7	в частности	2	13
8	может быть	5	12
9	в этом	10	11
10	представляет собой	1	11
11	в том	9	11
12	но не	3	10
13	а не	2	10
14	то же	9	9
15	внутреннего зрения	1	9
16	в его	2	9
17	сводится к	3	8
18	в душе	1	8
19	но и	6	8
20	что в	4	8
21	отличие от	1	7
22	в себе	3	7
23	том что	4	7
24	точки зрения	3	7
25	в отличие	1	7
26	в то	7	7
27	только в	7	7
28	себя в	1	7
29	в данном	1	7
30	еще не	1	6
31	с его	1	6
32	но в	9	6
33	место в	1	6
34	в русской	4	6
35	же время	7	6
36	как бы	4	6
37	в рамках	1	5
38	в своем	4	5
39	в самом	1	5
40	как и	1	5
41	не в	5	5
42	тем самым	3	5
43	в нем	3	5
44	в ее	2	5
45	в пределах	8	5
46	или иной	1	5
47	а также	4	5
48	между тем	3	5
49	с другой	5	5
50	по преимуществу	1	4
51	говорить о	2	4
52	хотя и	3	4
53	то что	4	4
54	в ходе	1	4
55	или менее	1	4
56	не столько	2	4
57	не менее	2	4
58	о о	1	4
59	и ее	1	4
60	не может	4	4
61	более или	1	4
62	и то	1	3
63	на две	1	3
64	например в	2	3
65	не все	1	3
66	и к	4	3
67	в этой	1	3
68	и вот	2	3
69	и по	1	3
70	его в	1	3
71	этом смысле	1	3
72	в этих	1	3
73	в отношении	10	3
74	никогда не	1	3
75	как раз	2	3
76	потому что	3	3
77	– все	1	3
78	другой стороны	1	3
79	и –	1	3
80	в порядке	3	3
81	и что	1	3
82	того что	2	3
83	а с	1	3
84	во времени	1	3
85	человека с	1	3
86	с ее	1	3
87	именно в	2	3
88	прежде всего	3	3
89	и потому	4	3
90	ни к	1	3
91	отношении к	5	3
92	я и	3	2
93	отношения к	2	2
94	и это	2	2
95	мире можно	1	2
96	на себя	1	2
97	в сочетании	2	2
98	но как	1	2
99	и весьма	2	2
100	человеческого бытия	1	2
101	как к	1	2
102	и как	3	2
103	в которой	1	2
104	но на	1	2
105	этом мире	1	2
106	одно и	1	2
107	тем в	1	2
108	о в	5	2
109	это не	3	2
110	и иных	1	2
111	и тем	2	2
112	с точки	3	2
113	по себе	4	2
114	и притом	1	2
115	казалось бы	1	2
116	этих двух	1	2
117	и о	5	2
118	в себя	1	2
119	не с	1	2
120	если бы	4	2
121	и здесь	1	2
122	восходит к	1	2
123	во всех	2	2
124	вслед за	3	2
125	тот или	1	2
126	с одной	3	2
127	оказывается в	1	2
128	в большинстве	1	2
129	или иным	1	2
130	о и	2	2
131	во всей	2	2
132	со стороны	2	2
133	в области	11	2
134	одной стороны	3	2
135	существующее в	1	2
136	на фоне	1	2
137	вместе с	1	2
138	так же	1	2
139	и особенно	1	2
140	к жизни	1	2
141	могут быть	3	2
142	поскольку не	1	2
143	культуры в	2	2
144	только к	1	1
145	можно говорить	1	1
146	также что	1	1
147	те же	1	1
148	также и	1	1
149	в сфере	2	1
150	и через	1	1
151	связана с	1	1
152	и есть	2	1
153	тем же	1	1
154	в иных	1	1
155	и ясный	1	1
156	же как	1	1
157	русской культуре	1	1
158	вопрос о	1	1
159	не вполне	1	1
160	но чтобы	1	1
161	которое в	2	1
162	и на	1	1
163	к деградации	1	1
164	столь же	3	1
165	время в	2	1
166	в различных	1	1
167	это имеет	1	1
168	если в	2	1
169	как преодоление	1	1
170	любовь и	1	1
171	в е	2	1
172	под покровом	1	1
173	на то	1	1
174	отнюдь не	2	1
175	в истории	1	1
176	более чем	2	1
177	такова же	1	1
178	и где	1	1
179	не два	1	1
180	могли бы	1	1
181	что по	1	1
182	наш век	1	1
183	духа и	2	1
184	над собой	1	1
185	к чему	2	1
186	в условиях	1	1
187	что это	1	1
188	из этих	1	1
