N	3gram	Medvedev_S_1	Psycholo
1	в том что	2	11
2	то же самое	1	8
3	с одной стороны	1	5
4	и в этом	1	3
5	о том как	1	2
6	только то что	1	2
7	то что в	1	2
8	в наше время	1	2
9	не в том	2	2
10	во всяком случае	1	2
11	в лучшем случае	1	2
12	в том и	1	1
13	том и заключается	1	1
14	в свои права	1	1
15	не было бы	1	1
16	и заключается что	2	1
17	в том именно	1	1
18	это вовсе не	1	1
19	конечно не в	1	1
20	что она может	1	1
21	и потому его	1	1
22	что это вовсе	1	1
23	а с другой	1	1
24	дело не в	2	1
25	по самому существу	1	1
26	а между тем	1	1
27	а в том	1	1
28	вступает в свои	1	1
29	между собой не	1	1
30	и только для	1	1
