N	2gram	Medvedev_S_1	EvropaiC
1	таким образом	2	32
2	в том	5	31
3	и в	3	24
4	том что	2	20
5	все эти	1	19
6	не может	1	18
7	то что	2	17
8	может быть	2	15
9	все же	1	15
10	в этом	5	12
11	между тем	1	11
12	все это	7	11
13	по отношению	2	10
14	так и	1	10
15	из себя	1	10
16	как бы	2	10
17	отношению к	2	10
18	как и	1	9
19	в результате	2	9
20	что в	2	9
21	не в	3	8
22	а между	1	7
23	в силу	1	7
24	по существу	2	7
25	для этого	1	7
26	о том	1	7
27	и что	2	7
28	что он	1	7
29	но и	2	7
30	и не	1	7
31	должна быть	2	6
32	еще не	2	6
33	в этой	1	6
34	в мире	1	6
35	от друга	1	6
36	с ним	1	6
37	только в	2	6
38	друг от	1	6
39	с другой	1	6
40	столь же	1	5
41	что это	1	5
42	в целом	1	5
43	не только	3	5
44	что все	1	5
45	на все	1	5
46	его в	1	5
47	между собою	1	5
48	в то	1	5
49	как будто	2	5
50	в его	3	5
51	у него	1	5
52	именно в	1	5
53	далеко не	2	5
54	то же	2	4
55	между собой	1	4
56	иначе говоря	1	4
57	этой области	1	4
58	связи с	1	4
59	тех кто	1	4
60	никогда не	1	4
61	в виде	1	4
62	в конце	2	4
63	в области	1	4
64	а с	1	4
65	конце концов	2	4
66	мы должны	1	4
67	хотя бы	1	4
68	будет тем	1	4
69	в данном	1	3
70	очевидно что	2	3
71	и наконец	1	3
72	развиваться в	1	3
73	и по	1	3
74	это не	1	3
75	в этих	1	3
76	даже в	1	3
77	образом в	1	3
78	для нас	3	3
79	всему этому	1	3
80	с одной	1	3
81	настоящее время	1	3
82	может не	1	3
83	конечно не	1	3
84	может служить	1	3
85	прежде всего	1	3
86	же не	1	3
87	в связи	1	3
88	и потому	1	3
89	в настоящее	1	3
90	бы в	1	3
91	тем более	2	3
92	а в	1	3
93	в котором	1	2
94	что эти	1	2
95	в сущности	1	2
96	во всяком	1	2
97	но как	1	2
98	только тогда	1	2
99	и будет	1	2
100	что она	1	2
101	в них	1	2
102	со своими	1	2
103	на первый	1	2
104	представить себе	1	2
105	и более	1	2
106	том и	1	2
107	тому что	1	2
108	в процессе	1	2
109	что на	1	2
110	те же	1	2
111	же время	1	2
112	исторического развития	2	2
113	было бы	2	2
114	пришлось бы	1	2
115	всяком случае	1	2
116	вовсе не	1	2
117	и только	3	2
118	не было	1	2
119	что таким	1	2
120	одной стороны	1	2
121	отнюдь не	1	2
122	в частности	2	2
123	все то	1	2
124	но не	1	2
125	только то	1	2
126	не от	1	2
127	между ними	1	2
128	они не	1	2
129	я и	1	1
130	так наз	1	1
131	и понимает	1	1
132	науки о	1	1
133	это и	2	1
134	и должны	1	1
135	том именно	1	1
136	никаких положительных	1	1
137	говорит за	1	1
138	на тех	1	1
139	мы не	1	1
140	данный субъект	1	1
141	этом не	1	1
142	благодаря тому	1	1
143	перед нами	1	1
144	и как	1	1
145	тем же	1	1
146	психологии и	1	1
147	главным образом	2	1
148	но именно	1	1
149	в каждом	1	1
150	остается в	1	1
151	их на	1	1
152	в своей	1	1
153	и благодаря	1	1
154	по крайней	1	1
155	разрешить все	1	1
156	тогда и	1	1
157	только когда	1	1
158	и его	1	1
159	конечно только	1	1
160	это по	1	1
161	и заключается	2	1
162	бы он	1	1
163	данный человек	1	1
164	ничего не	1	1
165	время в	1	1
166	никак не	1	1
167	поставить и	1	1
168	жизни он	1	1
169	крайней мере	1	1
170	в лучшем	1	1
171	связь между	1	1
172	для методологии	1	1
173	и история	1	1
174	один из	1	1
175	тем что	1	1
176	к которому	2	1
177	как же	3	1
178	еще и	1	1
179	и затем	1	1
180	точке зрения	1	1
181	не без	1	1
182	на основании	1	1
183	зависит от	1	1
184	вступает в	1	1
185	в область	1	1
186	быть не	1	1
187	эти вопросы	1	1
188	благодаря этому	1	1
189	только для	1	1
190	лучшем случае	1	1
191	же самое	1	1
192	она должна	1	1
193	развития и	1	1
194	или нет	1	1
195	ним все	1	1
196	или не	1	1
