N	3gram	Ircho_Kome_3	slovoVRo
1	и т п	3	33
2	в отличие от	1	12
3	в этом случае	2	6
4	с одной стороны	3	5
5	по отношению к	3	4
6	в зависимости от	1	4
7	то же время	4	4
8	но все же	2	4
9	в то же	4	4
10	в отношении к	1	4
11	в том что	9	4
12	с точки зрения	3	3
13	в этом отношении	2	3
14	так и в	1	3
15	одной стороны и	1	3
16	меньше чем в	1	2
17	в свою очередь	6	2
18	более или менее	1	2
19	до сих пор	9	2
20	во всяком случае	3	2
21	сих пор не	1	2
22	в связи с	3	2
23	для того чтобы	6	2
24	человека и его	1	2
25	и т д	1	2
26	том что она	1	1
27	не менее в	1	1
28	иначе обстоит дело	2	1
29	хотя и не	2	1
30	в какой мере	2	1
31	в известной степени	2	1
32	здесь правда не	1	1
33	и в пределах	1	1
34	в том числе	1	1
35	на первый план	1	1
36	как это было	1	1
37	с которым они	1	1
38	и в то	1	1
39	том числе и	1	1
40	и не может	1	1
41	на то что	1	1
42	может быть только	1	1
43	как и вся	1	1
44	его роль в	1	1
45	что он не	2	1
46	таким образом на	1	1
47	и без всякого	1	1
48	с другой стороны	2	1
49	тем не менее	3	1
50	о том что	4	1
51	здесь не только	1	1
52	вместе с ним	2	1
53	с самого начала	4	1
54	и остается в	1	1
55	речь идет о	3	1
56	не с точки	1	1
57	как в пределах	1	1
58	конечно не приходится	1	1
59	несколько иначе обстоит	1	1
60	выходят за пределы	1	1
