N	3gram	Medvedev_V_1	Hudozhes
1	по отношению к	7	10
2	то же время	5	6
3	в то же	5	6
4	более или менее	6	5
5	с другой стороны	8	5
6	той или иной	1	5
7	в том что	5	5
8	не следует смешивать	1	3
9	следует смешивать с	1	3
10	одно и то	1	3
11	и то же	1	3
12	читателя зрителя слушателя	1	3
13	в конечном счете	5	3
14	того или иного	1	3
15	можно сказать что	4	3
16	в этом смысле	1	3
17	в той или	1	2
18	мы имеем дело	1	2
19	тот или иной	1	2
20	в таком случае	1	2
21	и в то	3	2
22	в противном случае	2	2
23	с одной стороны	2	2
24	так или иначе	1	2
25	приводит к тому	1	2
26	в свою очередь	1	2
27	для того чтобы	3	2
28	том числе и	2	2
29	в том числе	2	2
30	к тому что	3	2
31	сама по себе	1	2
32	или говоря иначе	1	2
33	том отношении что	2	1
34	если он не	1	1
35	творческого воображения не	2	1
36	в виду не	1	1
37	себя свою душу	1	1
38	ильфа и петрова	1	1
39	иметь в виду	2	1
40	в виду что	1	1
41	только в искусстве	1	1
42	не об отсутствии	1	1
43	имеем в виду	1	1
44	в единстве целого	2	1
45	подобно тому как	2	1
46	войны и мира	1	1
47	виду что в	1	1
48	деятельности начиная с	1	1
49	том случае если	1	1
50	в зависимости от	5	1
51	что он не	1	1
52	только то что	2	1
53	следует иметь в	2	1
54	заключает в себе	1	1
55	том или ином	1	1
56	и др в	3	1
57	с этой точки	1	1
58	по крайней мере	2	1
59	то или иное	1	1
60	именно в этом	1	1
61	в том случае	1	1
62	может быть и	1	1
63	или ином отношении	1	1
64	в одном и	1	1
65	жизни личности и	1	1
66	в художественном произведении	4	1
67	таким образом и	1	1
68	мы встречаемся с	1	1
69	и том же	2	1
70	и не быть	1	1
71	быть определена как	1	1
72	в области художественного	1	1
73	и по отношению	1	1
74	того что не	1	1
75	не могут быть	1	1
76	имеем дело с	1	1
77	в том или	1	1
78	в связи с	3	1
79	в творческом акте	1	1
80	та или иная	1	1
81	духовной жизни личности	1	1
82	а всего лишь	3	1
83	в том отношении	2	1
84	так же как	1	1
85	все то что	1	1
86	в то время	1	1
87	а в том	1	1
88	в частности в	2	1
89	и служит для	1	1
90	это и есть	3	1
91	о том что	3	1
92	этой точки зрения	2	1
93	в статье о	1	1
94	может быть определена	1	1
95	между тем это	1	1
96	ту или иную	1	1
97	или иной мере	1	1
98	же оно в	1	1
99	как видно из	1	1
100	одном и том	2	1
101	в реальной действительности	1	1
102	дело не в	1	1
103	в соответствии с	1	1
104	видения мира и	1	1
105	не может быть	8	1
106	к тому же	1	1
