N	3gram	Tiupa_Anal_2	Problemy
1	то же время	2	10
2	в то же	2	10
3	с самим собою	1	7
4	в отношении к	1	7
5	с самим собой	1	7
6	по отношению к	4	6
7	той или иной	3	4
8	друг с другом	1	4
9	а между тем	1	3
10	в этом смысле	2	3
11	и в самом	2	3
12	в эту минуту	1	3
13	одно и то	1	3
14	как бы уже	1	3
15	и то же	1	3
16	с другой стороны	2	3
17	не может быть	1	3
18	к тому же	4	3
19	как раз и	1	2
20	с точки зрения	2	2
21	в отличие от	2	2
22	можно было бы	2	2
23	на этот раз	1	2
24	и в этом	4	2
25	подобно тому как	3	2
26	в том что	6	2
27	если бы он	1	1
28	одних и тех	1	1
29	тот же самый	1	1
30	к чужому мнению	1	1
31	а затем и	1	1
32	но ведь и	1	1
33	в самом деле	1	1
34	никак не может	1	1
35	потому что я	1	1
36	так и не	4	1
37	в этом случае	4	1
38	как бы с	1	1
39	самом деле не	1	1
40	с другим он	1	1
41	самого себя чтобы	1	1
42	он вообще не	1	1
43	может быть да	1	1
44	том или ином	2	1
45	со всех сторон	1	1
46	конечно и слово	1	1
47	по крайней мере	3	1
48	и то что	2	1
49	и тех же	1	1
50	к тому что	1	1
51	ибо и в	1	1
52	в значительной степени	2	1
53	в том или	2	1
54	в данном случае	5	1
55	возвращает нас к	1	1
56	и все его	1	1
57	ведь и сам	1	1
58	не только для	1	1
59	прежде всего в	1	1
60	уже и не	1	1
61	но и не	1	1
62	знаю что меня	2	1
63	на жизнь и	1	1
64	в свое время	1	1
65	как бы не	1	1
66	с одной из	1	1
67	о себе не	1	1
68	как и в	3	1
69	в свою очередь	1	1
70	о том что	6	1
71	не говорит о	1	1
72	но и для	1	1
73	не только не	2	1
74	говорит не о	1	1
75	тому же и	1	1
76	можно сказать что	1	1
77	с собой он	1	1
78	на всем протяжении	1	1
79	тем не менее	3	1
80	сама по себе	1	1
81	себя за голову	1	1
82	о своей собственной	1	1
83	то же самое	1	1
84	в этом отношении	3	1
