N	3gram	Medvedev_F_2	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	10	3
4	с точки зрения	7	2
5	но в то	1	2
6	не может быть	10	2
7	в том что	2	2
8	равно как и	1	1
9	же время и	1	1
10	в этом смысле	2	1
11	по преимуществу на	1	1
12	на первый план	2	1
13	до сих пор	1	1
14	и не может	3	1
15	в той же	1	1
16	не было бы	1	1
17	в этом отношении	7	1
18	что в нем	2	1
19	в этот период	1	1
20	по крайней мере	1	1
21	может быть и	3	1
22	и в то	3	1
23	идет не об	1	1
24	тем что он	1	1
25	к вопросу о	1	1
26	в высшей степени	4	1
27	в конце концов	2	1
28	одним из первых	1	1
29	но при этом	1	1
30	быть и речи	3	1
31	и в этом	5	1
32	такая же как	1	1
33	все же не	1	1
34	во всяком случае	5	1
35	с другой стороны	3	1
36	связи с этим	3	1
37	тем не менее	1	1
38	что они не	1	1
39	его отношение к	1	1
40	в свою очередь	1	1
41	это и есть	1	1
42	с помощью которых	1	1
43	но в этом	2	1
44	то что они	1	1
