N	2gram	Vygotskiy__3	ViktorSh
1	конце концов	1	2
2	и в	25	2
3	том что	20	2
4	в том	23	2
5	в конце	1	2
6	и только	2	1
7	и почти	1	1
8	и стоит	1	1
9	и том	2	1
10	в другом	1	1
11	хотя бы	1	1
12	и не	10	1
13	все время	2	1
14	и зависят	1	1
15	и его	2	1
16	потому что	6	1
17	сводится к	1	1
18	и то	2	1
19	другом месте	1	1
20	и т.д	5	1
21	все это	6	1
22	совершенно ясно	2	1
23	по поводу	1	1
24	именно в	5	1
25	главным образом	2	1
26	этом и	2	1
27	стр и	1	1
28	говорили в	1	1
29	в частности	4	1
30	речи и	8	1
31	столь же	7	1
32	говоря о	1	1
33	в которых	3	1
34	деле как	1	1
35	в значительной	1	1
36	не играет	1	1
37	в самом	3	1
38	для них	1	1
39	зависят от	1	1
40	только в	10	1
41	то же	2	1
42	ясно что	2	1
43	так как	12	1
44	слово вещь	1	1
45	что слово	4	1
46	бы уже	1	1
47	чем к	1	1
48	но это	5	1
49	в этом	14	1
50	одном и	1	1
51	да и	1	1
52	от общего	1	1
53	а только	1	1
54	на одном	1	1
55	и заключается	2	1
56	по существу	1	1
57	к этому	3	1
58	значительной степени	1	1
59	без учета	1	1
60	том же	1	1
