N	3gram	Bakhtin_fo_1	Tragedij
1	то же время	9	5
2	в то же	6	5
3	так и в	1	3
4	в отличие от	2	2
5	и в дальнейшем	1	2
6	это очень важно	1	2
7	и в частности	2	2
8	в данном случае	1	2
9	но в то	1	2
10	и как бы	1	2
11	бросается в глаза	1	2
12	между этими двумя	3	2
13	о том что	1	2
14	и в самом	1	2
15	но все же	2	2
16	в том что	2	2
17	в этом случае	1	1
18	в этом мире	2	1
19	в романе играет	1	1
20	понятно что в	2	1
21	связан и с	1	1
22	всего необходимо отметить	2	1
23	и до конца	2	1
24	же время он	1	1
25	у него нет	1	1
26	во всех видах	1	1
27	но и на	1	1
28	в той же	1	1
29	и т п	8	1
30	вместе с ними	1	1
31	в этом романе	2	1
32	этим объясняется и	1	1
33	во всяком случае	1	1
34	в высшей степени	1	1
35	смысле этого слова	1	1
36	и в этом	1	1
37	по сравнению с	2	1
38	не могут быть	1	1
39	прежде всего необходимо	3	1
40	по природе своей	2	1
41	и в быту	1	1
42	из родного дома	1	1
43	что в таком	2	1
44	в связи с	5	1
45	романа прежде всего	3	1
46	не может быть	3	1
47	и все же	1	1
48	романа и в	1	1
49	с самого начала	2	1
50	в самом деле	1	1
51	с тем и	1	1
52	как своего рода	1	1
53	роль в романе	1	1
54	полностью сохраняет свое	1	1
55	как и в	2	1
