N	3gram	Tiupa_Narr_1	Problemy
1	с точки зрения	1	13
2	то же время	4	9
3	в то же	4	9
4	по отношению к	3	8
5	в том что	5	6
6	в зависимости от	2	5
7	на самом деле	1	4
8	не может быть	4	4
9	подобно тому как	3	3
10	не входит в	1	3
11	сами по себе	2	3
12	в этом отношении	3	3
13	во всяком случае	2	3
14	само по себе	1	3
15	с другой стороны	1	3
16	но все же	1	2
17	в самом деле	2	2
18	до сих пор	2	2
19	и не может	1	2
20	и в то	1	2
21	в той же	1	2
22	бы то ни	1	2
23	только то что	1	2
24	в данном случае	8	2
25	не только в	6	2
26	но и не	1	2
27	а в то	1	2
28	отношению к слову	1	1
29	как и у	1	1
30	же как и	1	1
31	оно и не	1	1
32	дело в том	2	1
33	в свою очередь	2	1
34	он не может	1	1
35	звучит как бы	1	1
36	большей или меньшей	1	1
37	то что обычно	1	1
38	и даже не	1	1
39	то же самое	2	1
40	как если бы	2	1
41	но и на	2	1
42	он и не	1	1
43	не отличается от	1	1
44	точно так же	1	1
45	она может быть	1	1
46	по крайней мере	1	1
47	своего и чужого	2	1
48	может быть и	1	1
49	они и не	2	1
50	его произведениях но	1	1
51	при условии что	1	1
52	какой бы то	1	1
53	между ними не	1	1
54	в первом случае	3	1
55	то ни было	1	1
56	слова а не	1	1
57	как один из	1	1
58	в известном смысле	2	1
59	в сознании героя	1	1
60	в большей или	1	1
61	диалог в сущности	1	1
62	тем или иным	2	1
63	один из этих	1	1
64	героя но и	1	1
65	вовсе еще не	1	1
66	о том что	2	1
67	у него уже	1	1
68	более или менее	1	1
69	по себе а	1	1
70	в своем кругозоре	1	1
71	ни одна из	1	1
72	перед нами был	1	1
73	можно сказать что	2	1
74	точка зрения как	1	1
75	уже не только	1	1
76	к тому что	1	1
77	до известной степени	1	1
78	друг с другом	1	1
79	для того чтобы	3	1
80	перед нами не	2	1
81	и т д	1	1
82	как мы видели	1	1
