N	3gram	Tiupa_Anal_1	Hudozhes
1	о том что	3	9
2	и т п	3	8
3	то же время	6	8
4	по отношению к	5	8
5	в то же	8	8
6	в том что	9	6
7	в самом деле	2	4
8	в этой связи	1	4
9	к тому что	1	4
10	с точки зрения	4	3
11	и быть может	1	3
12	в этом отношении	2	3
13	но в то	2	3
14	в связи с	1	3
15	несет в себе	1	3
16	и в самом	1	3
17	как и в	1	3
18	такой же мере	1	2
19	по своей природе	1	2
20	о том как	1	2
21	того или иного	3	2
22	что же касается	1	2
23	при встрече с	2	2
24	только в том	1	2
25	до сих пор	1	2
26	целостного духовного самоопределения	1	2
27	в равной мере	1	2
28	не только в	1	2
29	в такой же	1	2
30	не в том	3	2
31	человеческого бытия и	1	2
32	не может быть	16	2
33	самом деле в	1	2
34	в конечном счете	4	2
35	на наш взгляд	6	2
36	о себе знать	1	1
37	себя в другом	3	1
38	то в основе	1	1
39	ставим перед собой	1	1
40	может претендовать на	1	1
41	специфически человеческий способ	1	1
42	как уже говорилось	1	1
43	состоит в том	3	1
44	я никогда не	1	1
45	факторов художественного впечатления	5	1
46	прежде всего в	1	1
47	эстетический анализ текста	1	1
48	творения в его	1	1
49	таком взгляде на	1	1
50	в этом смысле	1	1
51	том что он	2	1
52	здесь имеется и	1	1
53	то же самое	2	1
54	точки зрения в	1	1
55	таит в себе	1	1
56	организации художественного целого	1	1
57	именно в этом	2	1
58	в таком случае	3	1
59	том случае если	1	1
60	сами по себе	2	1
61	более или менее	1	1
62	при этом мы	1	1
63	и та же	1	1
64	по своему содержанию	1	1
65	с ним в	1	1
66	на самом же	1	1
67	целого в этом	1	1
68	того и другого	2	1
69	в отличие от	6	1
70	и того и	2	1
71	ни с какой	1	1
72	в частности к	1	1
73	не может претендовать	1	1
74	может быть найден	1	1
75	полном соответствии с	1	1
76	с этой точки	1	1
77	в том случае	1	1
78	и на тех	1	1
79	организации текста и	1	1
80	том и состоит	1	1
81	в литературном произведении	1	1
82	в науке о	1	1
83	не в его	1	1
84	первой из них	1	1
85	в первом случае	2	1
86	не сводится к	2	1
87	при таком взгляде	1	1
88	духовного самоопределения личности	1	1
89	в своей эстетической	1	1
90	в равной степени	2	1
91	между тем в	1	1
92	автора и читателя	2	1
93	состоит что он	1	1
94	подхода к художественному	1	1
95	художественности при этом	1	1
96	ему самому в	1	1
97	в том и	2	1
98	во всяком случае	1	1
99	одна и та	1	1
100	художественного целого в	1	1
101	в пределах текста	1	1
102	вне всякого сомнения	1	1
103	самом же деле	1	1
104	в свое время	2	1
105	речь идет об	1	1
106	в данном случае	2	1
107	только в качестве	1	1
108	как нам представляется	1	1
109	как будто бы	1	1
110	сознания не только	1	1
111	в полном соответствии	1	1
112	то что мы	1	1
113	в свою очередь	1	1
114	этой точки зрения	1	1
115	никогда не бывает	1	1
116	человеческий способ существования	1	1
117	времени и пространстве	4	1
118	во времени и	3	1
119	о нем но	1	1
120	литература xx века	1	1
121	субъекта к объекту	1	1
122	все же не	1	1
123	с одной стороны	3	1
124	не вызывает сомнений	1	1
125	друг с другом	1	1
126	в результате которой	1	1
127	теории литературы и	1	1
128	и как будто	1	1
129	на первый взгляд	1	1
130	и состоит что	1	1
131	опять как и	1	1
