1	и все же	3	5
2	в то же	4	4
3	то же время	5	4
4	в русской литературе	2	3
5	с точки зрения	2	2
6	не может быть	3	2
7	в том что	6	2
8	на первый взгляд	2	1
9	в этом отношении	4	1
10	а с другой	1	1
11	или по крайней	1	1
12	и не может	2	1
13	он как бы	1	1
14	в записках охотника	2	1
15	и то что	2	1
16	тем самым он	1	1
17	но при этом	2	1
18	героя нашего времени	1	1
19	одно и то	2	1
20	тем не менее	1	1
21	и в то	1	1
22	отличается не только	1	1
23	но и от	1	1
24	но в этом	1	1
25	по крайней мере	1	1
26	во всяком случае	1	1
27	но не менее	1	1
28	основания предполагать что	1	1
29	речь идет о	1	1
30	в соответствии с	2	1
31	равно как и	1	1
32	он сам в	1	1
33	каждый из них	1	1
34	не только от	1	1
35	но это не	1	1
36	с другой стороны	1	1
37	хотя в нем	1	1
38	что этот человек	1	1
39	о том что	3	1
40	в это время	1	1
41	в этот период	1	1
42	тем что он	1	1
43	и то же	2	1
44	же время и	1	1
