N	2gram	Bakhtin_Pr_4	ViktorSh
1	в книге	1	3
2	конце концов	1	2
3	и в	46	2
4	том что	4	2
5	в том	9	2
6	в конце	3	2
7	и только	3	1
8	в устах	1	1
9	и способами	1	1
10	в другом	2	1
11	хотя бы	2	1
12	и не	27	1
13	все время	2	1
14	и его	6	1
15	потому что	4	1
16	даже не	1	1
17	отношений но	1	1
18	не хочу	1	1
19	и то	1	1
20	самом деле	4	1
21	и т.д	3	1
22	языка если	1	1
23	жизни которое	1	1
24	все это	6	1
25	по поводу	1	1
26	именно в	1	1
27	по своим	1	1
28	в их	4	1
29	их как	2	1
30	дело в	3	1
31	говорили в	1	1
32	с большой	1	1
33	в частности	1	1
34	так в	2	1
35	речи и	5	1
36	одно и	1	1
37	время в	1	1
38	ведь это	3	1
39	в которых	2	1
40	в значительной	1	1
41	с головой	1	1
42	в самом	9	1
43	только в	6	1
44	то же	6	1
45	слово по	2	1
46	так как	5	1
47	далеко не	3	1
48	не будем	1	1
49	но это	6	1
50	в этом	16	1
51	да и	4	1
52	а только	1	1
53	прозы в	1	1
54	на одном	1	1
55	по существу	3	1
56	к этому	1	1
57	значительной степени	1	1
58	без учета	1	1
59	том же	4	1
