N	3gram	Vinokur_St_3	Narrotol
1	в том что	11	8
2	с одной стороны	2	7
3	о том что	4	6
4	не может быть	5	5
5	и не в	2	4
6	с другой стороны	4	4
7	той или иной	1	4
8	но все же	2	4
9	можно сказать что	1	4
10	состоит в том	3	3
11	на себя внимание	1	3
12	в этом отношении	4	3
13	обращает на себя	1	3
14	тем не менее	2	3
15	то же время	3	3
16	в свою очередь	1	3
17	в то же	3	3
18	не может не	1	2
19	в той или	1	2
20	а не в	1	2
21	более или менее	1	2
22	с точки зрения	4	2
23	можно было бы	1	2
24	не только в	3	2
25	в известном смысле	1	2
26	в связи с	3	2
27	этой точки зрения	1	2
28	речь идет о	1	2
29	так или иначе	1	2
30	прежде всего в	3	1
31	на самом деле	1	1
32	в самом деле	1	1
33	в этом смысле	4	1
34	том что он	1	1
35	что несмотря на	1	1
36	что не имеет	1	1
37	то же самое	1	1
38	в том же	1	1
39	он не может	1	1
40	по крайней мере	4	1
41	точку зрения на	1	1
42	не было и	1	1
43	что он уже	1	1
44	до сих пор	2	1
45	тот или иной	1	1
46	сам по себе	1	1
47	в такого рода	1	1
48	и времени в	1	1
49	независимо от того	2	1
50	том что именно	1	1
51	его жизни но	1	1
52	в последние десятилетия	1	1
53	но это не	3	1
54	а то и	1	1
55	а иногда и	1	1
56	до наших дней	1	1
57	между тем что	2	1
58	с этой точки	1	1
59	что это за	2	1
60	в году в	1	1
61	ни на что	1	1
62	это не так	2	1
63	а с другой	2	1
64	иметь в виду	1	1
65	то что он	1	1
66	в свое время	1	1
67	известном смысле является	1	1
68	но уже в	1	1
69	если бы между	2	1
70	в том чтобы	2	1
71	от воли автора	1	1
72	ни для кого	1	1
73	на протяжении всего	1	1
74	в русской литературе	1	1
75	тем более что	2	1
76	совершенно очевидно что	1	1
77	из этих двух	1	1
78	вытекает из его	1	1
79	как мы видели	1	1
