N	2gram	Losev_Dial_2	Formalny
1	и в	19	38
2	в этом	8	27
3	т е	30	26
4	может быть	20	23
5	и его	5	21
6	и пр	5	21
7	таким образом	4	20
8	и не	30	20
9	в самом	5	16
10	не в	8	15
11	прежде всего	8	15
12	и т	17	14
13	не может	9	14
14	в нем	10	13
15	связи с	4	13
16	но и	12	13
17	в поэзии	7	12
18	с тем	2	11
19	в том	14	11
20	вовсе не	13	11
21	в его	1	10
22	в связи	4	10
23	не только	19	9
24	при этом	4	9
25	и с	5	9
26	как и	10	9
27	т п	2	9
28	на почве	1	9
29	самом деле	4	8
30	отнюдь не	6	8
31	все же	4	8
32	точки зрения	12	8
33	так и	10	8
34	что и	5	8
35	тем что	2	8
36	как мы	3	7
37	по себе	18	7
38	в своей	8	7
39	с точки	8	7
40	уже не	3	7
41	этом отношении	1	7
42	в других	1	7
43	не могут	4	7
44	по существу	1	7
45	слова и	1	7
46	что в	7	7
47	и ее	1	6
48	в ней	2	6
49	в истории	2	6
50	все эти	2	6
51	в этой	3	6
52	то же	12	6
53	было бы	3	6
54	он не	4	6
55	в их	2	6
56	могут быть	4	6
57	все время	3	6
58	только в	5	6
59	то что	14	6
60	не было	3	6
61	вместе с	2	6
62	а не	16	6
63	как раз	5	6
64	в результате	2	6
65	хотя бы	4	6
66	а в	4	6
67	это и	3	5
68	по преимуществу	1	5
69	должна быть	5	5
70	говорить о	5	5
71	во всех	2	5
72	в общем	2	5
73	т д	15	5
74	в то	6	5
75	в основе	1	5
76	же время	5	5
77	ни о	2	5
78	и должно	2	5
79	и только	4	5
80	говорит в	1	5
81	что он	6	5
82	всяком случае	2	5
83	если мы	2	5
84	именно в	2	5
85	с этим	3	5
86	что же	2	5
87	или иного	1	5
88	во всяком	2	5
89	в сущности	2	4
90	литературы и	1	4
91	что оно	4	4
92	что они	6	4
93	независимо от	4	4
94	как в	2	4
95	и к	7	4
96	не как	2	4
97	от нее	1	4
98	как они	3	4
99	и поэтического	1	4
100	как о	1	4
101	ничего не	3	4
102	к тому	2	4
103	здесь не	1	4
104	в дальнейшем	1	4
105	того или	2	4
106	но в	2	4
107	и теперь	1	4
108	что не	6	4
109	из них	3	4
110	так как	14	4
111	не о	1	4
112	даже и	1	4
113	в особенности	1	4
114	и даже	14	4
115	в некоторых	2	4
116	другой стороны	4	4
117	там где	1	4
118	пр и	1	4
119	мы говорим	3	4
120	как бы	14	4
121	реальном времени	1	4
122	лишь как	1	4
123	совершенно не	7	4
124	оно не	1	4
125	они не	3	4
126	например в	2	3
127	же как	3	3
128	и отчасти	1	3
129	сам по	3	3
130	тем же	2	3
131	и до	1	3
132	в зависимости	2	3
133	из всего	2	3
134	мы не	1	3
135	то это	2	3
136	зависимости от	2	3
137	и на	1	3
138	бы она	1	3
139	если в	2	3
140	однако не	1	3
141	и как	10	3
142	от этого	3	3
143	что это	10	3
144	в целом	1	3
145	из этих	1	3
146	но ведь	2	3
147	только на	1	3
148	так сказать	1	3
149	время и	2	3
150	всех этих	3	3
151	понятий и	1	3
152	ни была	1	3
153	главным образом	1	3
154	и может	6	3
155	его в	3	3
156	это было	3	3
157	без нее	1	3
158	как таковой	4	3
159	следует что	2	3
160	она ни	1	3
161	только и	2	3
162	поэтическое произведение	2	3
163	в области	2	3
164	но все	2	3
165	его с	3	3
