N	2gram	Ircho_Kome_3	Stilisti
1	и в	22	42
2	не только	5	27
3	как бы	3	27
4	прежде всего	5	22
5	хотя бы	4	17
6	то же	7	15
7	но и	4	15
8	и не	21	14
9	не может	3	12
10	может быть	6	12
11	как и	3	11
12	точки зрения	4	11
13	отнюдь не	4	10
14	в этом	8	10
15	и как	1	10
16	как мы	2	10
17	ситуации и	1	10
18	что мы	2	10
19	мы не	2	9
20	при этом	7	9
21	в то	6	9
22	для того	6	9
23	то что	4	9
24	в ней	4	8
25	все же	4	8
26	в себе	4	8
27	таким образом	12	8
28	и это	2	8
29	с тем	4	8
30	эти слова	1	8
31	в зависимости	1	7
32	зависимости от	1	7
33	и на	2	7
34	в которой	3	7
35	было бы	3	7
36	и тем	1	7
37	так как	11	7
38	никогда не	3	7
39	же время	5	7
40	потому что	10	7
41	того чтобы	6	7
42	ничего не	3	7
43	с его	3	7
44	только в	1	7
45	и его	6	7
46	мы можем	3	7
47	а не	4	7
48	и от	1	7
49	во всех	2	6
50	точку зрения	1	6
51	в этой	3	6
52	на его	2	6
53	в нем	3	6
54	не в	4	6
55	в области	2	6
56	так и	4	6
57	язык и	1	6
58	в конце	7	6
59	в свою	7	6
60	той же	1	5
61	уже в	2	5
62	в нашем	1	5
63	независимо от	1	5
64	и наконец	1	5
65	и с	4	5
66	с точки	3	5
67	тому что	2	5
68	в сознании	1	5
69	а в	7	5
70	не является	4	5
71	же самое	3	5
72	те же	1	5
73	в его	8	5
74	и их	1	5
75	тем у	1	5
76	с помощью	4	5
77	вместе с	9	5
78	как это	5	5
79	самом деле	6	4
80	тем же	3	4
81	и к	3	4
82	но в	5	4
83	в самом	9	4
84	можно было	2	4
85	в каждом	1	4
86	его в	8	4
87	и без	2	4
88	самого начала	4	4
89	на него	4	4
90	но все	4	4
91	всего в	1	4
92	к тому	6	4
93	на это	3	4
94	свою очередь	6	4
95	с самого	4	4
96	было в	1	4
97	если бы	8	4
98	о том	8	4
99	можно сказать	1	4
100	которой мы	2	4
101	все время	2	4
102	один из	3	4
103	мы видим	1	4
104	с появлением	1	4
105	в качестве	2	4
106	если мы	2	4
107	само собой	4	4
108	о своей	1	4
109	а с	1	4
110	в слове	1	4
111	к своему	2	4
112	все это	5	4
113	не знаем	1	4
114	бы в	4	4
115	человека не	2	4
116	так же	4	4
117	отношения к	2	3
118	и само	1	3
119	жизни это	1	3
120	еще не	6	3
121	ответ на	1	3
122	нет и	4	3
123	перед нами	1	3
124	хотя и	5	3
125	выражение в	1	3
126	если он	2	3
127	не к	1	3
128	их в	3	3
129	здесь мы	1	3
130	не будет	2	3
131	об этом	7	3
132	это не	2	3
133	чаще всего	1	3
134	не мог	2	3
135	том что	13	3
136	и тому	1	3
137	связи с	5	3
138	до того	2	3
139	да и	1	3
140	в виду	2	3
141	но при	2	3
142	в ее	3	3
143	роль в	2	3
144	что у	1	3
145	мы в	1	3
146	короче говоря	1	3
147	и здесь	4	3
148	и поэтому	4	3
149	должно было	3	3
150	нуждается в	2	3
151	жизни и	1	3
152	конечно не	3	3
153	только на	1	3
154	из них	5	3
155	его и	1	3
156	не так	3	3
157	в котором	2	3
158	в одном	2	3
159	это высказывание	1	3
160	от того	2	3
161	что слова	1	3
162	что и	8	3
163	и даже	3	3
164	и эта	1	3
165	конце концов	2	3
166	если не	3	3
167	в тех	1	3
168	как только	1	3
169	этом случае	2	3
170	в целом	3	3
171	в начале	3	3
172	и для	4	3
173	для нас	1	3
174	и все	2	3
175	но вот	1	3
176	между ними	2	3
177	не знает	3	3
178	сказать что	1	3
179	я и	1	2
180	человека и	2	2
181	я взял	1	2
182	от чего	1	2
183	его не	2	2
184	мы имеем	1	2
185	вопрос о	1	2
186	и он	2	2
187	между собой	4	2
188	предположим что	1	2
189	но не	1	2
190	должны были	1	2
191	очевидно что	1	2
192	можем не	1	2
193	отношение к	5	2
194	себе и	1	2
195	как в	2	2
196	переживания и	1	2
197	целый ряд	2	2
198	как уже	1	2
199	роль играет	1	2
200	представляет собой	3	2
201	все эти	1	2
202	чуть ли	1	2
203	бы не	2	2
204	и те	1	2
205	тому же	6	2
206	друг другу	1	2
207	человек не	1	2
208	опять не	1	2
209	и сам	5	2
210	по своему	3	2
211	человека в	2	2
212	будут говорить	1	2
213	ясно что	6	2
214	с этим	3	2
215	не всегда	1	2
216	в этих	1	2
217	в своей	5	2
218	ли он	1	2
219	мы конечно	1	2
220	в отношении	4	2
221	место в	1	2
222	в которых	5	2
223	для всякого	1	2
224	других как	1	2
225	в мире	2	2
226	которые в	1	2
227	однако в	4	2
228	в основе	2	2
229	которого и	1	2
230	о них	1	2
231	смысл его	1	2
232	не останется	1	2
233	этом отношении	2	2
234	перед ним	3	2
235	от их	1	2
236	все то	1	2
237	ли не	2	2
238	здесь не	2	2
239	в пределах	2	2
240	как с	1	2
241	и когда	1	2
242	с собой	1	2
