N	3gram	Bakhtin_Pr_1	Otkroven
1	записок из подполья	3	5
2	у него в	1	5
3	из подполья и	2	3
4	в романах достоевского	6	3
5	для того чтобы	2	3
6	и в этом	3	2
7	у него не	1	2
8	не может быть	3	2
9	достоевский прежде всего	2	2
10	не могут быть	1	2
11	и никогда не	1	2
12	смысле этого слова	1	1
13	в обычном смысле	1	1
14	самой жизни а	1	1
15	как будто бы	1	1
16	по сравнению с	1	1
17	в своих романах	1	1
18	и в одно	1	1
19	хотя и не	1	1
20	месте и в	1	1
21	достоевского и в	1	1
22	по природе своей	1	1
23	не в том	1	1
24	прежде всего художник	1	1
25	в самой жизни	1	1
26	а вовсе не	1	1
27	достоевский как художник	1	1
28	друг к другу	1	1
29	одно из самых	1	1
30	в одном месте	1	1
31	в самом деле	2	1
32	у достоевского всегда	1	1
33	и есть та	1	1
34	как бы в	2	1
35	что говорит достоевский	1	1
36	обычном смысле слова	1	1
37	и больше всего	1	1
38	так и не	1	1
39	этого мира в	2	1
40	одном месте и	1	1
41	произведений достоевского в	1	1
42	может быть назван	1	1
43	достоевского нельзя найти	1	1
44	и не может	2	1
45	во всяком случае	3	1
46	потому что у	1	1
47	само по себе	2	1
48	что для достоевского	1	1
49	он и не	1	1
50	к творчеству достоевского	1	1
51	о том что	2	1
52	в этом отношении	5	1
53	то что в	1	1
54	жизни а не	1	1
55	да ведь это	2	1
56	внутренней жизни человека	1	1
57	в этот период	1	1
58	у самого достоевского	2	1
59	у достоевского не	3	1
60	достоевский может быть	1	1
61	в том что	7	1
62	он ни был	1	1
63	и заключается в	1	1
64	бы он ни	1	1
65	дмитрия и ивана	1	1
66	и то что	1	1
67	у достоевского нельзя	1	1
68	друг с другом	3	1
69	в братьях карамазовых	1	1
70	в этих романах	1	1
71	своего творчества достоевский	1	1
72	из романов достоевского	1	1
73	преступления и наказания	1	1
74	в одно время	1	1
75	из всего что	1	1
