N	3gram	Propp_Isto_7	Problemy
1	с точки зрения	1	13
2	по отношению к	1	8
3	в том что	4	6
4	в зависимости от	1	5
5	не может быть	3	4
6	не входит в	1	3
7	и т п	1	3
8	с другой стороны	8	3
9	то же что	2	3
10	даже там где	2	2
11	но все же	2	2
12	оно может быть	1	2
13	в самом деле	1	2
14	до сих пор	2	2
15	бы то ни	1	2
16	в их основе	1	2
17	но это не	2	2
18	как можно больше	1	2
19	героя и здесь	1	2
20	т е в	2	2
21	в данном случае	3	2
22	не только в	5	2
23	но с другой	1	2
24	в большинстве случаев	1	2
25	все же не	1	2
26	можно было бы	1	2
27	так как не	1	2
28	другой стороны и	2	1
29	в другом месте	1	1
30	хотя и не	1	1
31	же как и	1	1
32	он не может	1	1
33	в нем и	1	1
34	новые и новые	1	1
35	то же самое	1	1
36	нам кажется что	1	1
37	в этом случае	1	1
38	в своей работе	1	1
39	ничем не отличается	1	1
40	как если бы	1	1
41	то и другое	1	1
42	и в других	2	1
43	но и на	1	1
44	потому что у	2	1
45	от того в	1	1
46	а так как	1	1
47	то что в	3	1
48	но он не	1	1
49	не отличается от	1	1
50	точно так же	2	1
51	на этот вопрос	2	1
52	как мы уже	1	1
53	почти никогда не	1	1
54	природы но есть	1	1
55	так и в	2	1
56	он почти никогда	1	1
57	не согласиться с	1	1
58	все это в	1	1
59	то время как	2	1
60	и что в	1	1
61	так же как	4	1
62	там где он	1	1
63	то ни было	1	1
64	а как он	1	1
65	таким образом и	1	1
66	видеть в нем	1	1
67	на первый взгляд	4	1
68	то и здесь	1	1
69	мы увидим дальше	1	1
70	может выйти за	1	1
71	и соответствующие им	1	1
72	что мы видим	1	1
73	этой точки зрения	3	1
74	что они не	1	1
75	о том что	5	1
76	а в том	2	1
77	почву на которой	1	1
78	более или менее	1	1
79	независимо от того	1	1
80	героя а его	1	1
81	мы видим и	3	1
82	все новые и	1	1
83	в то время	2	1
84	она не может	1	1
85	может быть это	1	1
86	у него есть	2	1
87	но все эти	1	1
88	мы имеем в	4	1
89	что это не	2	1
90	или может быть	1	1
91	как и сам	1	1
92	своего индивидуального облика	1	1
93	ответ на вопрос	2	1
94	к тому что	1	1
95	конечно не в	1	1
96	сама по себе	1	1
97	кроме того он	1	1
98	что и в	2	1
99	он не только	1	1
100	это не так	1	1
101	и т д	16	1
102	как мы видели	1	1
