N	3gram	Propp_Morf_1	Narrotol
1	в том что	3	8
2	в данном случае	1	6
3	по отношению к	4	5
4	с одной стороны	1	5
5	состоит в том	2	4
6	о том что	1	4
7	тем не менее	4	4
8	в этом отношении	1	3
9	можно сказать что	1	3
10	к тому что	3	3
11	хотя и не	1	2
12	с точки зрения	2	2
13	на самом деле	4	2
14	подобно тому как	5	2
15	точно так же	1	2
16	не может быть	9	2
17	таким образом что	1	1
18	сомневаться в том	1	1
19	в обоих случаях	2	1
20	в е годы	1	1
21	прежде всего следует	1	1
22	в чем же	1	1
23	противном случае он	1	1
24	иметь в виду	1	1
25	более или менее	2	1
26	начинается с того	2	1
27	действующих лиц не	1	1
28	в таком случае	1	1
29	не входит в	1	1
30	вместо того чтобы	1	1
31	к тому или	1	1
32	в форме рассказа	1	1
33	между тем не	1	1
34	есть на самом	1	1
35	в противном случае	1	1
36	что он может	1	1
37	до сих пор	1	1
38	то время как	3	1
39	следует заметить что	2	1
40	здесь мы имеем	1	1
41	далеко не всегда	1	1
42	на первый взгляд	3	1
43	а также и	3	1
44	это было сделано	1	1
45	в том или	1	1
46	в связи с	8	1
47	то что он	1	1
48	во всяком случае	2	1
49	и в других	1	1
50	которое может быть	2	1
51	но они не	1	1
52	не означает что	1	1
53	в то время	3	1
54	если же в	1	1
55	с того что	2	1
56	в большинстве случаев	3	1
57	может быть определено	1	1
58	для того чтобы	2	1
59	одна за другой	1	1
60	вслед за этим	1	1
