N	2gram	Losev_Vlad_2	Morfolog
1	может быть	7	52
2	и т	1	49
3	т д	1	47
4	таким образом	3	20
5	не может	9	17
6	в этих	4	16
7	с этим	5	14
8	и в	30	13
9	в этом	20	13
10	так как	5	12
11	и др	1	12
12	перед нами	1	11
13	связи с	8	11
14	заметить что	1	10
15	то же	4	9
16	мы имеем	1	9
17	так и	5	9
18	этом случае	1	9
19	прежде всего	6	9
20	а не	7	9
21	в связи	8	9
22	и не	18	9
23	при помощи	1	8
24	что и	3	8
25	по существу	3	8
26	в результате	5	8
27	в качестве	1	7
28	в тех	1	7
29	все же	9	7
30	но если	1	7
31	но не	3	6
32	может считаться	1	6
33	это не	2	6
34	во время	1	6
35	не могут	1	6
36	и здесь	1	6
37	а также	10	6
38	в том	18	6
39	а в	11	6
40	мы не	2	5
41	во всех	3	5
42	не все	1	5
43	то что	20	5
44	здесь можно	2	5
45	далеко не	1	5
46	не менее	7	5
47	потому что	9	5
48	мы увидим	1	5
49	если мы	1	5
50	наряду с	2	5
51	как бы	5	5
52	и другие	1	5
53	также и	6	4
54	обращается в	1	4
55	увидим ниже	2	4
56	тех же	1	4
57	то это	4	4
58	что его	4	4
59	если в	1	4
60	как в	3	4
61	хотя и	6	4
62	и как	3	4
63	не только	12	4
64	на его	4	4
65	три года	2	4
66	на этом	2	4
67	об этом	6	4
68	его в	4	4
69	было бы	9	4
70	вовсе не	4	4
71	как и	5	4
72	несмотря на	4	4
73	точки зрения	7	4
74	с точки	3	4
75	тем не	6	4
76	на котором	2	4
77	ничего не	2	4
78	тем что	1	4
79	очень часто	1	4
80	как мы	11	4
81	его самого	1	4
82	раньше чем	1	4
83	так же	4	4
84	оно может	1	4
85	что в	12	4
86	самом деле	1	3
87	и для	3	3
88	независимо от	1	3
89	целый ряд	1	3
90	но в	8	3
91	к чему	1	3
92	в целом	4	3
93	в нашем	1	3
94	и по	2	3
95	прежде чем	1	3
96	но все	2	3
97	а по	1	3
98	из них	1	3
99	ни в	7	3
100	сам он	1	3
101	том что	12	3
102	отправляется в	1	3
103	в то	9	3
104	в сущности	2	3
105	на него	1	3
106	того чтобы	2	3
107	здесь же	1	3
108	от того	1	3
109	и другим	1	3
110	большей частью	1	3
111	с собой	1	3
112	раз он	1	3
113	если бы	1	3
114	очень многое	1	3
115	но и	8	3
116	он не	4	3
117	во втором	1	3
118	значит что	1	3
119	к нему	2	3
120	в какой	1	3
121	и ее	1	3
122	в начале	4	3
123	а то	2	3
124	друг друга	2	3
125	что они	1	3
126	но это	4	3
127	кроме того	9	3
128	иное чем	1	3
129	мы должны	4	3
130	же в	2	3
131	можно назвать	2	3
132	смысле слова	1	2
133	как это	7	2
134	он требует	1	2
135	что эти	2	2
136	собственном смысле	1	2
137	отсюда видно	1	2
138	есть нечто	2	2
139	время как	2	2
140	совсем не	4	2
141	если она	1	2
142	как уже	1	2
143	и к	6	2
144	более или	3	2
145	то в	5	2
146	та же	1	2
147	сказать о	3	2
148	право на	1	2
149	из его	2	2
150	лес и	1	2
151	одному из	1	2
152	можно было	2	2
153	и за	1	2
154	сделать из	1	2
155	мы уже	2	2
156	где оно	1	2
157	это было	4	2
158	то как	1	2
159	этого не	2	2
160	с тем	2	2
161	на первый	2	2
162	или менее	3	2
163	для него	9	2
164	и при	2	2
165	что такое	1	2
166	что до	1	2
167	нельзя было	1	2
168	настоящее время	2	2
169	однако в	2	2
170	а а	3	2
171	все эти	5	2
172	с теми	1	2
173	не имеет	2	2
174	вопрос не	1	2
175	и его	6	2
176	так например	1	2
177	в каком	1	2
178	для того	2	2
179	утверждать что	1	2
180	здесь не	4	2
181	в в	1	2
182	в собственном	1	2
183	то время	6	2
184	и что	5	2
185	не с	1	2
186	ясно что	1	2
187	о том	4	2
188	можно сказать	4	2
189	может не	1	2
190	ни к	1	2
191	того что	5	2
192	как например	1	2
193	быть и	1	2
194	хотя бы	3	2
195	на другие	2	2
196	этот вопрос	1	2
197	что он	13	2
198	только в	6	2
199	лиц не	1	2
200	себя в	2	2
201	с двумя	1	2
202	можно установить	1	2
203	тем временем	1	2
204	уже не	3	2
205	в виде	3	2
206	его и	2	2
207	никто не	1	2
208	реакцию на	1	2
209	чему не	1	2
210	а эта	1	2
211	живой и	1	2
212	а на	1	2
213	сказать что	11	2
214	вторая половина	1	2
215	ниже в	1	2
216	что мы	1	2
217	в частности	2	2
218	или по	2	2
219	он приводит	1	2
220	есть и	2	2
221	но для	1	2
222	вопрос в	1	2
223	тем и	1	2
224	в настоящее	2	2
225	от него	1	2
226	но вот	3	2
227	например на	1	2
228	в свое	1	2
229	но эти	1	2
230	к этому	6	2
231	во сне	2	2
232	точно так	3	2
233	например в	1	1
234	и то	5	1
235	между двумя	1	1
236	от самого	1	1
237	вообще же	1	1
238	приходит к	2	1
239	то для	1	1
240	чего в	1	1
241	г в	2	1
242	есть не	1	1
243	на первом	2	1
244	но никто	1	1
245	ответить на	1	1
246	он как	1	1
247	но она	1	1
248	что это	4	1
249	что иное	1	1
250	не вполне	2	1
251	оно есть	1	1
252	ему в	2	1
253	в виду	2	1
254	начала в	1	1
255	следовательно в	1	1
256	оказывается что	1	1
257	которые он	1	1
258	он был	6	1
259	если исходить	1	1
260	мы будем	3	1
261	но как	1	1
262	не то	3	1
263	и сл	1	1
264	а он	2	1
265	отношение к	4	1
266	отличие от	3	1
267	она есть	1	1
268	во что	1	1
269	о необходимости	1	1
270	тем больше	1	1
271	более чем	1	1
272	вследствие чего	1	1
273	написано на	1	1
274	его не	2	1
275	для всех	1	1
276	что касается	3	1
277	вопросом о	1	1
278	и наконец	4	1
279	по пути	1	1
280	но эта	1	1
281	его к	1	1
282	этой цели	1	1
283	в этот	1	1
284	она длилась	1	1
285	со своей	2	1
286	в которой	4	1
287	тут и	1	1
288	из этих	3	1
289	что так	1	1
290	не в	9	1
291	думать что	1	1
292	в этой	4	1
293	остановиться на	1	1
294	характере этого	1	1
295	но во	1	1
296	во многих	2	1
297	и отцом	1	1
298	на то	2	1
299	его но	1	1
300	уже иное	1	1
301	есть но	1	1
302	можно себе	1	1
303	что каждая	1	1
304	что она	1	1
305	главным образом	1	1
306	время и	1	1
307	слова а	1	1
308	всех этих	3	1
309	свою собственную	1	1
310	прочим и	2	1
311	и вот	3	1
312	в россии	3	1
313	и этот	1	1
314	его можно	1	1
315	собственно говоря	2	1
316	по его	1	1
317	здесь мы	3	1
318	то ни	1	1
319	и может	2	1
320	же касается	5	1
321	них не	1	1
322	на все	2	1
323	и отдельные	1	1
324	его силой	1	1
325	например с	1	1
326	и тем	1	1
327	даже в	2	1
328	кажется что	2	1
329	в это	4	1
330	из нее	1	1
331	элементы которые	1	1
332	как видно	1	1
333	между собою	1	1
334	же самый	1	1
335	оно имеет	1	1
336	характерно что	1	1
337	также с	1	1
338	чем в	1	1
339	этим в	1	1
340	нисколько не	2	1
341	том как	1	1
342	и их	1	1
343	при изучении	1	1
344	это делает	1	1
345	в их	2	1
346	не столько	3	1
347	в первый	1	1
348	бы мы	1	1
349	что я	3	1
350	время я	1	1
351	которые в	1	1
352	при этом	5	1
353	но он	3	1
354	теми же	1	1
355	он едет	1	1
356	делать не	1	1
357	все это	5	1
358	а дальнейшее	1	1
359	никак нельзя	3	1
360	без всяких	1	1
361	для нее	1	1
362	мы пока	2	1
363	и очень	2	1
364	она не	2	1
365	то с	2	1
366	быть или	1	1
367	для меня	4	1
368	что с	1	1
369	самого начала	1	1
370	меня не	2	1
371	того как	2	1
372	и притом	2	1
373	и сама	1	1
374	это нисколько	2	1
375	весь этот	1	1
376	дело не	1	1
377	может только	1	1
378	в другое	1	1
379	же время	3	1
380	всего и	1	1
381	этих двух	1	1
382	или как	2	1
383	к концу	5	1
384	же он	1	1
385	как а	1	1
386	иногда не	1	1
387	понимает под	1	1
388	все с	1	1
389	одним из	1	1
